,Mozambique
7/5/21,737.0
7/6/21,1458.0
7/7/21,770.0
7/8/21,1806.0
7/9/21,1327.0
7/10/21,1686.0
7/11/21,933.0
7/12/21,1687.0
7/13/21,1331.0
7/14/21,1543.0
7/15/21,1304.0
7/16/21,1394.0
7/17/21,2025.0
7/18/21,1260.0
7/19/21,1373.0
7/20/21,1224.0
7/21/21,1704.0
7/22/21,2153.0
7/23/21,1443.0
7/24/21,1451.0
7/25/21,1528.0
7/26/21,1435.0
7/27/21,1703.0
7/28/21,2460.0
7/29/21,1774.0
7/30/21,2290.0
7/31/21,2078.0
8/1/21,1513.0
8/2/21,1421.0
8/3/21,1429.0
8/4/21,1034.0
8/5/21,1611.0
8/6/21,1490.0
8/7/21,1273.0
8/8/21,653.0
8/9/21,725.0
8/10/21,1166.0
8/11/21,1185.0
8/12/21,1038.0
8/13/21,847.0
8/14/21,931.0
8/15/21,405.0
8/16/21,289.0
8/17/21,1033.0
8/18/21,694.0
8/19/21,618.0
8/20/21,630.0
8/21/21,510.0
8/22/21,261.0
8/23/21,343.0
8/24/21,528.0
8/25/21,377.0
8/26/21,436.0
8/27/21,731.0
8/28/21,525.0
8/29/21,139.0
8/30/21,190.0
8/31/21,263.0
9/1/21,438.0
9/2/21,312.0
9/3/21,365.0
9/4/21,354.0
9/5/21,138.0
9/6/21,131.0
9/7/21,390.0
9/8/21,108.0
9/9/21,175.0
9/10/21,174.0
9/11/21,187.0
9/12/21,119.0
9/13/21,52.0
9/14/21,221.0
9/15/21,191.0
9/16/21,133.0
9/17/21,102.0
9/18/21,75.0
9/19/21,37.0
9/20/21,49.0
9/21/21,134.0
9/22/21,79.0
9/23/21,90.0
9/24/21,69.0
9/25/21,55.0
9/26/21,36.0
9/27/21,10.0
9/28/21,32.0
9/29/21,90.0
9/30/21,61.0
10/1/21,36.0
10/2/21,31.0
10/3/21,14.0
10/4/21,3.0
10/5/21,19.0
10/6/21,48.0
10/7/21,25.0
10/8/21,36.0
10/9/21,28.0
10/10/21,22.0
10/11/21,6.0
10/12/21,27.0
10/13/21,28.0
10/14/21,15.0
10/15/21,19.0
10/16/21,17.0
10/17/21,5.0
10/18/21,10.0
10/19/21,24.0
10/20/21,21.0
10/21/21,17.0
10/22/21,21.0
10/23/21,25.0
10/24/21,5.0
10/25/21,1.0
10/26/21,17.0
10/27/21,10.0
10/28/21,7.0
10/29/21,10.0
10/30/21,0.0
10/31/21,22.0
11/1/21,10.0
11/2/21,14.0
11/3/21,9.0
11/4/21,14.0
11/5/21,13.0
11/6/21,15.0
11/7/21,1.0
11/8/21,3.0
11/9/21,11.0
11/10/21,8.0
11/11/21,20.0
11/12/21,4.0
11/13/21,8.0
11/14/21,5.0
11/15/21,5.0
11/16/21,25.0
11/17/21,9.0
11/18/21,6.0
11/19/21,5.0
11/20/21,11.0
11/21/21,0.0
11/22/21,4.0
11/23/21,3.0
11/24/21,8.0
11/25/21,9.0
11/26/21,3.0
11/27/21,0.0
11/28/21,9.0
11/29/21,4.0
11/30/21,20.0
12/1/21,46.0
12/2/21,58.0
12/3/21,111.0
12/4/21,105.0
12/5/21,56.0
12/6/21,76.0
12/7/21,120.0
12/8/21,206.0
12/9/21,260.0
12/10/21,379.0
12/11/21,443.0
12/12/21,266.0
12/13/21,113.0
12/14/21,733.0
12/15/21,975.0
12/16/21,1234.0
12/17/21,1382.0
12/18/21,0.0
12/19/21,1793.0
12/20/21,553.0
12/21/21,2068.0
12/22/21,2337.0
12/23/21,2445.0
12/24/21,2770.0
12/25/21,898.0
12/26/21,527.0
12/27/21,673.0
12/28/21,3473.0
12/29/21,3624.0
12/30/21,4947.0
12/31/21,4861.0
1/1/22,2642.0
1/2/22,731.0
1/3/22,918.0
1/4/22,2975.0
1/5/22,3594.0
1/6/22,3301.0
1/7/22,3031.0
1/8/22,3117.0
1/9/22,1010.0
1/10/22,592.0
1/11/22,1868.0
1/12/22,1948.0
1/13/22,1752.0
1/14/22,1262.0
1/15/22,976.0
1/16/22,284.0
1/17/22,309.0
1/18/22,851.0
1/19/22,667.0
1/20/22,524.0
1/21/22,543.0
1/22/22,440.0
1/23/22,181.0
1/24/22,56.0
1/25/22,240.0
1/26/22,220.0
1/27/22,301.0
1/28/22,199.0
1/29/22,126.0
1/30/22,73.0
1/31/22,16.0
2/1/22,122.0
2/2/22,94.0
2/3/22,100.0
2/4/22,81.0
2/5/22,85.0
2/6/22,30.0
2/7/22,8.0
2/8/22,87.0
2/9/22,60.0
2/10/22,65.0
2/11/22,44.0
2/12/22,50.0
2/13/22,50.0
2/14/22,16.0
2/15/22,48.0
2/16/22,24.0
2/17/22,24.0
2/18/22,26.0
2/19/22,41.0
2/20/22,21.0
2/21/22,17.0
2/22/22,17.0
2/23/22,46.0
2/24/22,16.0
2/25/22,19.0
2/26/22,18.0
2/27/22,2.0
2/28/22,9.0
