,Singapore
4/30/21,24.0
5/1/21,34.0
5/2/21,39.0
5/3/21,17.0
5/4/21,17.0
5/5/21,16.0
5/6/21,18.0
5/7/21,25.0
5/8/21,20.0
5/9/21,28.0
5/10/21,19.0
5/11/21,25.0
5/12/21,16.0
5/13/21,34.0
5/14/21,52.0
5/15/21,31.0
5/16/21,49.0
5/17/21,28.0
5/18/21,38.0
5/19/21,38.0
5/20/21,41.0
5/21/21,40.0
5/22/21,29.0
5/23/21,25.0
5/24/21,36.0
5/25/21,30.0
5/26/21,26.0
5/27/21,24.0
5/28/21,30.0
5/29/21,33.0
5/30/21,25.0
5/31/21,23.0
6/1/21,18.0
6/2/21,31.0
6/3/21,45.0
6/4/21,13.0
6/5/21,18.0
6/6/21,20.0
6/7/21,14.0
6/8/21,9.0
6/9/21,4.0
6/10/21,13.0
6/11/21,9.0
6/12/21,18.0
6/13/21,13.0
6/14/21,25.0
6/15/21,14.0
6/16/21,24.0
6/17/21,27.0
6/18/21,16.0
6/19/21,21.0
6/20/21,11.0
6/21/21,16.0
6/22/21,18.0
6/23/21,22.0
6/24/21,23.0
6/25/21,20.0
6/26/21,17.0
6/27/21,14.0
6/28/21,9.0
6/29/21,10.0
6/30/21,16.0
7/1/21,10.0
7/2/21,10.0
7/3/21,7.0
7/4/21,11.0
7/5/21,13.0
7/6/21,10.0
7/7/21,12.0
7/8/21,16.0
7/9/21,10.0
7/10/21,6.0
7/11/21,8.0
7/12/21,26.0
7/13/21,26.0
7/14/21,60.0
7/15/21,48.0
7/16/21,61.0
7/17/21,68.0
7/18/21,92.0
7/19/21,172.0
7/20/21,195.0
7/21/21,181.0
7/22/21,170.0
7/23/21,133.0
7/24/21,130.0
7/25/21,125.0
7/26/21,135.0
7/27/21,139.0
7/28/21,136.0
7/29/21,133.0
7/30/21,139.0
7/31/21,120.0
8/1/21,121.0
8/2/21,111.0
8/3/21,102.0
8/4/21,95.0
8/5/21,98.0
8/6/21,97.0
8/7/21,81.0
8/8/21,78.0
8/9/21,72.0
8/10/21,0.0
8/11/21,117.0
8/12/21,59.0
8/13/21,49.0
8/14/21,58.0
8/15/21,53.0
8/16/21,53.0
8/17/21,56.0
