,Finland
7/6/21,243.0
7/7/21,260.0
7/8/21,292.0
7/9/21,284.0
7/10/21,308.0
7/11/21,149.0
7/12/21,160.0
7/13/21,330.0
7/14/21,342.0
7/15/21,382.0
7/16/21,382.0
7/17/21,355.0
7/18/21,206.0
7/19/21,249.0
7/20/21,420.0
7/21/21,424.0
7/22/21,468.0
7/23/21,487.0
7/24/21,478.0
7/25/21,301.0
7/26/21,351.0
7/27/21,770.0
7/28/21,725.0
7/29/21,810.0
7/30/21,772.0
7/31/21,696.0
8/1/21,408.0
8/2/21,477.0
8/3/21,893.0
8/4/21,840.0
8/5/21,784.0
8/6/21,876.0
8/7/21,685.0
8/8/21,485.0
8/9/21,537.0
8/10/21,1036.0
8/11/21,826.0
8/12/21,923.0
8/13/21,789.0
8/14/21,740.0
8/15/21,426.0
8/16/21,445.0
8/17/21,768.0
8/18/21,741.0
8/19/21,708.0
8/20/21,670.0
8/21/21,655.0
8/22/21,398.0
8/23/21,456.0
8/24/21,682.0
8/25/21,609.0
8/26/21,699.0
8/27/21,610.0
8/28/21,704.0
8/29/21,439.0
8/30/21,464.0
8/31/21,744.0
9/1/21,650.0
9/2/21,648.0
9/3/21,650.0
9/4/21,520.0
9/5/21,336.0
9/6/21,346.0
9/7/21,581.0
9/8/21,522.0
9/9/21,482.0
9/10/21,459.0
9/11/21,496.0
9/12/21,329.0
9/13/21,283.0
9/14/21,533.0
9/15/21,480.0
9/16/21,454.0
9/17/21,436.0
9/18/21,389.0
9/19/21,240.0
9/20/21,285.0
9/21/21,489.0
9/22/21,489.0
9/23/21,484.0
9/24/21,480.0
9/25/21,424.0
9/26/21,299.0
9/27/21,355.0
9/28/21,684.0
9/29/21,643.0
9/30/21,669.0
10/1/21,618.0
10/2/21,531.0
10/3/21,355.0
10/4/21,383.0
10/5/21,743.0
10/6/21,729.0
10/7/21,746.0
10/8/21,611.0
10/9/21,596.0
10/10/21,425.0
10/11/21,399.0
10/12/21,691.0
10/13/21,610.0
10/14/21,638.0
10/15/21,558.0
10/16/21,562.0
10/17/21,344.0
10/18/21,319.0
10/19/21,661.0
10/20/21,550.0
10/21/21,516.0
10/22/21,623.0
10/23/21,580.0
10/24/21,374.0
10/25/21,389.0
10/26/21,793.0
10/27/21,680.0
10/28/21,640.0
10/29/21,590.0
10/30/21,655.0
10/31/21,405.0
11/1/21,439.0
11/2/21,973.0
11/3/21,755.0
11/4/21,771.0
11/5/21,802.0
11/6/21,842.0
11/7/21,514.0
11/8/21,508.0
11/9/21,1122.0
11/10/21,833.0
11/11/21,968.0
11/12/21,934.0
11/13/21,946.0
11/14/21,618.0
11/15/21,571.0
11/16/21,1252.0
11/17/21,1199.0
11/18/21,1170.0
11/19/21,1215.0
11/20/21,1274.0
11/21/21,708.0
11/22/21,675.0
11/23/21,1422.0
11/24/21,1338.0
11/25/21,1255.0
11/26/21,1276.0
11/27/21,1300.0
11/28/21,794.0
11/29/21,790.0
11/30/21,1702.0
12/1/21,1427.0
12/2/21,1444.0
12/3/21,1468.0
12/4/21,1529.0
12/5/21,972.0
12/6/21,1003.0
12/7/21,1077.0
12/8/21,1925.0
12/9/21,1733.0
12/10/21,1708.0
12/11/21,1803.0
12/12/21,1124.0
12/13/21,1269.0
12/14/21,2356.0
12/15/21,1833.0
12/16/21,2099.0
12/17/21,1990.0
12/18/21,2172.0
12/19/21,1614.0
12/20/21,1754.0
12/21/21,3040.0
12/22/21,3169.0
12/23/21,3537.0
12/24/21,3904.0
12/25/21,2275.0
12/26/21,2673.0
12/27/21,3300.0
12/28/21,6658.0
12/29/21,6873.0
12/30/21,7385.0
12/31/21,7325.0
1/1/22,6871.0
1/2/22,4002.0
1/3/22,4977.0
1/4/22,9525.0
1/5/22,9984.0
1/6/22,9727.0
1/7/22,7331.0
1/8/22,9024.0
1/9/22,5800.0
1/10/22,6641.0
1/11/22,10547.0
1/12/22,9212.0
1/13/22,8928.0
1/14/22,8275.0
1/15/22,8097.0
1/16/22,5702.0
1/17/22,6250.0
1/18/22,10127.0
1/19/22,9164.0
1/20/22,8512.0
1/21/22,8048.0
1/22/22,7296.0
1/23/22,4368.0
1/24/22,4596.0
1/25/22,7168.0
1/26/22,3393.0
1/27/22,6271.0
1/28/22,4766.0
1/29/22,0.0
1/30/22,0.0
1/31/22,14439.0
2/1/22,3244.0
2/2/22,8038.0
2/3/22,6788.0
2/4/22,6952.0
2/5/22,0.0
2/6/22,0.0
2/7/22,19898.0
2/8/22,7472.0
2/9/22,4520.0
2/10/22,12805.0
2/11/22,10386.0
2/12/22,0.0
2/13/22,0.0
2/14/22,12410.0
2/15/22,4426.0
2/16/22,5956.0
2/17/22,7953.0
2/18/22,4328.0
2/19/22,0.0
2/20/22,0.0
2/21/22,17671.0
2/22/22,2746.0
2/23/22,4264.0
2/24/22,7931.0
2/25/22,71.0
2/26/22,0.0
2/27/22,0.0
2/28/22,28.0
