,Kenya
8/28/21,788.0
8/29/21,363.0
8/30/21,346.0
8/31/21,565.0
9/1/21,1018.0
9/2/21,970.0
9/3/21,1001.0
9/4/21,840.0
9/5/21,480.0
9/6/21,258.0
9/7/21,704.0
9/8/21,649.0
9/9/21,501.0
9/10/21,661.0
9/11/21,511.0
9/12/21,269.0
9/13/21,204.0
9/14/21,451.0
9/15/21,446.0
9/16/21,511.0
9/17/21,444.0
9/18/21,515.0
9/19/21,234.0
9/20/21,113.0
9/21/21,313.0
9/22/21,402.0
9/23/21,317.0
9/24/21,394.0
9/25/21,323.0
9/26/21,69.0
9/27/21,54.0
9/28/21,255.0
9/29/21,404.0
9/30/21,260.0
10/1/21,291.0
10/2/21,298.0
10/3/21,91.0
10/4/21,77.0
10/5/21,189.0
10/6/21,130.0
10/7/21,218.0
10/8/21,170.0
10/9/21,159.0
10/10/21,95.0
10/11/21,96.0
10/12/21,65.0
10/13/21,170.0
10/14/21,186.0
10/15/21,134.0
10/16/21,156.0
10/17/21,74.0
10/18/21,33.0
10/19/21,133.0
10/20/21,109.0
10/21/21,67.0
10/22/21,124.0
10/23/21,129.0
10/24/21,44.0
10/25/21,16.0
10/26/21,151.0
10/27/21,99.0
10/28/21,80.0
10/29/21,133.0
10/30/21,142.0
10/31/21,17.0
11/1/21,29.0
11/2/21,70.0
11/3/21,103.0
11/4/21,149.0
11/5/21,76.0
11/6/21,76.0
11/7/21,20.0
11/8/21,20.0
11/9/21,26.0
11/10/21,178.0
11/11/21,94.0
11/12/21,64.0
11/13/21,61.0
11/14/21,21.0
11/15/21,12.0
11/16/21,75.0
11/17/21,69.0
11/18/21,88.0
11/19/21,88.0
11/20/21,59.0
11/21/21,22.0
11/22/21,18.0
11/23/21,53.0
11/24/21,35.0
11/25/21,46.0
11/26/21,42.0
11/27/21,36.0
11/28/21,11.0
11/29/21,28.0
11/30/21,109.0
12/1/21,76.0
12/2/21,96.0
12/3/21,95.0
12/4/21,53.0
12/5/21,29.0
12/6/21,32.0
12/7/21,75.0
12/8/21,108.0
12/9/21,144.0
12/10/21,136.0
12/11/21,202.0
12/12/21,201.0
12/13/21,149.0
12/14/21,331.0
12/15/21,799.0
12/16/21,943.0
12/17/21,1609.0
12/18/21,2169.0
12/19/21,1372.0
12/20/21,1020.0
12/21/21,2844.0
12/22/21,3328.0
12/23/21,3746.0
12/24/21,2964.0
12/25/21,3749.0
12/26/21,1196.0
12/27/21,1596.0
12/28/21,1504.0
12/29/21,3297.0
12/30/21,3286.0
12/31/21,2791.0
1/1/22,2127.0
1/2/22,1354.0
1/3/22,1223.0
1/4/22,2402.0
1/5/22,2216.0
1/6/22,2336.0
1/7/22,2444.0
1/8/22,1667.0
1/9/22,741.0
1/10/22,1034.0
1/11/22,1105.0
1/12/22,813.0
1/13/22,1175.0
1/14/22,1035.0
1/15/22,624.0
1/16/22,310.0
1/17/22,223.0
1/18/22,392.0
1/19/22,762.0
1/20/22,368.0
1/21/22,459.0
1/22/22,300.0
1/23/22,91.0
1/24/22,170.0
1/25/22,185.0
1/26/22,182.0
1/27/22,152.0
1/28/22,193.0
1/29/22,123.0
1/30/22,101.0
1/31/22,46.0
2/1/22,171.0
2/2/22,119.0
2/3/22,93.0
2/4/22,158.0
2/5/22,121.0
2/6/22,53.0
2/7/22,55.0
2/8/22,63.0
2/9/22,60.0
2/10/22,60.0
2/11/22,54.0
2/12/22,48.0
2/13/22,37.0
2/14/22,24.0
2/15/22,20.0
2/16/22,28.0
2/17/22,69.0
2/18/22,26.0
2/19/22,29.0
2/20/22,27.0
2/21/22,6.0
2/22/22,34.0
2/23/22,45.0
2/24/22,41.0
2/25/22,47.0
2/26/22,37.0
2/27/22,24.0
2/28/22,16.0
