,Iraq
7/29/21,13259.0
7/30/21,12597.0
7/31/21,10215.0
8/1/21,9394.0
8/2/21,12734.0
8/3/21,11644.0
8/4/21,12713.0
8/5/21,11871.0
8/6/21,11435.0
8/7/21,7973.0
8/8/21,8346.0
8/9/21,9619.0
8/10/21,9970.0
8/11/21,8635.0
8/12/21,10243.0
8/13/21,9967.0
8/14/21,7610.0
8/15/21,7011.0
8/16/21,8830.0
8/17/21,8778.0
8/18/21,7992.0
8/19/21,8012.0
8/20/21,6121.0
8/21/21,3958.0
8/22/21,5634.0
8/23/21,7151.0
8/24/21,7670.0
8/25/21,7787.0
8/26/21,8084.0
8/27/21,7202.0
8/28/21,5369.0
8/29/21,6083.0
8/30/21,6778.0
8/31/21,6937.0
9/1/21,7309.0
9/2/21,6948.0
9/3/21,5672.0
9/4/21,4316.0
9/5/21,4897.0
9/6/21,5650.0
9/7/21,5988.0
9/8/21,5405.0
9/9/21,5073.0
9/10/21,4717.0
9/11/21,3086.0
9/12/21,3554.0
9/13/21,4204.0
9/14/21,4400.0
9/15/21,3895.0
9/16/21,3923.0
9/17/21,3559.0
9/18/21,1959.0
9/19/21,2515.0
9/20/21,3192.0
9/21/21,3081.0
9/22/21,2906.0
9/23/21,2953.0
9/24/21,2964.0
9/25/21,1312.0
9/26/21,2139.0
9/27/21,2447.0
9/28/21,2401.0
9/29/21,2254.0
9/30/21,2434.0
10/1/21,2688.0
10/2/21,1236.0
10/3/21,2451.0
10/4/21,1956.0
10/5/21,2470.0
10/6/21,2519.0
10/7/21,2044.0
10/8/21,2215.0
10/9/21,1227.0
10/10/21,1652.0
10/11/21,944.0
10/12/21,1644.0
10/13/21,1766.0
10/14/21,2383.0
10/15/21,2162.0
10/16/21,1077.0
10/17/21,1716.0
10/18/21,1559.0
10/19/21,1835.0
10/20/21,1388.0
10/21/21,1882.0
10/22/21,1846.0
10/23/21,1064.0
10/24/21,1247.0
10/25/21,1537.0
10/26/21,1429.0
10/27/21,1412.0
10/28/21,1471.0
10/29/21,1397.0
10/30/21,682.0
10/31/21,1046.0
11/1/21,1153.0
11/2/21,1315.0
11/3/21,1198.0
11/4/21,1152.0
11/5/21,1156.0
11/6/21,717.0
11/7/21,924.0
11/8/21,1148.0
11/9/21,1116.0
11/10/21,915.0
11/11/21,863.0
11/12/21,892.0
11/13/21,591.0
11/14/21,859.0
11/15/21,829.0
11/16/21,807.0
11/17/21,806.0
11/18/21,789.0
11/19/21,789.0
11/20/21,568.0
11/21/21,584.0
11/22/21,829.0
11/23/21,898.0
11/24/21,776.0
11/25/21,743.0
11/26/21,856.0
11/27/21,563.0
11/28/21,538.0
11/29/21,826.0
11/30/21,724.0
12/1/21,889.0
12/2/21,713.0
12/3/21,741.0
12/4/21,374.0
12/5/21,457.0
12/6/21,615.0
12/7/21,625.0
12/8/21,606.0
12/9/21,510.0
12/10/21,545.0
12/11/21,250.0
12/12/21,340.0
12/13/21,522.0
12/14/21,474.0
12/15/21,426.0
12/16/21,410.0
12/17/21,357.0
12/18/21,182.0
12/19/21,272.0
12/20/21,364.0
12/21/21,336.0
12/22/21,342.0
12/23/21,312.0
12/24/21,322.0
12/25/21,156.0
12/26/21,172.0
12/27/21,166.0
12/28/21,225.0
12/29/21,261.0
12/30/21,300.0
12/31/21,304.0
1/1/22,151.0
1/2/22,206.0
1/3/22,252.0
1/4/22,318.0
1/5/22,516.0
1/6/22,665.0
1/7/22,642.0
1/8/22,316.0
1/9/22,734.0
1/10/22,1368.0
1/11/22,1610.0
1/12/22,2037.0
1/13/22,2385.0
1/14/22,3266.0
1/15/22,2477.0
1/16/22,3630.0
1/17/22,4466.0
1/18/22,6487.0
1/19/22,6234.0
1/20/22,5767.0
1/21/22,7155.0
1/22/22,4884.0
1/23/22,4931.0
1/24/22,5756.0
1/25/22,7693.0
1/26/22,8107.0
1/27/22,7609.0
1/28/22,8554.0
1/29/22,5827.0
1/30/22,5582.0
1/31/22,7217.0
2/1/22,7901.0
2/2/22,8293.0
2/3/22,6949.0
2/4/22,6569.0
2/5/22,4316.0
2/6/22,3589.0
2/7/22,5285.0
2/8/22,5360.0
2/9/22,4681.0
2/10/22,4220.0
2/11/22,3776.0
2/12/22,2014.0
2/13/22,2036.0
2/14/22,3011.0
2/15/22,2984.0
2/16/22,2639.0
2/17/22,2246.0
2/18/22,2326.0
2/19/22,1234.0
2/20/22,1159.0
2/21/22,2074.0
2/22/22,1685.0
2/23/22,1736.0
2/24/22,1499.0
2/25/22,1603.0
2/26/22,878.0
2/27/22,945.0
2/28/22,1203.0
