,Maldives
8/13/21,111.0
8/14/21,74.0
8/15/21,137.0
8/16/21,152.0
8/17/21,130.0
8/18/21,106.0
8/19/21,134.0
8/20/21,95.0
8/21/21,110.0
8/22/21,95.0
8/23/21,108.0
8/24/21,151.0
8/25/21,110.0
8/26/21,108.0
8/27/21,103.0
8/28/21,139.0
8/29/21,113.0
8/30/21,169.0
8/31/21,152.0
9/1/21,189.0
9/2/21,173.0
9/3/21,179.0
9/4/21,157.0
9/5/21,169.0
9/6/21,120.0
9/7/21,165.0
9/8/21,100.0
9/9/21,111.0
9/10/21,103.0
9/11/21,106.0
9/12/21,138.0
9/13/21,128.0
9/14/21,120.0
9/15/21,92.0
9/16/21,86.0
9/17/21,84.0
9/18/21,162.0
9/19/21,82.0
9/20/21,79.0
9/21/21,220.0
9/22/21,142.0
9/23/21,86.0
9/24/21,61.0
9/25/21,126.0
9/26/21,72.0
9/27/21,122.0
9/28/21,95.0
9/29/21,141.0
9/30/21,89.0
10/1/21,57.0
10/2/21,105.0
10/3/21,0.0
10/4/21,136.0
10/5/21,91.0
10/6/21,80.0
10/7/21,70.0
10/8/21,46.0
10/9/21,71.0
10/10/21,83.0
10/11/21,74.0
10/12/21,110.0
10/13/21,106.0
10/14/21,94.0
10/15/21,45.0
10/16/21,111.0
10/17/21,77.0
10/18/21,46.0
10/19/21,113.0
10/20/21,95.0
10/21/21,131.0
10/22/21,55.0
10/23/21,225.0
10/24/21,92.0
10/25/21,149.0
10/26/21,115.0
10/27/21,173.0
10/28/21,128.0
10/29/21,0.0
10/30/21,0.0
10/31/21,151.0
11/1/21,277.0
11/2/21,143.0
11/3/21,219.0
11/4/21,109.0
11/5/21,130.0
11/6/21,119.0
11/7/21,182.0
11/8/21,149.0
11/9/21,160.0
11/10/21,129.0
11/11/21,109.0
11/12/21,165.0
11/13/21,184.0
11/14/21,127.0
11/15/21,159.0
11/16/21,118.0
11/17/21,149.0
11/18/21,74.0
11/19/21,124.0
11/20/21,137.0
11/21/21,124.0
11/22/21,96.0
11/23/21,123.0
11/24/21,102.0
11/25/21,76.0
11/26/21,152.0
11/27/21,76.0
11/28/21,114.0
11/29/21,79.0
11/30/21,107.0
12/1/21,100.0
12/2/21,143.0
12/3/21,100.0
12/4/21,102.0
12/5/21,116.0
12/6/21,157.0
12/7/21,133.0
12/8/21,128.0
12/9/21,125.0
12/10/21,92.0
12/11/21,218.0
12/12/21,55.0
12/13/21,127.0
12/14/21,124.0
12/15/21,162.0
12/16/21,97.0
12/17/21,104.0
12/18/21,131.0
12/19/21,93.0
12/20/21,100.0
12/21/21,121.0
12/22/21,121.0
12/23/21,145.0
12/24/21,120.0
12/25/21,168.0
12/26/21,132.0
12/27/21,168.0
12/28/21,190.0
12/29/21,198.0
12/30/21,120.0
12/31/21,160.0
1/1/22,191.0
1/2/22,161.0
1/3/22,242.0
1/4/22,228.0
1/5/22,224.0
1/6/22,304.0
1/7/22,281.0
1/8/22,337.0
1/9/22,384.0
1/10/22,454.0
1/11/22,593.0
1/12/22,536.0
1/13/22,816.0
1/14/22,967.0
1/15/22,954.0
1/16/22,1209.0
1/17/22,1420.0
1/18/22,1594.0
1/19/22,2137.0
1/20/22,2199.0
1/21/22,1697.0
1/22/22,2349.0
1/23/22,2484.0
1/24/22,2707.0
1/25/22,2609.0
1/26/22,2813.0
1/27/22,2499.0
1/28/22,2510.0
1/29/22,2689.0
1/30/22,2838.0
1/31/22,2754.0
2/1/22,2180.0
2/2/22,2142.0
2/3/22,1834.0
2/4/22,1955.0
2/5/22,1589.0
2/6/22,1757.0
2/7/22,1576.0
2/8/22,1502.0
2/9/22,1096.0
2/10/22,1406.0
2/11/22,986.0
2/12/22,1128.0
2/13/22,1030.0
2/14/22,1015.0
2/15/22,1037.0
2/16/22,1056.0
2/17/22,805.0
2/18/22,607.0
2/19/22,648.0
2/20/22,844.0
2/21/22,656.0
2/22/22,796.0
2/23/22,971.0
2/24/22,628.0
2/25/22,507.0
2/26/22,517.0
2/27/22,484.0
2/28/22,560.0
