,Serbia
6/5/21,145.0
6/6/21,116.0
6/7/21,162.0
6/8/21,214.0
6/9/21,198.0
6/10/21,210.0
6/11/21,172.0
6/12/21,119.0
6/13/21,138.0
6/14/21,124.0
6/15/21,132.0
6/16/21,160.0
6/17/21,135.0
6/18/21,162.0
6/19/21,89.0
6/20/21,60.0
6/21/21,88.0
6/22/21,72.0
6/23/21,103.0
6/24/21,80.0
6/25/21,76.0
6/26/21,66.0
6/27/21,63.0
6/28/21,84.0
6/29/21,73.0
6/30/21,104.0
7/1/21,81.0
7/2/21,74.0
7/3/21,79.0
7/4/21,77.0
7/5/21,110.0
7/6/21,110.0
7/7/21,103.0
7/8/21,97.0
7/9/21,110.0
7/10/21,77.0
7/11/21,69.0
7/12/21,118.0
7/13/21,145.0
7/14/21,125.0
7/15/21,156.0
7/16/21,206.0
7/17/21,166.0
7/18/21,125.0
7/19/21,227.0
7/20/21,189.0
7/21/21,228.0
7/22/21,228.0
7/23/21,202.0
7/24/21,249.0
7/25/21,199.0
7/26/21,241.0
7/27/21,290.0
7/28/21,332.0
7/29/21,292.0
7/30/21,353.0
7/31/21,298.0
8/1/21,303.0
8/2/21,386.0
8/3/21,424.0
8/4/21,487.0
8/5/21,579.0
8/6/21,564.0
8/7/21,584.0
8/8/21,457.0
8/9/21,752.0
8/10/21,792.0
8/11/21,921.0
8/12/21,983.0
8/13/21,1072.0
8/14/21,1005.0
8/15/21,817.0
8/16/21,1288.0
8/17/21,1484.0
8/18/21,1497.0
8/19/21,1656.0
8/20/21,1592.0
8/21/21,1510.0
8/22/21,1242.0
8/23/21,1837.0
8/24/21,2216.0
8/25/21,2327.0
8/26/21,2454.0
8/27/21,2434.0
8/28/21,2314.0
8/29/21,1722.0
8/30/21,2335.0
8/31/21,2981.0
9/1/21,3346.0
9/2/21,3524.0
9/3/21,3623.0
9/4/21,3497.0
9/5/21,2800.0
9/6/21,4103.0
9/7/21,5069.0
9/8/21,5633.0
9/9/21,5831.0
9/10/21,6089.0
9/11/21,5461.0
9/12/21,5003.0
9/13/21,6249.0
9/14/21,7723.0
9/15/21,7628.0
9/16/21,7602.0
9/17/21,7572.0
9/18/21,6745.0
9/19/21,5255.0
9/20/21,6424.0
9/21/21,7232.0
9/22/21,7201.0
9/23/21,6480.0
9/24/21,6462.0
9/25/21,6192.0
9/26/21,5389.0
9/27/21,6736.0
9/28/21,8467.0
9/29/21,8171.0
9/30/21,7549.0
10/1/21,7271.0
10/2/21,6412.0
10/3/21,5334.0
10/4/21,5983.0
10/5/21,7190.0
10/6/21,7150.0
10/7/21,6978.0
10/8/21,6401.0
10/9/21,5657.0
10/10/21,4803.0
10/11/21,5700.0
10/12/21,6930.0
10/13/21,6699.0
10/14/21,6786.0
10/15/21,6424.0
10/16/21,6051.0
10/17/21,5077.0
10/18/21,6461.0
10/19/21,7664.0
10/20/21,7745.0
10/21/21,7327.0
10/22/21,7696.0
10/23/21,6748.0
10/24/21,5733.0
10/25/21,5908.0
10/26/21,7840.0
10/27/21,6948.0
10/28/21,6697.0
10/29/21,6217.0
10/30/21,6001.0
10/31/21,4929.0
11/1/21,5896.0
11/2/21,7111.0
11/3/21,6726.0
11/4/21,6126.0
11/5/21,5725.0
11/6/21,4804.0
11/7/21,3888.0
11/8/21,4348.0
11/9/21,5103.0
11/10/21,4606.0
11/11/21,3998.0
11/12/21,3822.0
11/13/21,3484.0
11/14/21,2777.0
11/15/21,3487.0
11/16/21,3773.0
11/17/21,3600.0
11/18/21,3219.0
11/19/21,3086.0
11/20/21,2648.0
11/21/21,2081.0
11/22/21,2771.0
11/23/21,3033.0
11/24/21,2631.0
11/25/21,2677.0
11/26/21,2339.0
11/27/21,2211.0
11/28/21,1674.0
11/29/21,2180.0
11/30/21,2272.0
12/1/21,2180.0
12/2/21,1980.0
12/3/21,1801.0
12/4/21,1613.0
12/5/21,1244.0
12/6/21,1565.0
12/7/21,1884.0
12/8/21,1675.0
12/9/21,1620.0
12/10/21,1387.0
12/11/21,1309.0
12/12/21,944.0
12/13/21,1167.0
12/14/21,1547.0
12/15/21,1359.0
12/16/21,1325.0
12/17/21,1199.0
12/18/21,1015.0
12/19/21,802.0
12/20/21,0.0
12/21/21,2296.0
12/22/21,1268.0
12/23/21,1177.0
12/24/21,1193.0
12/25/21,1098.0
12/26/21,976.0
12/27/21,1249.0
12/28/21,1676.0
12/29/21,1804.0
12/30/21,1949.0
12/31/21,2192.0
1/1/22,1610.0
1/2/22,1907.0
1/3/22,2765.0
1/4/22,5224.0
1/5/22,7488.0
1/6/22,9122.0
1/7/22,7539.0
1/8/22,7652.0
1/9/22,7949.0
1/10/22,8949.0
1/11/22,0.0
1/12/22,26570.0
1/13/22,13753.0
1/14/22,12721.0
1/15/22,12559.0
