,Montenegro
7/6/21,24.0
7/7/21,30.0
7/8/21,22.0
7/9/21,16.0
7/10/21,29.0
7/11/21,19.0
7/12/21,10.0
7/13/21,31.0
7/14/21,24.0
7/15/21,24.0
7/16/21,23.0
7/17/21,32.0
7/18/21,40.0
7/19/21,28.0
7/20/21,65.0
7/21/21,47.0
7/22/21,63.0
7/23/21,64.0
7/24/21,132.0
7/25/21,69.0
7/26/21,77.0
7/27/21,145.0
7/28/21,144.0
7/29/21,146.0
7/30/21,143.0
7/31/21,142.0
8/1/21,165.0
8/2/21,92.0
8/3/21,219.0
8/4/21,257.0
8/5/21,219.0
8/6/21,279.0
8/7/21,285.0
8/8/21,279.0
8/9/21,210.0
8/10/21,332.0
8/11/21,349.0
8/12/21,389.0
8/13/21,354.0
8/14/21,394.0
8/15/21,446.0
8/16/21,297.0
8/17/21,548.0
8/18/21,535.0
8/19/21,532.0
8/20/21,634.0
8/21/21,598.0
8/22/21,622.0
8/23/21,415.0
8/24/21,661.0
8/25/21,698.0
8/26/21,764.0
8/27/21,671.0
8/28/21,637.0
8/29/21,556.0
8/30/21,423.0
8/31/21,598.0
9/1/21,571.0
9/2/21,577.0
9/3/21,547.0
9/4/21,552.0
9/5/21,472.0
9/6/21,362.0
9/7/21,603.0
9/8/21,533.0
9/9/21,547.0
9/10/21,574.0
9/11/21,628.0
9/12/21,557.0
9/13/21,456.0
9/14/21,765.0
9/15/21,626.0
9/16/21,730.0
9/17/21,643.0
9/18/21,600.0
9/19/21,531.0
9/20/21,425.0
9/21/21,642.0
9/22/21,568.0
9/23/21,483.0
9/24/21,419.0
9/25/21,489.0
9/26/21,363.0
9/27/21,342.0
9/28/21,510.0
9/29/21,520.0
9/30/21,479.0
10/1/21,447.0
10/2/21,414.0
10/3/21,336.0
10/4/21,309.0
10/5/21,410.0
10/6/21,352.0
10/7/21,444.0
10/8/21,391.0
10/9/21,408.0
10/10/21,288.0
10/11/21,235.0
10/12/21,448.0
10/13/21,341.0
10/14/21,359.0
10/15/21,365.0
10/16/21,355.0
10/17/21,368.0
10/18/21,278.0
10/19/21,560.0
10/20/21,459.0
10/21/21,422.0
10/22/21,475.0
10/23/21,526.0
10/24/21,433.0
10/25/21,370.0
10/26/21,542.0
10/27/21,474.0
10/28/21,499.0
10/29/21,515.0
10/30/21,463.0
10/31/21,529.0
11/1/21,378.0
11/2/21,622.0
11/3/21,622.0
11/4/21,727.0
11/5/21,738.0
11/6/21,626.0
11/7/21,552.0
11/8/21,418.0
11/9/21,732.0
11/10/21,584.0
11/11/21,480.0
11/12/21,479.0
11/13/21,458.0
11/14/21,357.0
11/15/21,324.0
11/16/21,520.0
11/17/21,403.0
11/18/21,409.0
11/19/21,385.0
11/20/21,336.0
11/21/21,294.0
11/22/21,253.0
11/23/21,354.0
11/24/21,329.0
11/25/21,310.0
11/26/21,264.0
11/27/21,340.0
11/28/21,265.0
11/29/21,212.0
11/30/21,291.0
12/1/21,235.0
12/2/21,258.0
12/3/21,207.0
12/4/21,207.0
12/5/21,183.0
12/6/21,157.0
12/7/21,215.0
12/8/21,196.0
12/9/21,180.0
12/10/21,219.0
12/11/21,202.0
12/12/21,153.0
12/13/21,113.0
12/14/21,210.0
12/15/21,159.0
12/16/21,187.0
12/17/21,198.0
12/18/21,163.0
12/19/21,177.0
12/20/21,132.0
12/21/21,237.0
12/22/21,308.0
12/23/21,272.0
12/24/21,420.0
12/25/21,464.0
12/26/21,545.0
12/27/21,581.0
12/28/21,1120.0
12/29/21,1507.0
12/30/21,1747.0
12/31/21,1706.0
1/1/22,1839.0
1/2/22,1288.0
1/3/22,1704.0
1/4/22,2590.0
1/5/22,2805.0
1/6/22,2960.0
1/7/22,2386.0
1/8/22,2219.0
1/9/22,2454.0
1/10/22,1892.0
1/11/22,2524.0
1/12/22,1945.0
1/13/22,2217.0
1/14/22,1678.0
1/15/22,1813.0
1/16/22,1398.0
1/17/22,1116.0
1/18/22,1814.0
1/19/22,1495.0
1/20/22,1548.0
1/21/22,1212.0
1/22/22,1213.0
1/23/22,996.0
1/24/22,756.0
1/25/22,1121.0
1/26/22,933.0
1/27/22,906.0
1/28/22,896.0
1/29/22,885.0
1/30/22,666.0
1/31/22,472.0
2/1/22,822.0
2/2/22,617.0
2/3/22,688.0
2/4/22,532.0
2/5/22,527.0
2/6/22,501.0
2/7/22,312.0
2/8/22,594.0
2/9/22,425.0
2/10/22,460.0
2/11/22,487.0
2/12/22,402.0
2/13/22,325.0
2/14/22,225.0
2/15/22,353.0
2/16/22,428.0
2/17/22,386.0
2/18/22,323.0
2/19/22,340.0
2/20/22,249.0
2/21/22,185.0
2/22/22,266.0
2/23/22,208.0
2/24/22,200.0
2/25/22,206.0
2/26/22,175.0
2/27/22,109.0
2/28/22,87.0
