,Thailand
6/28/21,5406.0
6/29/21,4662.0
6/30/21,4786.0
7/1/21,5533.0
7/2/21,6087.0
7/3/21,6230.0
7/4/21,5916.0
7/5/21,6166.0
7/6/21,5420.0
7/7/21,6519.0
7/8/21,7058.0
7/9/21,9276.0
7/10/21,9326.0
7/11/21,9539.0
7/12/21,8656.0
7/13/21,8685.0
7/14/21,9317.0
7/15/21,9186.0
7/16/21,9692.0
7/17/21,10082.0
7/18/21,11397.0
7/19/21,11784.0
7/20/21,11305.0
7/21/21,13002.0
7/22/21,13655.0
7/23/21,14575.0
7/24/21,14260.0
7/25/21,15335.0
7/26/21,15376.0
7/27/21,14150.0
7/28/21,16533.0
7/29/21,17669.0
7/30/21,17345.0
7/31/21,18912.0
8/1/21,18027.0
8/2/21,17970.0
8/3/21,18901.0
8/4/21,20200.0
8/5/21,20920.0
8/6/21,21379.0
8/7/21,21838.0
8/8/21,19983.0
8/9/21,19603.0
8/10/21,19843.0
8/11/21,21038.0
8/12/21,22782.0
8/13/21,23418.0
8/14/21,22086.0
8/15/21,21882.0
8/16/21,21157.0
8/17/21,20128.0
8/18/21,20515.0
8/19/21,20902.0
8/20/21,19851.0
8/21/21,20571.0
8/22/21,19014.0
8/23/21,17491.0
8/24/21,17165.0
8/25/21,18417.0
8/26/21,18501.0
8/27/21,18702.0
8/28/21,17984.0
8/29/21,16536.0
8/30/21,15972.0
8/31/21,14666.0
9/1/21,14802.0
9/2/21,14956.0
9/3/21,14653.0
9/4/21,15942.0
9/5/21,15452.0
9/6/21,13988.0
9/7/21,13821.0
9/8/21,14176.0
9/9/21,16031.0
9/10/21,14403.0
9/11/21,15191.0
9/12/21,14029.0
9/13/21,12583.0
9/14/21,11786.0
9/15/21,13798.0
9/16/21,13897.0
9/17/21,14555.0
9/18/21,14109.0
9/19/21,13576.0
9/20/21,12709.0
9/21/21,10919.0
9/22/21,11252.0
9/23/21,13256.0
9/24/21,12697.0
9/25/21,11975.0
9/26/21,12353.0
9/27/21,10288.0
9/28/21,9489.0
9/29/21,10414.0
9/30/21,11646.0
10/1/21,11754.0
10/2/21,11375.0
10/3/21,10828.0
10/4/21,9930.0
10/5/21,9869.0
10/6/21,9866.0
10/7/21,11200.0
10/8/21,11140.0
10/9/21,10630.0
10/10/21,10817.0
10/11/21,10035.0
10/12/21,9445.0
10/13/21,10064.0
10/14/21,11276.0
10/15/21,10486.0
10/16/21,10648.0
10/17/21,10863.0
10/18/21,10111.0
10/19/21,9122.0
10/20/21,8918.0
10/21/21,9727.0
10/22/21,9810.0
10/23/21,9742.0
10/24/21,9351.0
10/25/21,8675.0
10/26/21,7706.0
10/27/21,8452.0
10/28/21,9658.0
10/29/21,8968.0
10/30/21,9224.0
10/31/21,8859.0
11/1/21,8165.0
11/2/21,7574.0
11/3/21,7679.0
11/4/21,7980.0
11/5/21,8150.0
11/6/21,8467.0
11/7/21,7960.0
11/8/21,7592.0
11/9/21,6904.0
11/10/21,6978.0
11/11/21,7496.0
11/12/21,7305.0
11/13/21,7057.0
11/14/21,7079.0
11/15/21,6343.0
11/16/21,5947.0
11/17/21,6524.0
11/18/21,6901.0
11/19/21,6855.0
11/20/21,6595.0
11/21/21,7006.0
11/22/21,6428.0
11/23/21,5126.0
11/24/21,5857.0
11/25/21,6335.0
11/26/21,6559.0
11/27/21,6073.0
11/28/21,5854.0
11/29/21,4753.0
11/30/21,4306.0
12/1/21,4886.0
12/2/21,4971.0
12/3/21,4912.0
12/4/21,5896.0
12/5/21,4704.0
12/6/21,4000.0
12/7/21,3525.0
12/8/21,3618.0
12/9/21,4203.0
12/10/21,4193.0
12/11/21,4079.0
12/12/21,3787.0
12/13/21,3398.0
12/14/21,2862.0
12/15/21,3370.0
12/16/21,3684.0
12/17/21,3537.0
12/18/21,3132.0
12/19/21,2899.0
12/20/21,2525.0
12/21/21,2476.0
12/22/21,2532.0
12/23/21,2940.0
12/24/21,2671.0
12/25/21,2766.0
12/26/21,2532.0
12/27/21,2437.0
12/28/21,2305.0
12/29/21,2575.0
12/30/21,3037.0
12/31/21,3111.0
1/1/22,3011.0
1/2/22,3112.0
1/3/22,2927.0
1/4/22,3091.0
1/5/22,3899.0
1/6/22,5775.0
1/7/22,7526.0
1/8/22,8263.0
1/9/22,8511.0
1/10/22,7926.0
1/11/22,7133.0
1/12/22,15848.0
1/13/22,8158.0
1/14/22,7793.0
1/15/22,8077.0
1/16/22,6929.0
1/17/22,6397.0
1/18/22,7122.0
1/19/22,8129.0
1/20/22,8640.0
1/21/22,8112.0
1/22/22,7686.0
1/23/22,7139.0
1/24/22,6718.0
1/25/22,7587.0
1/26/22,8078.0
1/27/22,8450.0
1/28/22,8618.0
1/29/22,8444.0
1/30/22,8008.0
1/31/22,7422.0
2/1/22,8587.0
2/2/22,9172.0
2/3/22,9909.0
2/4/22,10490.0
2/5/22,10879.0
2/6/22,10470.0
2/7/22,10398.0
2/8/22,13182.0
2/9/22,14822.0
2/10/22,15242.0
2/11/22,16330.0
2/12/22,15882.0
2/13/22,14900.0
2/14/22,14373.0
2/15/22,16462.0
2/16/22,17349.0
2/17/22,18066.0
2/18/22,18885.0
2/19/22,18953.0
2/20/22,18883.0
2/21/22,18363.0
2/22/22,21232.0
2/23/22,23557.0
2/24/22,24932.0
2/25/22,25615.0
2/26/22,24719.0
2/27/22,22311.0
2/28/22,0.0
