,Denmark
2/16/22,42948.0
2/17/22,40600.0
2/18/22,35658.0
2/19/22,33304.0
2/20/22,25690.0
2/21/22,28883.0
2/22/22,30480.0
2/23/22,29040.0
2/24/22,25209.0
2/25/22,22784.0
2/26/22,17359.0
2/27/22,16454.0
2/28/22,16578.0
