,Malaysia
6/14/21,4949.0
6/15/21,5419.0
6/16/21,5150.0
6/17/21,5738.0
6/18/21,6440.0
6/19/21,5911.0
6/20/21,5293.0
6/21/21,4611.0
6/22/21,4743.0
6/23/21,5244.0
6/24/21,5841.0
6/25/21,5812.0
6/26/21,5803.0
6/27/21,5586.0
6/28/21,5218.0
6/29/21,6437.0
6/30/21,6276.0
7/1/21,6988.0
7/2/21,6982.0
7/3/21,6658.0
7/4/21,6045.0
7/5/21,6387.0
7/6/21,7654.0
7/7/21,7097.0
7/8/21,8868.0
7/9/21,9180.0
7/10/21,9353.0
7/11/21,9105.0
7/12/21,8574.0
7/13/21,11079.0
7/14/21,11618.0
7/15/21,13215.0
7/16/21,12541.0
7/17/21,12528.0
7/18/21,10710.0
7/19/21,10972.0
7/20/21,12366.0
7/21/21,11985.0
7/22/21,13034.0
7/23/21,15573.0
7/24/21,15902.0
7/25/21,17045.0
7/26/21,14516.0
7/27/21,16117.0
7/28/21,17405.0
7/29/21,17170.0
7/30/21,16840.0
7/31/21,17786.0
8/1/21,17150.0
8/2/21,15764.0
8/3/21,17105.0
8/4/21,19819.0
8/5/21,20596.0
8/6/21,20889.0
8/7/21,19257.0
8/8/21,18688.0
8/9/21,17236.0
8/10/21,19991.0
8/11/21,20780.0
8/12/21,21668.0
8/13/21,21468.0
8/14/21,20670.0
8/15/21,20546.0
8/16/21,19740.0
8/17/21,19631.0
8/18/21,22242.0
8/19/21,22948.0
8/20/21,23564.0
8/21/21,22262.0
8/22/21,19807.0
8/23/21,17672.0
8/24/21,20837.0
8/25/21,22642.0
8/26/21,24599.0
8/27/21,22070.0
8/28/21,22597.0
8/29/21,20579.0
8/30/21,19268.0
8/31/21,20897.0
9/1/21,18762.0
9/2/21,20988.0
9/3/21,19378.0
9/4/21,19057.0
9/5/21,20396.0
9/6/21,17352.0
9/7/21,18547.0
9/8/21,19733.0
9/9/21,19307.0
9/10/21,21176.0
9/11/21,19550.0
9/12/21,19198.0
9/13/21,16073.0
9/14/21,15669.0
9/15/21,19495.0
9/16/21,18815.0
9/17/21,17577.0
9/18/21,15549.0
9/19/21,14954.0
9/20/21,14345.0
9/21/21,15759.0
9/22/21,14990.0
9/23/21,13754.0
9/24/21,14554.0
9/25/21,13899.0
9/26/21,13104.0
9/27/21,10959.0
9/28/21,11332.0
9/29/21,12434.0
9/30/21,12735.0
10/1/21,11889.0
10/2/21,10915.0
10/3/21,9066.0
10/4/21,8075.0
10/5/21,8817.0
10/6/21,9380.0
10/7/21,9890.0
10/8/21,9751.0
10/9/21,8743.0
10/10/21,7373.0
10/11/21,6709.0
10/12/21,7276.0
10/13/21,7950.0
10/14/21,8084.0
10/15/21,7420.0
10/16/21,7509.0
10/17/21,6145.0
10/18/21,5434.0
10/19/21,5745.0
10/20/21,5516.0
10/21/21,6210.0
10/22/21,6630.0
10/23/21,5828.0
10/24/21,5666.0
10/25/21,4782.0
10/26/21,5726.0
10/27/21,6148.0
10/28/21,6377.0
10/29/21,6060.0
10/30/21,5854.0
10/31/21,4979.0
11/1/21,4626.0
11/2/21,5071.0
11/3/21,5291.0
11/4/21,5713.0
11/5/21,4922.0
11/6/21,4701.0
11/7/21,4343.0
11/8/21,4543.0
11/9/21,6321.0
11/10/21,5325.0
11/11/21,6323.0
11/12/21,6517.0
11/13/21,5809.0
11/14/21,5162.0
11/15/21,5143.0
11/16/21,5413.0
11/17/21,6288.0
11/18/21,6380.0
11/19/21,6355.0
11/20/21,5859.0
11/21/21,4854.0
11/22/21,4885.0
11/23/21,5594.0
11/24/21,5755.0
11/25/21,6144.0
11/26/21,5501.0
11/27/21,5097.0
11/28/21,4239.0
11/29/21,4087.0
11/30/21,4879.0
12/1/21,5439.0
12/2/21,5806.0
12/3/21,5551.0
12/4/21,4896.0
12/5/21,4298.0
12/6/21,4262.0
12/7/21,4965.0
12/8/21,5020.0
12/9/21,5446.0
12/10/21,5058.0
12/11/21,4626.0
12/12/21,3490.0
12/13/21,3504.0
12/14/21,4097.0
12/15/21,3900.0
12/16/21,4262.0
12/17/21,4362.0
12/18/21,4083.0
12/19/21,3108.0
12/20/21,2589.0
12/21/21,3140.0
12/22/21,3519.0
12/23/21,3510.0
12/24/21,3528.0
12/25/21,3160.0
12/26/21,2778.0
12/27/21,2757.0
12/28/21,2897.0
12/29/21,3683.0
12/30/21,3997.0
12/31/21,3573.0
1/1/22,3386.0
1/2/22,2882.0
1/3/22,2690.0
1/4/22,2842.0
1/5/22,3270.0
1/6/22,3543.0
1/7/22,3381.0
1/8/22,3251.0
1/9/22,2888.0
1/10/22,2641.0
1/11/22,3175.0
1/12/22,3198.0
1/13/22,3684.0
1/14/22,3346.0
1/15/22,3074.0
1/16/22,3010.0
1/17/22,2342.0
1/18/22,3245.0
1/19/22,3229.0
1/20/22,3764.0
1/21/22,4046.0
1/22/22,4116.0
1/23/22,3856.0
1/24/22,3214.0
1/25/22,4066.0
1/26/22,4744.0
1/27/22,5439.0
1/28/22,5522.0
1/29/22,5139.0
1/30/22,4915.0
1/31/22,4774.0
2/1/22,5566.0
2/2/22,5736.0
2/3/22,5720.0
2/4/22,7234.0
2/5/22,9117.0
2/6/22,10089.0
2/7/22,11034.0
2/8/22,13944.0
2/9/22,17134.0
2/10/22,19090.0
2/11/22,20939.0
2/12/22,22802.0
2/13/22,21072.0
2/14/22,24340.0
2/15/22,19108.0
2/16/22,27831.0
2/17/22,26701.0
2/18/22,27808.0
2/19/22,28825.0
2/20/22,26832.0
2/21/22,25099.0
2/22/22,27179.0
2/23/22,31199.0
2/24/22,32070.0
2/25/22,30644.0
2/26/22,27299.0
2/27/22,24466.0
2/28/22,23100.0
