,Ghana
6/24/21,23.0
6/25/21,0.0
6/26/21,0.0
6/27/21,110.0
6/28/21,107.0
6/29/21,166.0
6/30/21,272.0
7/1/21,0.0
7/2/21,0.0
7/3/21,153.0
7/4/21,250.0
7/5/21,85.0
7/6/21,0.0
7/7/21,306.0
7/8/21,263.0
7/9/21,0.0
7/10/21,159.0
7/11/21,455.0
7/12/21,0.0
7/13/21,143.0
7/14/21,0.0
7/15/21,386.0
7/16/21,0.0
7/17/21,321.0
7/18/21,382.0
7/19/21,0.0
7/20/21,343.0
7/21/21,0.0
7/22/21,0.0
7/23/21,1090.0
7/24/21,497.0
7/25/21,423.0
7/26/21,933.0
7/27/21,0.0
7/28/21,916.0
7/29/21,0.0
7/30/21,0.0
7/31/21,0.0
8/1/21,0.0
8/2/21,1975.0
8/3/21,518.0
8/4/21,541.0
8/5/21,381.0
8/6/21,0.0
8/7/21,316.0
8/8/21,1476.0
8/9/21,0.0
8/10/21,451.0
8/11/21,345.0
8/12/21,406.0
8/13/21,308.0
8/14/21,570.0
8/15/21,404.0
8/16/21,522.0
8/17/21,0.0
8/18/21,1146.0
8/19/21,550.0
8/20/21,0.0
8/21/21,1029.0
8/22/21,627.0
8/23/21,518.0
8/24/21,423.0
8/25/21,0.0
8/26/21,916.0
8/27/21,599.0
8/28/21,596.0
8/29/21,0.0
8/30/21,630.0
8/31/21,1170.0
9/1/21,0.0
9/2/21,567.0
9/3/21,449.0
9/4/21,0.0
9/5/21,0.0
9/6/21,855.0
9/7/21,850.0
9/8/21,386.0
9/9/21,0.0
9/10/21,236.0
9/11/21,0.0
9/12/21,742.0
9/13/21,353.0
9/14/21,0.0
9/15/21,0.0
9/16/21,0.0
9/17/21,866.0
9/18/21,265.0
9/19/21,256.0
9/20/21,304.0
9/21/21,0.0
9/22/21,265.0
9/23/21,316.0
9/24/21,167.0
9/25/21,308.0
9/26/21,0.0
9/27/21,395.0
9/28/21,0.0
9/29/21,0.0
9/30/21,466.0
10/1/21,0.0
10/2/21,0.0
10/3/21,0.0
10/4/21,0.0
10/5/21,396.0
10/6/21,281.0
10/7/21,209.0
10/8/21,0.0
10/9/21,0.0
10/10/21,0.0
10/11/21,0.0
10/12/21,0.0
10/13/21,0.0
10/14/21,0.0
10/15/21,0.0
10/16/21,890.0
10/17/21,182.0
10/18/21,0.0
10/19/21,152.0
10/20/21,0.0
10/21/21,0.0
10/22/21,0.0
10/23/21,213.0
10/24/21,0.0
10/25/21,143.0
10/26/21,60.0
10/27/21,33.0
10/28/21,36.0
10/29/21,0.0
10/30/21,0.0
10/31/21,0.0
11/1/21,0.0
11/2/21,210.0
11/3/21,0.0
11/4/21,0.0
11/5/21,104.0
11/6/21,0.0
11/7/21,0.0
11/8/21,0.0
11/9/21,217.0
11/10/21,0.0
11/11/21,41.0
11/12/21,0.0
11/13/21,0.0
11/14/21,0.0
11/15/21,61.0
11/16/21,17.0
11/17/21,0.0
11/18/21,0.0
11/19/21,0.0
11/20/21,0.0
11/21/21,100.0
11/22/21,0.0
11/23/21,93.0
11/24/21,0.0
11/25/21,0.0
11/26/21,0.0
11/27/21,0.0
11/28/21,0.0
11/29/21,0.0
11/30/21,0.0
12/1/21,0.0
12/2/21,0.0
12/3/21,0.0
12/4/21,0.0
12/5/21,0.0
12/6/21,326.0
12/7/21,0.0
12/8/21,0.0
12/9/21,0.0
12/10/21,0.0
12/11/21,166.0
12/12/21,135.0
12/13/21,0.0
12/14/21,0.0
12/15/21,293.0
12/16/21,71.0
12/17/21,0.0
12/18/21,0.0
12/19/21,0.0
12/20/21,221.0
12/21/21,477.0
12/22/21,946.0
12/23/21,1000.0
12/24/21,0.0
12/25/21,0.0
12/26/21,1881.0
12/27/21,2521.0
12/28/21,1264.0
12/29/21,1074.0
12/30/21,0.0
12/31/21,1691.0
1/1/22,1011.0
1/2/22,1055.0
1/3/22,1067.0
1/4/22,1084.0
1/5/22,876.0
1/6/22,0.0
1/7/22,0.0
1/8/22,1288.0
1/9/22,1507.0
1/10/22,1369.0
1/11/22,0.0
1/12/22,486.0
1/13/22,0.0
1/14/22,0.0
1/15/22,785.0
1/16/22,0.0
1/17/22,0.0
1/18/22,676.0
1/19/22,0.0
1/20/22,701.0
1/21/22,0.0
1/22/22,0.0
1/23/22,605.0
1/24/22,169.0
1/25/22,0.0
1/26/22,607.0
1/27/22,120.0
1/28/22,123.0
1/29/22,175.0
1/30/22,115.0
1/31/22,115.0
2/1/22,0.0
2/2/22,0.0
2/3/22,300.0
2/4/22,0.0
2/5/22,321.0
2/6/22,0.0
2/7/22,210.0
2/8/22,0.0
2/9/22,0.0
2/10/22,0.0
2/11/22,0.0
2/12/22,0.0
2/13/22,0.0
2/14/22,166.0
2/15/22,75.0
2/16/22,167.0
2/17/22,61.0
2/18/22,0.0
2/19/22,0.0
2/20/22,0.0
2/21/22,214.0
2/22/22,460.0
2/23/22,230.0
2/24/22,0.0
2/25/22,0.0
2/26/22,0.0
2/27/22,0.0
2/28/22,550.0
