,Jordan
6/16/21,467.0
6/17/21,522.0
6/18/21,301.0
6/19/21,311.0
6/20/21,502.0
6/21/21,520.0
6/22/21,504.0
6/23/21,599.0
6/24/21,582.0
6/25/21,361.0
6/26/21,273.0
6/27/21,465.0
6/28/21,605.0
6/29/21,497.0
6/30/21,518.0
7/1/21,533.0
7/2/21,458.0
7/3/21,222.0
7/4/21,575.0
7/5/21,584.0
7/6/21,505.0
7/7/21,646.0
7/8/21,553.0
7/9/21,468.0
7/10/21,406.0
7/11/21,569.0
7/12/21,767.0
7/13/21,601.0
7/14/21,734.0
7/15/21,661.0
7/16/21,475.0
7/17/21,389.0
7/18/21,675.0
7/19/21,0.0
7/20/21,1195.0
7/21/21,286.0
7/22/21,400.0
7/23/21,331.0
7/24/21,485.0
7/25/21,1061.0
7/26/21,1131.0
7/27/21,1213.0
7/28/21,1055.0
7/29/21,1008.0
7/30/21,760.0
7/31/21,562.0
8/1/21,1041.0
8/2/21,0.0
8/3/21,1904.0
8/4/21,897.0
8/5/21,697.0
8/6/21,531.0
8/7/21,396.0
8/8/21,986.0
8/9/21,929.0
8/10/21,926.0
8/11/21,511.0
8/12/21,1012.0
8/13/21,1010.0
8/14/21,658.0
8/15/21,1238.0
8/16/21,1183.0
8/17/21,1066.0
8/18/21,888.0
8/19/21,782.0
8/20/21,721.0
8/21/21,0.0
8/22/21,1386.0
8/23/21,976.0
8/24/21,1016.0
8/25/21,812.0
8/26/21,904.0
8/27/21,0.0
8/28/21,1168.0
8/29/21,811.0
8/30/21,1098.0
8/31/21,867.0
9/1/21,965.0
9/2/21,893.0
9/3/21,841.0
9/4/21,415.0
9/5/21,1048.0
9/6/21,1061.0
9/7/21,1002.0
9/8/21,975.0
9/9/21,0.0
9/10/21,1686.0
9/11/21,0.0
9/12/21,1372.0
9/13/21,0.0
9/14/21,2059.0
9/15/21,1116.0
9/16/21,904.0
9/17/21,790.0
9/18/21,428.0
9/19/21,920.0
9/20/21,0.0
9/21/21,1945.0
9/22/21,1028.0
9/23/21,913.0
9/24/21,871.0
9/25/21,438.0
9/26/21,987.0
9/27/21,1015.0
9/28/21,1042.0
9/29/21,1052.0
9/30/21,1027.0
10/1/21,778.0
10/2/21,548.0
10/3/21,1037.0
10/4/21,1222.0
10/5/21,1068.0
10/6/21,1316.0
10/7/21,1056.0
10/8/21,888.0
10/9/21,567.0
10/10/21,1072.0
10/11/21,1307.0
10/12/21,1191.0
10/13/21,1286.0
10/14/21,1268.0
10/15/21,1021.0
10/16/21,573.0
10/17/21,1372.0
10/18/21,1715.0
10/19/21,1597.0
10/20/21,1232.0
10/21/21,0.0
10/22/21,2967.0
10/23/21,758.0
10/24/21,1652.0
10/25/21,1602.0
10/26/21,1746.0
10/27/21,1692.0
10/28/21,1892.0
10/29/21,1454.0
10/30/21,1022.0
10/31/21,1723.0
11/1/21,2120.0
11/2/21,1790.0
11/3/21,2042.0
11/4/21,2012.0
11/5/21,2080.0
11/6/21,1122.0
11/7/21,2097.0
11/8/21,2562.0
11/9/21,2577.0
11/10/21,2503.0
11/11/21,2596.0
11/12/21,2393.0
11/13/21,1236.0
11/14/21,0.0
11/15/21,5893.0
11/16/21,0.0
11/17/21,3118.0
11/18/21,7056.0
11/19/21,0.0
11/20/21,5532.0
11/21/21,3579.0
11/22/21,4324.0
11/23/21,4549.0
11/24/21,4534.0
11/25/21,4283.0
11/26/21,4080.0
11/27/21,2674.0
11/28/21,4012.0
11/29/21,5661.0
11/30/21,4977.0
12/1/21,5047.0
12/2/21,4665.0
12/3/21,0.0
12/4/21,7746.0
12/5/21,4555.0
12/6/21,5811.0
12/7/21,6392.0
12/8/21,5180.0
12/9/21,5153.0
12/10/21,4936.0
12/11/21,2708.0
12/12/21,3897.0
12/13/21,5256.0
12/14/21,4402.0
12/15/21,4341.0
12/16/21,3812.0
12/17/21,3705.0
12/18/21,1920.0
12/19/21,3196.0
12/20/21,3578.0
12/21/21,3023.0
12/22/21,2448.0
12/23/21,2239.0
12/24/21,2304.0
12/25/21,1164.0
12/26/21,1447.0
12/27/21,2024.0
12/28/21,2403.0
12/29/21,2220.0
12/30/21,2045.0
12/31/21,1845.0
1/1/22,872.0
1/2/22,1294.0
1/3/22,1682.0
1/4/22,2296.0
1/5/22,2288.0
1/6/22,2170.0
1/7/22,2033.0
1/8/22,1392.0
1/9/22,2349.0
1/10/22,2789.0
1/11/22,2930.0
1/12/22,2829.0
1/13/22,3362.0
1/14/22,3396.0
1/15/22,2387.0
1/16/22,3493.0
1/17/22,5039.0
1/18/22,5175.0
1/19/22,6216.0
1/20/22,6289.0
1/21/22,6309.0
1/22/22,4102.0
1/23/22,6951.0
1/24/22,11478.0
1/25/22,11813.0
1/26/22,12826.0
1/27/22,7691.0
1/28/22,4224.0
1/29/22,8170.0
1/30/22,11833.0
1/31/22,16226.0
2/1/22,17781.0
2/2/22,17893.0
2/3/22,19123.0
2/4/22,21386.0
2/5/22,12751.0
2/6/22,15864.0
2/7/22,21626.0
2/8/22,22720.0
2/9/22,21977.0
2/10/22,21460.0
2/11/22,18872.0
2/12/22,14048.0
2/13/22,17550.0
2/14/22,22113.0
2/15/22,18477.0
2/16/22,17322.0
2/17/22,15107.0
2/18/22,12379.0
2/19/22,7064.0
2/20/22,10085.0
2/21/22,11254.0
2/22/22,9117.0
2/23/22,8144.0
2/24/22,7415.0
2/25/22,7861.0
2/26/22,2480.0
2/27/22,6296.0
2/28/22,8234.0
