,Oman
6/3/21,1173.0
6/4/21,0.0
6/5/21,0.0
6/6/21,3177.0
6/7/21,1216.0
6/8/21,1553.0
6/9/21,1931.0
6/10/21,1640.0
6/11/21,0.0
6/12/21,0.0
6/13/21,4415.0
6/14/21,1806.0
6/15/21,2126.0
6/16/21,2142.0
6/17/21,2015.0
6/18/21,0.0
6/19/21,0.0
6/20/21,5320.0
6/21/21,2529.0
6/22/21,2037.0
6/23/21,2047.0
6/24/21,1886.0
6/25/21,0.0
6/26/21,0.0
6/27/21,5517.0
6/28/21,2243.0
6/29/21,2234.0
6/30/21,2009.0
7/1/21,1959.0
7/2/21,0.0
7/3/21,0.0
7/4/21,4662.0
7/5/21,1570.0
7/6/21,1824.0
7/7/21,1675.0
7/8/21,1453.0
7/9/21,0.0
7/10/21,0.0
7/11/21,3217.0
7/12/21,1167.0
7/13/21,982.0
7/14/21,1084.0
7/15/21,904.0
7/16/21,0.0
7/17/21,0.0
7/18/21,0.0
7/19/21,0.0
7/20/21,0.0
7/21/21,0.0
7/22/21,0.0
7/23/21,0.0
7/24/21,0.0
7/25/21,4912.0
7/26/21,572.0
7/27/21,491.0
7/28/21,518.0
7/29/21,322.0
7/30/21,0.0
7/31/21,0.0
8/1/21,978.0
8/2/21,287.0
8/3/21,309.0
8/4/21,293.0
8/5/21,296.0
8/6/21,0.0
8/7/21,0.0
8/8/21,686.0
8/9/21,236.0
8/10/21,0.0
8/11/21,476.0
8/12/21,224.0
8/13/21,0.0
8/14/21,0.0
8/15/21,552.0
8/16/21,214.0
8/17/21,173.0
8/18/21,147.0
8/19/21,186.0
8/20/21,0.0
8/21/21,0.0
8/22/21,385.0
8/23/21,151.0
8/24/21,120.0
8/25/21,113.0
8/26/21,101.0
8/27/21,0.0
8/28/21,0.0
8/29/21,348.0
8/30/21,107.0
8/31/21,61.0
9/1/21,93.0
9/2/21,73.0
9/3/21,0.0
9/4/21,0.0
9/5/21,202.0
9/6/21,80.0
9/7/21,67.0
9/8/21,52.0
9/9/21,57.0
9/10/21,0.0
9/11/21,0.0
9/12/21,181.0
9/13/21,58.0
9/14/21,60.0
9/15/21,45.0
9/16/21,41.0
9/17/21,0.0
9/18/21,0.0
9/19/21,114.0
9/20/21,36.0
9/21/21,31.0
9/22/21,22.0
9/23/21,39.0
9/24/21,0.0
9/25/21,0.0
9/26/21,88.0
9/27/21,34.0
9/28/21,32.0
9/29/21,33.0
9/30/21,31.0
10/1/21,0.0
10/2/21,0.0
10/3/21,0.0
10/4/21,0.0
10/5/21,97.0
10/6/21,29.0
10/7/21,20.0
10/8/21,0.0
10/9/21,0.0
10/10/21,50.0
10/11/21,13.0
10/12/21,21.0
10/13/21,14.0
10/14/21,12.0
10/15/21,0.0
10/16/21,0.0
10/17/21,29.0
10/18/21,12.0
10/19/21,0.0
10/20/21,35.0
10/21/21,15.0
10/22/21,0.0
10/23/21,0.0
10/24/21,47.0
10/25/21,20.0
10/26/21,22.0
10/27/21,14.0
10/28/21,22.0
10/29/21,0.0
10/30/21,0.0
10/31/21,50.0
11/1/21,8.0
11/2/21,9.0
11/3/21,10.0
11/4/21,11.0
11/5/21,0.0
11/6/21,0.0
11/7/21,36.0
11/8/21,10.0
11/9/21,14.0
11/10/21,14.0
11/11/21,7.0
11/12/21,0.0
11/13/21,0.0
11/14/21,19.0
11/15/21,8.0
11/16/21,4.0
11/17/21,12.0
11/18/21,13.0
11/19/21,0.0
11/20/21,0.0
11/21/21,26.0
11/22/21,7.0
11/23/21,10.0
11/24/21,5.0
11/25/21,5.0
11/26/21,0.0
11/27/21,0.0
11/28/21,0.0
11/29/21,0.0
11/30/21,35.0
12/1/21,18.0
12/2/21,9.0
12/3/21,0.0
12/4/21,0.0
12/5/21,22.0
12/6/21,9.0
12/7/21,19.0
12/8/21,23.0
12/9/21,25.0
12/10/21,0.0
12/11/21,0.0
12/12/21,35.0
12/13/21,10.0
12/14/21,17.0
12/15/21,20.0
12/16/21,22.0
12/17/21,0.0
12/18/21,0.0
12/19/21,60.0
12/20/21,31.0
12/21/21,22.0
12/22/21,42.0
12/23/21,46.0
12/24/21,0.0
12/25/21,0.0
12/26/21,121.0
12/27/21,69.0
12/28/21,79.0
12/29/21,104.0
12/30/21,132.0
12/31/21,0.0
1/1/22,0.0
1/2/22,343.0
1/3/22,176.0
1/4/22,232.0
1/5/22,252.0
1/6/22,263.0
1/7/22,0.0
1/8/22,0.0
1/9/22,967.0
1/10/22,539.0
1/11/22,609.0
1/12/22,718.0
1/13/22,750.0
1/14/22,0.0
1/15/22,0.0
1/16/22,2087.0
1/17/22,1113.0
1/18/22,1315.0
1/19/22,1619.0
1/20/22,1800.0
1/21/22,0.0
1/22/22,0.0
1/23/22,4166.0
1/24/22,1647.0
1/25/22,2079.0
1/26/22,2162.0
1/27/22,2441.0
1/28/22,0.0
1/29/22,0.0
1/30/22,5693.0
1/31/22,2420.0
2/1/22,2828.0
2/2/22,2335.0
2/3/22,1998.0
2/4/22,0.0
2/5/22,0.0
2/6/22,6146.0
2/7/22,2410.0
2/8/22,2303.0
2/9/22,2356.0
2/10/22,1743.0
2/11/22,0.0
2/12/22,0.0
2/13/22,4701.0
2/14/22,1979.0
2/15/22,1511.0
2/16/22,1430.0
2/17/22,1440.0
2/18/22,0.0
2/19/22,0.0
2/20/22,3628.0
2/21/22,1036.0
2/22/22,1224.0
2/23/22,974.0
2/24/22,696.0
2/25/22,0.0
2/26/22,0.0
2/27/22,1763.0
2/28/22,863.0
