,Kazakhstan
4/3/21,2104.0
4/4/21,1938.0
4/5/21,1816.0
4/6/21,2080.0
4/7/21,2802.0
4/8/21,2544.0
4/9/21,2835.0
4/10/21,2944.0
4/11/21,2326.0
4/12/21,2027.0
4/13/21,2359.0
4/14/21,2726.0
4/15/21,2727.0
4/16/21,2822.0
4/17/21,2896.0
4/18/21,2835.0
4/19/21,2541.0
4/20/21,2831.0
4/21/21,3016.0
4/22/21,3001.0
4/23/21,2930.0
4/24/21,2916.0
4/25/21,2741.0
4/26/21,2296.0
4/27/21,2838.0
4/28/21,2995.0
4/29/21,2958.0
4/30/21,2877.0
5/1/21,2902.0
5/2/21,2637.0
5/3/21,2086.0
5/4/21,2327.0
5/5/21,2620.0
5/6/21,2941.0
5/7/21,2587.0
5/8/21,2491.0
5/9/21,2142.0
5/10/21,23.0
5/11/21,3597.0
5/12/21,2456.0
5/13/21,2676.0
5/14/21,2635.0
5/15/21,2577.0
5/16/21,2089.0
5/17/21,20.0
5/18/21,3856.0
5/19/21,2662.0
5/20/21,2267.0
5/21/21,2267.0
5/22/21,2476.0
5/23/21,1847.0
5/24/21,1568.0
5/25/21,1860.0
5/26/21,1956.0
5/27/21,1827.0
5/28/21,1688.0
5/29/21,96.0
5/30/21,3059.0
5/31/21,1161.0
6/1/21,1442.0
6/2/21,1385.0
6/3/21,1513.0
6/4/21,1303.0
6/5/21,1280.0
6/6/21,1010.0
6/7/21,773.0
6/8/21,1119.0
6/9/21,1215.0
6/10/21,1190.0
6/11/21,1181.0
6/12/21,1058.0
6/13/21,70.0
6/14/21,1738.0
6/15/21,1128.0
6/16/21,1145.0
6/17/21,1310.0
6/18/21,0.0
6/19/21,1215.0
6/20/21,2115.0
6/21/21,944.0
6/22/21,1329.0
6/23/21,1577.0
6/24/21,1523.0
6/25/21,1730.0
6/26/21,54.0
6/27/21,3458.0
6/28/21,1323.0
6/29/21,2099.0
6/30/21,2524.0
7/1/21,2666.0
7/2/21,2852.0
7/3/21,3073.0
7/4/21,0.0
7/5/21,5731.0
7/6/21,2747.0
7/7/21,2826.0
7/8/21,0.0
7/9/21,3049.0
7/10/21,7055.0
7/11/21,3939.0
7/12/21,3712.0
7/13/21,4542.0
7/14/21,0.0
7/15/21,11211.0
7/16/21,5658.0
7/17/21,5639.0
7/18/21,124.0
7/19/21,0.0
7/20/21,15663.0
7/21/21,5742.0
7/22/21,6352.0
7/23/21,66121.0
7/24/21,-59375.0
7/25/21,13564.0
7/26/21,6820.0
7/27/21,7249.0
7/28/21,7741.0
7/29/21,7778.0
7/30/21,8304.0
7/31/21,0.0
8/1/21,15738.0
8/2/21,7527.0
8/3/21,7990.0
8/4/21,8171.0
8/5/21,8182.0
8/6/21,7899.0
8/7/21,8604.0
8/8/21,7747.0
8/9/21,7270.0
8/10/21,8245.0
8/11/21,8174.0
8/12/21,0.0
8/13/21,16122.0
8/14/21,0.0
8/15/21,15103.0
8/16/21,6922.0
8/17/21,7597.0
8/18/21,7758.0
8/19/21,7687.0
8/20/21,7471.0
8/21/21,7035.0
8/22/21,6341.0
8/23/21,5669.0
8/24/21,6468.0
8/25/21,6735.0
8/26/21,6812.0
8/27/21,6555.0
8/28/21,6266.0
8/29/21,5285.0
8/30/21,4361.0
8/31/21,4378.0
9/1/21,5340.0
9/2/21,5288.0
9/3/21,5149.0
9/4/21,4866.0
9/5/21,3964.0
9/6/21,3595.0
9/7/21,3981.0
9/8/21,4408.0
9/9/21,4299.0
9/10/21,3925.0
9/11/21,3845.0
9/12/21,3142.0
9/13/21,2825.0
9/14/21,3232.0
9/15/21,3584.0
9/16/21,3317.0
9/17/21,3117.0
9/18/21,2991.0
9/19/21,2505.0
9/20/21,2111.0
9/21/21,2728.0
9/22/21,2940.0
9/23/21,2749.0
9/24/21,2524.0
9/25/21,2379.0
9/26/21,1910.0
9/27/21,1730.0
9/28/21,2145.0
9/29/21,2408.0
9/30/21,2264.0
10/1/21,2238.0
10/2/21,2132.0
10/3/21,1763.0
10/4/21,1641.0
10/5/21,2063.0
10/6/21,2265.0
10/7/21,2083.0
10/8/21,2090.0
10/9/21,2012.0
10/10/21,1759.0
10/11/21,1510.0
10/12/21,1883.0
10/13/21,2084.0
10/14/21,2096.0
10/15/21,2027.0
10/16/21,1976.0
10/17/21,1677.0
10/18/21,1396.0
10/19/21,1837.0
10/20/21,1995.0
10/21/21,1893.0
10/22/21,1868.0
10/23/21,0.0
10/24/21,3425.0
10/25/21,1363.0
10/26/21,1738.0
10/27/21,1847.0
10/28/21,1936.0
10/29/21,1742.0
10/30/21,1660.0
10/31/21,1423.0
11/1/21,1188.0
11/2/21,1492.0
11/3/21,1505.0
11/4/21,1541.0
11/5/21,1444.0
11/6/21,1494.0
11/7/21,1058.0
11/8/21,925.0
11/9/21,1333.0
11/10/21,1395.0
11/11/21,1412.0
11/12/21,1322.0
