,Colombia
3/5/21,3371.0
3/6/21,3663.0
3/7/21,3411.0
3/8/21,2205.0
3/9/21,3511.0
3/10/21,3588.0
3/11/21,4579.0
3/12/21,4078.0
3/13/21,4465.0
3/14/21,4062.0
3/15/21,2740.0
3/16/21,3716.0
3/17/21,4554.0
3/18/21,5139.0
3/19/21,5133.0
3/20/21,6761.0
3/21/21,6043.0
3/22/21,5048.0
3/23/21,4946.0
3/24/21,5986.0
3/25/21,6732.0
3/26/21,7395.0
3/27/21,8254.0
3/28/21,7139.0
3/29/21,7049.0
3/30/21,7952.0
3/31/21,8646.0
4/1/21,11449.0
4/2/21,10222.0
4/3/21,9149.0
4/4/21,9022.0
4/5/21,10190.0
4/6/21,11827.0
4/7/21,11381.0
4/8/21,12464.0
4/9/21,12125.0
4/10/21,14509.0
4/11/21,17483.0
4/12/21,16739.0
4/13/21,16377.0
4/14/21,16487.0
4/15/21,16918.0
4/16/21,16703.0
4/17/21,16654.0
4/18/21,16871.0
4/19/21,14189.0
4/20/21,16965.0
4/21/21,17212.0
4/22/21,19306.0
4/23/21,19925.0
4/24/21,16730.0
4/25/21,17190.0
4/26/21,12839.0
4/27/21,17578.0
4/28/21,19745.0
4/29/21,17308.0
4/30/21,17790.0
5/1/21,18022.0
5/2/21,15909.0
5/3/21,11599.0
5/4/21,14551.0
5/5/21,14806.0
5/6/21,16490.0
5/7/21,17525.0
5/8/21,16910.0
5/9/21,17222.0
5/10/21,12543.0
5/11/21,16425.0
5/12/21,16993.0
5/13/21,19160.0
5/14/21,16581.0
5/15/21,18873.0
5/16/21,15093.0
5/17/21,12984.0
5/18/21,13137.0
5/19/21,16579.0
5/20/21,16086.0
5/21/21,14838.0
5/22/21,18737.0
5/23/21,21669.0
5/24/21,16977.0
5/25/21,21181.0
5/26/21,23487.0
5/27/21,25092.0
5/28/21,23374.0
5/29/21,20494.0
5/30/21,20218.0
5/31/21,23177.0
6/1/21,25966.0
6/2/21,27000.0
6/3/21,28624.0
6/4/21,30000.0
6/5/21,28971.0
6/6/21,24050.0
6/7/21,21949.0
6/8/21,18586.0
6/9/21,21879.0
6/10/21,31656.0
6/11/21,29570.0
6/12/21,29998.0
6/13/21,28519.0
6/14/21,24376.0
6/15/21,24452.0
6/16/21,27827.0
6/17/21,29945.0
6/18/21,28790.0
6/19/21,28734.0
6/20/21,27818.0
6/21/21,23239.0
6/22/21,28616.0
6/23/21,29995.0
6/24/21,32997.0
6/25/21,32733.0
6/26/21,33594.0
6/27/21,32376.0
6/28/21,28478.0
6/29/21,25880.0
6/30/21,27908.0
7/1/21,28315.0
7/2/21,28005.0
7/3/21,26928.0
7/4/21,26265.0
7/5/21,25366.0
7/6/21,26721.0
7/7/21,24229.0
7/8/21,23275.0
7/9/21,21536.0
7/10/21,20915.0
7/11/21,19423.0
7/12/21,18650.0
7/13/21,17532.0
7/14/21,17230.0
7/15/21,18070.0
7/16/21,17893.0
7/17/21,19925.0
7/18/21,18206.0
7/19/21,16455.0
7/20/21,12829.0
7/21/21,11244.0
7/22/21,12576.0
7/23/21,13164.0
7/24/21,11064.0
7/25/21,11048.0
7/26/21,8503.0
7/27/21,11426.0
7/28/21,9364.0
7/29/21,9690.0
7/30/21,9462.0
7/31/21,9029.0
8/1/21,9094.0
8/2/21,6636.0
8/3/21,6929.0
8/4/21,7084.0
8/5/21,6540.0
8/6/21,6980.0
8/7/21,6051.0
8/8/21,4350.0
8/9/21,4023.0
8/10/21,3948.0
8/11/21,5368.0
8/12/21,4272.0
8/13/21,4027.0
8/14/21,4007.0
8/15/21,3132.0
8/16/21,3161.0
8/17/21,3247.0
8/18/21,3154.0
8/19/21,3193.0
8/20/21,3416.0
8/21/21,2965.0
8/22/21,2640.0
8/23/21,2698.0
8/24/21,2467.0
8/25/21,2448.0
8/26/21,1935.0
8/27/21,2078.0
8/28/21,2141.0
8/29/21,1954.0
8/30/21,2006.0
8/31/21,1822.0
9/1/21,1996.0
9/2/21,1949.0
9/3/21,1850.0
9/4/21,2099.0
9/5/21,1669.0
9/6/21,1124.0
9/7/21,1637.0
9/8/21,1787.0
9/9/21,1803.0
9/10/21,1772.0
9/11/21,1806.0
9/12/21,1671.0
9/13/21,1314.0
9/14/21,1435.0
9/15/21,1570.0
9/16/21,1484.0
9/17/21,1544.0
9/18/21,1655.0
9/19/21,1813.0
9/20/21,1185.0
9/21/21,1373.0
9/22/21,1581.0
9/23/21,1608.0
9/24/21,1702.0
9/25/21,1740.0
9/26/21,1422.0
9/27/21,1015.0
9/28/21,1686.0
9/29/21,1472.0
9/30/21,1429.0
10/1/21,1867.0
10/2/21,1497.0
10/3/21,1413.0
10/4/21,1189.0
10/5/21,1211.0
10/6/21,1393.0
10/7/21,1677.0
10/8/21,1607.0
10/9/21,1587.0
10/10/21,1518.0
10/11/21,1089.0
10/12/21,1075.0
10/13/21,1256.0
10/14/21,1387.0
10/15/21,1646.0
10/16/21,1544.0
10/17/21,1299.0
10/18/21,1043.0
10/19/21,952.0
10/20/21,1224.0
10/21/21,1498.0
10/22/21,1772.0
10/23/21,1660.0
10/24/21,1369.0
10/25/21,1536.0
10/26/21,1428.0
10/27/21,1680.0
10/28/21,1750.0
10/29/21,1604.0
10/30/21,1629.0
10/31/21,1710.0
11/1/21,1590.0
11/2/21,1425.0
11/3/21,1697.0
11/4/21,1908.0
11/5/21,1975.0
11/6/21,1999.0
11/7/21,2061.0
11/8/21,1917.0
11/9/21,2199.0
11/10/21,2461.0
11/11/21,2644.0
11/12/21,2559.0
11/13/21,2513.0
11/14/21,2610.0
11/15/21,2321.0
11/16/21,2021.0
11/17/21,2257.0
11/18/21,2121.0
11/19/21,2157.0
11/20/21,2590.0
11/21/21,2649.0
11/22/21,2194.0
11/23/21,2478.0
11/24/21,2520.0
11/25/21,2644.0
11/26/21,2660.0
11/27/21,2620.0
11/28/21,2196.0
11/29/21,1975.0
11/30/21,2296.0
12/1/21,2173.0
12/2/21,2262.0
12/3/21,2299.0
12/4/21,2609.0
12/5/21,2077.0
