,Lebanon
6/14/21,274.0
6/15/21,170.0
6/16/21,115.0
6/17/21,165.0
6/18/21,168.0
6/19/21,104.0
6/20/21,134.0
6/21/21,46.0
6/22/21,147.0
6/23/21,167.0
6/24/21,137.0
6/25/21,163.0
6/26/21,126.0
6/27/21,163.0
6/28/21,66.0
6/29/21,185.0
6/30/21,161.0
7/1/21,150.0
7/2/21,210.0
7/3/21,137.0
7/4/21,207.0
7/5/21,101.0
7/6/21,294.0
7/7/21,401.0
7/8/21,400.0
7/9/21,404.0
7/10/21,327.0
7/11/21,314.0
7/12/21,150.0
7/13/21,494.0
7/14/21,517.0
7/15/21,455.0
7/16/21,577.0
7/17/21,488.0
7/18/21,450.0
7/19/21,215.0
7/20/21,632.0
7/21/21,539.0
7/22/21,543.0
7/23/21,744.0
7/24/21,843.0
7/25/21,844.0
7/26/21,341.0
7/27/21,1502.0
7/28/21,1224.0
7/29/21,1104.0
7/30/21,923.0
7/31/21,984.0
8/1/21,1147.0
8/2/21,597.0
8/3/21,1230.0
8/4/21,1542.0
8/5/21,1148.0
8/6/21,1461.0
8/7/21,1593.0
8/8/21,1552.0
8/9/21,751.0
8/10/21,1558.0
8/11/21,2591.0
8/12/21,1817.0
8/13/21,1632.0
8/14/21,1498.0
8/15/21,1515.0
8/16/21,706.0
8/17/21,1178.0
8/18/21,1689.0
8/19/21,1993.0
8/20/21,1019.0
8/21/21,1386.0
8/22/21,1173.0
8/23/21,624.0
8/24/21,1149.0
8/25/21,1593.0
8/26/21,1332.0
8/27/21,1124.0
8/28/21,1320.0
8/29/21,1153.0
8/30/21,775.0
8/31/21,1040.0
9/1/21,1022.0
9/2/21,1121.0
9/3/21,1112.0
9/4/21,1015.0
9/5/21,864.0
9/6/21,641.0
9/7/21,1148.0
9/8/21,1008.0
9/9/21,900.0
9/10/21,815.0
9/11/21,801.0
9/12/21,785.0
9/13/21,484.0
9/14/21,706.0
9/15/21,844.0
9/16/21,647.0
9/17/21,857.0
9/18/21,626.0
9/19/21,616.0
9/20/21,302.0
9/21/21,652.0
9/22/21,718.0
9/23/21,602.0
9/24/21,603.0
9/25/21,580.0
9/26/21,500.0
9/27/21,205.0
9/28/21,543.0
9/29/21,626.0
9/30/21,621.0
10/1/21,513.0
10/2/21,702.0
10/3/21,529.0
10/4/21,224.0
10/5/21,728.0
10/6/21,796.0
10/7/21,519.0
10/8/21,640.0
10/9/21,680.0
10/10/21,619.0
10/11/21,202.0
10/12/21,568.0
10/13/21,692.0
10/14/21,629.0
10/15/21,510.0
10/16/21,574.0
10/17/21,554.0
10/18/21,300.0
10/19/21,460.0
10/20/21,778.0
10/21/21,700.0
10/22/21,538.0
10/23/21,627.0
10/24/21,507.0
10/25/21,235.0
10/26/21,527.0
10/27/21,751.0
10/28/21,663.0
10/29/21,680.0
10/30/21,664.0
10/31/21,685.0
11/1/21,201.0
11/2/21,822.0
11/3/21,702.0
11/4/21,642.0
11/5/21,713.0
11/6/21,701.0
11/7/21,824.0
11/8/21,240.0
11/9/21,909.0
11/10/21,1004.0
11/11/21,914.0
11/12/21,959.0
11/13/21,1133.0
11/14/21,947.0
11/15/21,231.0
11/16/21,1102.0
11/17/21,1106.0
11/18/21,1018.0
11/19/21,1175.0
11/20/21,1100.0
11/21/21,937.0
11/22/21,0.0
11/23/21,1038.0
11/24/21,1827.0
11/25/21,1510.0
11/26/21,1474.0
11/27/21,1515.0
11/28/21,1319.0
11/29/21,518.0
11/30/21,2051.0
12/1/21,1892.0
12/2/21,1452.0
12/3/21,1765.0
12/4/21,1382.0
12/5/21,1654.0
12/6/21,824.0
12/7/21,1707.0
12/8/21,1994.0
12/9/21,1836.0
12/10/21,1563.0
12/11/21,1790.0
12/12/21,1539.0
12/13/21,787.0
12/14/21,1474.0
12/15/21,1941.0
12/16/21,1912.0
12/17/21,1606.0
12/18/21,1690.0
12/19/21,1479.0
12/20/21,806.0
12/21/21,1806.0
12/22/21,1922.0
12/23/21,1646.0
12/24/21,2119.0
12/25/21,2017.0
12/26/21,1311.0
12/27/21,1100.0
12/28/21,2280.0
12/29/21,3153.0
12/30/21,4537.0
12/31/21,4290.0
1/1/22,3358.0
1/2/22,1445.0
1/3/22,2994.0
1/4/22,5087.0
1/5/22,5818.0
1/6/22,7247.0
1/7/22,7974.0
1/8/22,7547.0
1/9/22,4780.0
1/10/22,6653.0
1/11/22,6665.0
1/12/22,7246.0
1/13/22,7057.0
1/14/22,6811.0
1/15/22,6019.0
1/16/22,5539.0
1/17/22,6109.0
1/18/22,7592.0
1/19/22,6643.0
1/20/22,7110.0
1/21/22,5628.0
1/22/22,5596.0
1/23/22,6381.0
1/24/22,1665.0
1/25/22,7250.0
1/26/22,8639.0
1/27/22,9199.0
1/28/22,8116.0
1/29/22,7726.0
1/30/22,7105.0
1/31/22,6279.0
2/1/22,7314.0
2/2/22,10760.0
2/3/22,9446.0
2/4/22,8427.0
2/5/22,8472.0
2/6/22,6147.0
2/7/22,6351.0
2/8/22,6482.0
2/9/22,8488.0
2/10/22,6060.0
2/11/22,6954.0
2/12/22,5935.0
2/13/22,4443.0
2/14/22,3717.0
2/15/22,3731.0
2/16/22,6063.0
2/17/22,5211.0
2/18/22,4090.0
2/19/22,3729.0
2/20/22,3145.0
2/21/22,3101.0
2/22/22,3978.0
2/23/22,3748.0
2/24/22,3152.0
2/25/22,2727.0
2/26/22,2428.0
2/27/22,1533.0
2/28/22,1870.0
