,Egypt
7/17/21,69.0
7/18/21,0.0
7/19/21,126.0
7/20/21,51.0
7/21/21,49.0
7/22/21,44.0
7/23/21,41.0
7/24/21,38.0
7/25/21,39.0
7/26/21,35.0
7/27/21,31.0
7/28/21,38.0
7/29/21,42.0
7/30/21,45.0
7/31/21,47.0
8/1/21,49.0
8/2/21,51.0
8/3/21,53.0
8/4/21,57.0
8/5/21,51.0
8/6/21,57.0
8/7/21,61.0
8/8/21,65.0
8/9/21,83.0
8/10/21,86.0
8/11/21,91.0
8/12/21,95.0
8/13/21,97.0
8/14/21,99.0
8/15/21,101.0
8/16/21,107.0
8/17/21,112.0
8/18/21,123.0
8/19/21,131.0
8/20/21,164.0
8/21/21,173.0
8/22/21,184.0
8/23/21,189.0
8/24/21,194.0
8/25/21,203.0
8/26/21,221.0
8/27/21,234.0
8/28/21,251.0
8/29/21,255.0
8/30/21,263.0
8/31/21,279.0
9/1/21,291.0
9/2/21,303.0
9/3/21,318.0
9/4/21,331.0
9/5/21,343.0
9/6/21,368.0
9/7/21,378.0
9/8/21,399.0
9/9/21,413.0
9/10/21,433.0
9/11/21,458.0
9/12/21,481.0
9/13/21,491.0
9/14/21,503.0
9/15/21,531.0
9/16/21,569.0
9/17/21,588.0
9/18/21,637.0
9/19/21,653.0
9/20/21,679.0
9/21/21,688.0
9/22/21,692.0
9/23/21,722.0
9/24/21,568.0
9/25/21,667.0
9/26/21,680.0
9/27/21,702.0
9/28/21,718.0
9/29/21,738.0
9/30/21,741.0
10/1/21,745.0
10/2/21,761.0
10/3/21,768.0
10/4/21,771.0
10/5/21,778.0
10/6/21,788.0
10/7/21,799.0
10/8/21,811.0
10/9/21,831.0
10/10/21,837.0
10/11/21,846.0
10/12/21,857.0
10/13/21,861.0
10/14/21,865.0
10/15/21,869.0
10/16/21,874.0
10/17/21,871.0
10/18/21,883.0
10/19/21,868.0
10/20/21,877.0
10/21/21,883.0
10/22/21,885.0
10/23/21,881.0
10/24/21,886.0
10/25/21,889.0
10/26/21,871.0
10/27/21,907.0
10/28/21,923.0
10/29/21,927.0
10/30/21,948.0
10/31/21,933.0
11/1/21,951.0
11/2/21,921.0
11/3/21,951.0
11/4/21,911.0
11/5/21,922.0
11/6/21,909.0
11/7/21,903.0
11/8/21,929.0
11/9/21,921.0
11/10/21,934.0
11/11/21,919.0
11/12/21,909.0
11/13/21,929.0
11/14/21,0.0
11/15/21,1881.0
11/16/21,941.0
11/17/21,960.0
11/18/21,911.0
11/19/21,892.0
11/20/21,902.0
11/21/21,884.0
11/22/21,870.0
11/23/21,856.0
11/24/21,901.0
11/25/21,899.0
11/26/21,913.0
11/27/21,931.0
11/28/21,951.0
11/29/21,911.0
11/30/21,949.0
12/1/21,938.0
12/2/21,919.0
12/3/21,933.0
12/4/21,892.0
12/5/21,902.0
12/6/21,871.0
12/7/21,889.0
12/8/21,909.0
12/9/21,803.0
12/10/21,822.0
12/11/21,879.0
12/12/21,863.0
12/13/21,0.0
12/14/21,1621.0
12/15/21,879.0
12/16/21,901.0
12/17/21,910.0
12/18/21,902.0
12/19/21,919.0
12/20/21,903.0
12/21/21,848.0
12/22/21,879.0
12/23/21,883.0
12/24/21,811.0
12/25/21,866.0
12/26/21,823.0
12/27/21,851.0
12/28/21,809.0
12/29/21,854.0
12/30/21,871.0
12/31/21,847.0
1/1/22,783.0
1/2/22,801.0
1/3/22,723.0
1/4/22,769.0
1/5/22,803.0
1/6/22,840.0
1/7/22,821.0
1/8/22,830.0
1/9/22,912.0
1/10/22,951.0
1/11/22,932.0
1/12/22,948.0
1/13/22,1011.0
1/14/22,1079.0
1/15/22,1101.0
1/16/22,1197.0
1/17/22,1232.0
1/18/22,1303.0
1/19/22,1379.0
1/20/22,1403.0
1/21/22,1533.0
1/22/22,1569.0
1/23/22,1603.0
1/24/22,1651.0
1/25/22,1809.0
1/26/22,1910.0
1/27/22,1985.0
1/28/22,2007.0
1/29/22,2018.0
1/30/22,2210.0
1/31/22,2223.0
2/1/22,2291.0
2/2/22,2278.0
2/3/22,2281.0
2/4/22,2291.0
2/5/22,2298.0
2/6/22,2301.0
2/7/22,2272.0
2/8/22,2194.0
2/9/22,2191.0
2/10/22,2189.0
2/11/22,2179.0
2/12/22,2145.0
2/13/22,0.0
2/14/22,4260.0
2/15/22,2117.0
2/16/22,2101.0
2/17/22,2071.0
2/18/22,2053.0
2/19/22,2025.0
2/20/22,2009.0
2/21/22,2003.0
2/22/22,1989.0
2/23/22,1892.0
2/24/22,1832.0
2/25/22,1811.0
2/26/22,1743.0
2/27/22,1521.0
2/28/22,1523.0
