,Bangladesh
5/15/21,261.0
5/16/21,363.0
5/17/21,698.0
5/18/21,1272.0
5/19/21,1608.0
5/20/21,1457.0
5/21/21,1504.0
5/22/21,1028.0
5/23/21,1354.0
5/24/21,1441.0
5/25/21,1675.0
5/26/21,1497.0
5/27/21,1292.0
5/28/21,1358.0
5/29/21,1043.0
5/30/21,1444.0
5/31/21,1710.0
6/1/21,1765.0
6/2/21,1988.0
6/3/21,1687.0
6/4/21,1887.0
6/5/21,1447.0
6/6/21,1676.0
6/7/21,1970.0
6/8/21,2322.0
6/9/21,2537.0
6/10/21,2576.0
6/11/21,2454.0
6/12/21,1637.0
6/13/21,2436.0
6/14/21,3050.0
6/15/21,3319.0
6/16/21,3956.0
6/17/21,3840.0
6/18/21,3883.0
6/19/21,3057.0
6/20/21,3641.0
6/21/21,4636.0
6/22/21,4846.0
6/23/21,5727.0
6/24/21,6058.0
6/25/21,5869.0
6/26/21,4334.0
6/27/21,5268.0
6/28/21,8364.0
6/29/21,7666.0
6/30/21,8822.0
7/1/21,8301.0
7/2/21,8483.0
7/3/21,6214.0
7/4/21,8661.0
7/5/21,9964.0
7/6/21,11525.0
7/7/21,11162.0
7/8/21,11651.0
7/9/21,11324.0
7/10/21,8772.0
7/11/21,11874.0
7/12/21,13768.0
7/13/21,12198.0
7/14/21,12383.0
7/15/21,12236.0
7/16/21,12148.0
7/17/21,8489.0
7/18/21,11578.0
7/19/21,13321.0
7/20/21,11579.0
7/21/21,7614.0
7/22/21,3697.0
7/23/21,6364.0
7/24/21,6780.0
7/25/21,11291.0
7/26/21,15192.0
7/27/21,14925.0
7/28/21,16230.0
7/29/21,15271.0
7/30/21,13862.0
7/31/21,9369.0
8/1/21,14844.0
8/2/21,15989.0
8/3/21,15776.0
8/4/21,13817.0
8/5/21,12744.0
8/6/21,12606.0
8/7/21,8136.0
8/8/21,10299.0
8/9/21,11463.0
8/10/21,11164.0
8/11/21,10420.0
8/12/21,10126.0
8/13/21,8465.0
8/14/21,6885.0
8/15/21,6684.0
8/16/21,6959.0
8/17/21,7535.0
8/18/21,7248.0
8/19/21,6566.0
8/20/21,5993.0
8/21/21,3991.0
8/22/21,4804.0
8/23/21,5717.0
8/24/21,5249.0
8/25/21,4966.0
8/26/21,4698.0
8/27/21,3525.0
8/28/21,3436.0
8/29/21,3948.0
8/30/21,3724.0
8/31/21,3357.0
9/1/21,3062.0
9/2/21,3436.0
9/3/21,3167.0
9/4/21,1743.0
9/5/21,2430.0
9/6/21,2710.0
9/7/21,2639.0
9/8/21,2497.0
9/9/21,2588.0
9/10/21,2325.0
9/11/21,1327.0
9/12/21,1871.0
9/13/21,1953.0
9/14/21,2074.0
9/15/21,1901.0
9/16/21,1862.0
9/17/21,1907.0
9/18/21,1190.0
9/19/21,1383.0
9/20/21,1555.0
9/21/21,1562.0
9/22/21,1376.0
9/23/21,1144.0
9/24/21,1233.0
9/25/21,818.0
9/26/21,980.0
9/27/21,1212.0
9/28/21,1310.0
9/29/21,1178.0
9/30/21,860.0
10/1/21,847.0
10/2/21,589.0
10/3/21,617.0
10/4/21,794.0
10/5/21,694.0
10/6/21,703.0
10/7/21,663.0
10/8/21,645.0
10/9/21,415.0
10/10/21,481.0
10/11/21,599.0
10/12/21,543.0
10/13/21,518.0
10/14/21,466.0
10/15/21,396.0
10/16/21,293.0
10/17/21,314.0
10/18/21,339.0
10/19/21,469.0
10/20/21,368.0
10/21/21,243.0
10/22/21,232.0
10/23/21,278.0
10/24/21,275.0
10/25/21,289.0
10/26/21,276.0
10/27/21,306.0
10/28/21,294.0
10/29/21,305.0
10/30/21,166.0
10/31/21,211.0
11/1/21,214.0
11/2/21,229.0
11/3/21,256.0
11/4/21,247.0
11/5/21,0.0
11/6/21,350.0
11/7/21,178.0
11/8/21,215.0
11/9/21,206.0
11/10/21,235.0
11/11/21,237.0
11/12/21,221.0
11/13/21,151.0
11/14/21,223.0
11/15/21,234.0
11/16/21,213.0
11/17/21,266.0
11/18/21,244.0
11/19/21,253.0
11/20/21,178.0
11/21/21,199.0
11/22/21,264.0
11/23/21,284.0
11/24/21,312.0
11/25/21,237.0
11/26/21,239.0
11/27/21,155.0
11/28/21,205.0
11/29/21,227.0
11/30/21,273.0
12/1/21,282.0
12/2/21,261.0
12/3/21,243.0
12/4/21,0.0
12/5/21,373.0
12/6/21,277.0
12/7/21,291.0
12/8/21,277.0
12/9/21,262.0
12/10/21,269.0
12/11/21,177.0
12/12/21,329.0
12/13/21,385.0
12/14/21,295.0
12/15/21,297.0
12/16/21,257.0
12/17/21,191.0
12/18/21,122.0
12/19/21,211.0
12/20/21,260.0
12/21/21,291.0
12/22/21,352.0
12/23/21,382.0
12/24/21,342.0
12/25/21,275.0
12/26/21,268.0
12/27/21,373.0
12/28/21,397.0
12/29/21,495.0
12/30/21,509.0
12/31/21,512.0
1/1/22,370.0
1/2/22,557.0
1/3/22,674.0
1/4/22,775.0
1/5/22,892.0
1/6/22,1140.0
1/7/22,1146.0
1/8/22,1116.0
1/9/22,1491.0
1/10/22,2231.0
1/11/22,2458.0
1/12/22,2916.0
1/13/22,3359.0
1/14/22,4378.0
1/15/22,3447.0
1/16/22,5222.0
1/17/22,6676.0
1/18/22,8407.0
1/19/22,9500.0
1/20/22,10888.0
1/21/22,11434.0
1/22/22,9614.0
1/23/22,10906.0
1/24/22,14828.0
1/25/22,16033.0
1/26/22,15527.0
1/27/22,15807.0
1/28/22,15440.0
1/29/22,10378.0
1/30/22,12183.0
1/31/22,13501.0
2/1/22,13154.0
2/2/22,12193.0
2/3/22,11596.0
2/4/22,9052.0
2/5/22,8359.0
2/6/22,8345.0
2/7/22,9369.0
2/8/22,8354.0
2/9/22,8016.0
2/10/22,7264.0
2/11/22,5268.0
2/12/22,5023.0
2/13/22,4838.0
2/14/22,4692.0
2/15/22,4746.0
2/16/22,3929.0
2/17/22,3539.0
2/18/22,2584.0
2/19/22,2150.0
2/20/22,1987.0
2/21/22,1951.0
2/22/22,1595.0
2/23/22,1298.0
2/24/22,1516.0
2/25/22,1406.0
2/26/22,759.0
2/27/22,864.0
2/28/22,897.0
