,Congo (Kinshasa)
7/5/21,436.0
7/6/21,263.0
7/7/21,139.0
7/8/21,314.0
7/9/21,361.0
7/10/21,276.0
7/11/21,169.0
7/12/21,193.0
7/13/21,180.0
7/14/21,397.0
7/15/21,302.0
7/16/21,215.0
7/17/21,0.0
7/18/21,583.0
7/19/21,347.0
7/20/21,369.0
7/21/21,141.0
7/22/21,308.0
7/23/21,230.0
7/24/21,382.0
7/25/21,342.0
7/26/21,375.0
7/27/21,265.0
7/28/21,202.0
7/29/21,281.0
7/30/21,311.0
7/31/21,355.0
8/1/21,0.0
8/2/21,276.0
8/3/21,336.0
8/4/21,264.0
8/5/21,255.0
8/6/21,206.0
8/7/21,269.0
8/8/21,366.0
8/9/21,96.0
8/10/21,307.0
8/11/21,140.0
8/12/21,0.0
8/13/21,539.0
8/14/21,165.0
8/15/21,118.0
8/16/21,92.0
8/17/21,155.0
8/18/21,119.0
8/19/21,137.0
8/20/21,142.0
8/21/21,0.0
8/22/21,110.0
8/23/21,0.0
8/24/21,0.0
8/25/21,128.0
8/26/21,89.0
8/27/21,282.0
8/28/21,0.0
8/29/21,0.0
8/30/21,355.0
8/31/21,0.0
9/1/21,283.0
9/2/21,0.0
9/3/21,161.0
9/4/21,0.0
9/5/21,0.0
9/6/21,0.0
9/7/21,570.0
9/8/21,0.0
9/9/21,208.0
9/10/21,11.0
9/11/21,0.0
9/12/21,0.0
9/13/21,119.0
9/14/21,0.0
9/15/21,107.0
9/16/21,35.0
9/17/21,30.0
9/18/21,0.0
9/19/21,0.0
9/20/21,76.0
9/21/21,0.0
9/22/21,0.0
9/23/21,0.0
9/24/21,154.0
9/25/21,0.0
9/26/21,0.0
9/27/21,245.0
9/28/21,0.0
9/29/21,0.0
9/30/21,75.0
10/1/21,60.0
10/2/21,0.0
10/3/21,0.0
10/4/21,37.0
10/5/21,0.0
10/6/21,49.0
10/7/21,0.0
10/8/21,43.0
10/9/21,0.0
10/10/21,6.0
10/11/21,115.0
10/12/21,0.0
10/13/21,22.0
10/14/21,0.0
10/15/21,0.0
10/16/21,0.0
10/17/21,0.0
10/18/21,69.0
10/19/21,0.0
10/20/21,64.0
10/21/21,0.0
10/22/21,30.0
10/23/21,0.0
10/24/21,0.0
10/25/21,21.0
10/26/21,0.0
10/27/21,17.0
10/28/21,0.0
10/29/21,0.0
10/30/21,0.0
10/31/21,0.0
11/1/21,95.0
11/2/21,0.0
11/3/21,17.0
11/4/21,5.0
11/5/21,18.0
11/6/21,0.0
11/7/21,0.0
11/8/21,33.0
11/9/21,0.0
11/10/21,24.0
11/11/21,0.0
11/12/21,67.0
11/13/21,0.0
11/14/21,0.0
11/15/21,74.0
11/16/21,0.0
11/17/21,0.0
11/18/21,0.0
11/19/21,77.0
11/20/21,0.0
11/21/21,0.0
11/22/21,97.0
11/23/21,52.0
11/24/21,31.0
11/25/21,0.0
11/26/21,55.0
11/27/21,0.0
11/28/21,0.0
11/29/21,119.0
11/30/21,0.0
12/1/21,72.0
12/2/21,13.0
12/3/21,0.0
12/4/21,0.0
12/5/21,0.0
12/6/21,539.0
12/7/21,317.0
12/8/21,0.0
12/9/21,33.0
12/10/21,643.0
12/11/21,0.0
12/12/21,0.0
12/13/21,0.0
12/14/21,0.0
12/15/21,2081.0
12/16/21,1456.0
12/17/21,1060.0
12/18/21,0.0
12/19/21,0.0
12/20/21,2850.0
12/21/21,0.0
12/22/21,0.0
12/23/21,2761.0
12/24/21,0.0
12/25/21,0.0
12/26/21,0.0
12/27/21,2290.0
12/28/21,0.0
12/29/21,2444.0
12/30/21,0.0
12/31/21,0.0
1/1/22,0.0
1/2/22,0.0
1/3/22,0.0
1/4/22,4481.0
1/5/22,668.0
1/6/22,233.0
1/7/22,0.0
1/8/22,0.0
1/9/22,0.0
1/10/22,823.0
1/11/22,721.0
1/12/22,0.0
1/13/22,0.0
1/14/22,587.0
1/15/22,0.0
1/16/22,0.0
1/17/22,678.0
1/18/22,0.0
1/19/22,0.0
1/20/22,1214.0
1/21/22,85.0
1/22/22,0.0
1/23/22,0.0
1/24/22,236.0
1/25/22,241.0
1/26/22,117.0
1/27/22,49.0
1/28/22,72.0
1/29/22,0.0
1/30/22,0.0
1/31/22,381.0
2/1/22,0.0
2/2/22,131.0
2/3/22,0.0
2/4/22,0.0
2/5/22,0.0
2/6/22,0.0
2/7/22,176.0
2/8/22,0.0
2/9/22,22.0
2/10/22,35.0
2/11/22,33.0
2/12/22,0.0
2/13/22,0.0
2/14/22,17.0
2/15/22,0.0
2/16/22,29.0
2/17/22,12.0
2/18/22,0.0
2/19/22,0.0
2/20/22,0.0
2/21/22,42.0
2/22/22,0.0
2/23/22,0.0
2/24/22,62.0
2/25/22,61.0
2/26/22,0.0
2/27/22,0.0
2/28/22,19.0
