,US
2/2/21,117849.0
2/3/21,122870.0
2/4/21,125304.0
2/5/21,131559.0
2/6/21,116344.0
2/7/21,90476.0
2/8/21,82765.0
2/9/21,94165.0
2/10/21,95987.0
2/11/21,106009.0
2/12/21,100916.0
2/13/21,90917.0
2/14/21,68395.0
2/15/21,55723.0
2/16/21,59025.0
2/17/21,68672.0
2/18/21,72167.0
2/19/21,75512.0
2/20/21,73779.0
2/21/21,55534.0
2/22/21,55339.0
2/23/21,73234.0
2/24/21,74765.0
2/25/21,77597.0
2/26/21,75889.0
2/27/21,71255.0
2/28/21,52026.0
3/1/21,50527.0
3/2/21,57510.0
3/3/21,67337.0
3/4/21,68883.0
3/5/21,68127.0
3/6/21,61140.0
3/7/21,42142.0
3/8/21,43373.0
3/9/21,55485.0
3/10/21,57522.0
3/11/21,61931.0
3/12/21,63063.0
3/13/21,55398.0
3/14/21,38624.0
3/15/21,53153.0
3/16/21,53496.0
3/17/21,60048.0
3/18/21,61641.0
3/19/21,61711.0
3/20/21,58157.0
3/21/21,34620.0
3/22/21,49072.0
3/23/21,53171.0
3/24/21,87474.0
3/25/21,68017.0
3/26/21,76194.0
3/27/21,63343.0
3/28/21,45498.0
3/29/21,67396.0
3/30/21,61365.0
3/31/21,68983.0
4/1/21,77423.0
4/2/21,73002.0
4/3/21,64048.0
4/4/21,37356.0
4/5/21,69429.0
4/6/21,62546.0
4/7/21,75687.0
4/8/21,80458.0
4/9/21,84445.0
4/10/21,69827.0
4/11/21,46785.0
4/12/21,63617.0
4/13/21,81224.0
4/14/21,75024.0
4/15/21,74123.0
4/16/21,80678.0
4/17/21,54869.0
4/18/21,43277.0
4/19/21,62892.0
4/20/21,62136.0
4/21/21,64247.0
4/22/21,66901.0
4/23/21,63191.0
4/24/21,54291.0
4/25/21,34141.0
4/26/21,43132.0
4/27/21,52352.0
4/28/21,55145.0
4/29/21,58863.0
4/30/21,58001.0
5/1/21,48263.0
5/2/21,30068.0
5/3/21,45874.0
5/4/21,42565.0
5/5/21,45778.0
5/6/21,46599.0
5/7/21,48178.0
5/8/21,35155.0
5/9/21,22491.0
5/10/21,33191.0
5/11/21,35204.0
5/12/21,35921.0
5/13/21,38887.0
5/14/21,42047.0
5/15/21,30397.0
5/16/21,17431.0
5/17/21,25821.0
5/18/21,28786.0
5/19/21,29501.0
5/20/21,30099.0
5/21/21,28690.0
5/22/21,20945.0
5/23/21,13530.0
5/24/21,22256.0
5/25/21,24526.0
5/26/21,24521.0
5/27/21,26836.0
5/28/21,22230.0
5/29/21,13149.0
5/30/21,7186.0
5/31/21,6077.0
6/1/21,20978.0
6/2/21,16698.0
6/3/21,18369.0
6/4/21,17808.0
6/5/21,15446.0
6/6/21,5922.0
6/7/21,14158.0
6/8/21,12946.0
6/9/21,18541.0
6/10/21,14927.0
6/11/21,25001.0
6/12/21,9043.0
6/13/21,5184.0
6/14/21,11543.0
6/15/21,10864.0
6/16/21,11873.0
6/17/21,11595.0
6/18/21,21281.0
6/19/21,8931.0
6/20/21,4839.0
6/21/21,10667.0
6/22/21,10680.0
6/23/21,12620.0
6/24/21,14315.0
6/25/21,24388.0
6/26/21,9315.0
6/27/21,4524.0
6/28/21,13655.0
6/29/21,7011.0
6/30/21,15179.0
7/1/21,15007.0
7/2/21,29692.0
7/3/21,5150.0
7/4/21,4098.0
7/5/21,8713.0
7/6/21,22750.0
7/7/21,20089.0
7/8/21,20783.0
7/9/21,47577.0
7/10/21,9729.0
7/11/21,11523.0
7/12/21,30018.0
7/13/21,26318.0
7/14/21,31228.0
7/15/21,31762.0
7/16/21,77330.0
7/17/21,13494.0
7/18/21,20588.0
7/19/21,49780.0
7/20/21,39383.0
7/21/21,47593.0
7/22/21,56392.0
7/23/21,120767.0
7/24/21,27495.0
7/25/21,27093.0
7/26/21,80831.0
7/27/21,64813.0
7/28/21,73140.0
7/29/21,72827.0
7/30/21,190573.0
7/31/21,41909.0
8/1/21,42877.0
8/2/21,112400.0
8/3/21,96718.0
8/4/21,102962.0
8/5/21,109087.0
8/6/21,251285.0
8/7/21,60451.0
8/8/21,32700.0
8/9/21,165435.0
8/10/21,117192.0
8/11/21,152970.0
8/12/21,144946.0
8/13/21,225945.0
8/14/21,68246.0
8/15/21,44034.0
8/16/21,203798.0
8/17/21,148805.0
8/18/21,166566.0
8/19/21,154374.0
8/20/21,240003.0
8/21/21,82491.0
8/22/21,40147.0
8/23/21,223018.0
8/24/21,155064.0
8/25/21,172418.0
8/26/21,187653.0
8/27/21,238453.0
8/28/21,72876.0
8/29/21,45606.0
8/30/21,239513.0
8/31/21,180246.0
9/1/21,196631.0
9/2/21,175841.0
9/3/21,237301.0
9/4/21,77116.0
9/5/21,52219.0
9/6/21,80525.0
9/7/21,242226.0
9/8/21,177900.0
9/9/21,165411.0
9/10/21,232265.0
9/11/21,78105.0
9/12/21,44911.0
9/13/21,235211.0
9/14/21,142650.0
9/15/21,176320.0
9/16/21,156922.0
9/17/21,210582.0
9/18/21,71301.0
9/19/21,43172.0
9/20/21,179259.0
9/21/21,117044.0
9/22/21,136583.0
9/23/21,127558.0
9/24/21,176534.0
9/25/21,58974.0
9/26/21,52241.0
9/27/21,159750.0
9/28/21,112700.0
9/29/21,120936.0
9/30/21,111325.0
10/1/21,154598.0
10/2/21,46992.0
10/3/21,43591.0
10/4/21,145449.0
10/5/21,95364.0
10/6/21,112968.0
10/7/21,101447.0
10/8/21,131712.0
10/9/21,37693.0
10/10/21,38902.0
10/11/21,97479.0
10/12/21,111129.0
