,Philippines
4/10/21,12655.0
4/11/21,11659.0
4/12/21,11357.0
4/13/21,8558.0
4/14/21,8097.0
4/15/21,11405.0
4/16/21,10686.0
4/17/21,11081.0
4/18/21,10081.0
4/19/21,9612.0
4/20/21,7361.0
4/21/21,9201.0
4/22/21,8742.0
4/23/21,8691.0
4/24/21,9640.0
4/25/21,8143.0
4/26/21,8905.0
4/27/21,7190.0
4/28/21,6877.0
4/29/21,8243.0
4/30/21,8722.0
5/1/21,9193.0
5/2/21,8330.0
5/3/21,7242.0
5/4/21,5667.0
5/5/21,5663.0
5/6/21,6617.0
5/7/21,7713.0
5/8/21,6964.0
5/9/21,7141.0
5/10/21,6836.0
5/11/21,4721.0
5/12/21,4812.0
5/13/21,6365.0
5/14/21,6743.0
5/15/21,6720.0
5/16/21,5776.0
5/17/21,5962.0
5/18/21,4463.0
5/19/21,4683.0
5/20/21,6084.0
5/21/21,6248.0
5/22/21,6814.0
5/23/21,1595.0
5/24/21,4894.0
5/25/21,3966.0
5/26/21,5304.0
5/27/21,6454.0
5/28/21,8724.0
5/29/21,7428.0
5/30/21,7045.0
5/31/21,6674.0
6/1/21,5166.0
6/2/21,5249.0
6/3/21,7183.0
6/4/21,7438.0
6/5/21,6936.0
6/6/21,7205.0
6/7/21,6526.0
6/8/21,4769.0
6/9/21,5444.0
6/10/21,7470.0
6/11/21,6662.0
6/12/21,8003.0
6/13/21,7287.0
6/14/21,6414.0
6/15/21,5378.0
6/16/21,5401.0
6/17/21,6625.0
6/18/21,6819.0
6/19/21,6944.0
6/20/21,5795.0
6/21/21,5224.0
6/22/21,3655.0
6/23/21,4338.0
6/24/21,6028.0
6/25/21,6793.0
6/26/21,6858.0
6/27/21,6081.0
6/28/21,5596.0
6/29/21,4470.0
6/30/21,4501.0
7/1/21,5778.0
7/2/21,6181.0
7/3/21,5901.0
7/4/21,5950.0
7/5/21,5377.0
7/6/21,4086.0
7/7/21,4278.0
7/8/21,5475.0
7/9/21,5870.0
7/10/21,5664.0
7/11/21,5906.0
7/12/21,5036.0
7/13/21,3599.0
7/14/21,3797.0
7/15/21,5208.0
7/16/21,5663.0
7/17/21,6031.0
7/18/21,5396.0
7/19/21,5641.0
7/20/21,4507.0
7/21/21,6546.0
7/22/21,5817.0
7/23/21,6831.0
7/24/21,6184.0
7/25/21,5474.0
7/26/21,6641.0
7/27/21,7024.0
7/28/21,4247.0
7/29/21,5620.0
7/30/21,8537.0
7/31/21,8141.0
8/1/21,8724.0
8/2/21,8073.0
8/3/21,6779.0
8/4/21,7283.0
8/5/21,7992.0
8/6/21,10529.0
8/7/21,10996.0
8/8/21,9575.0
8/9/21,8798.0
8/10/21,8442.0
8/11/21,11884.0
8/12/21,12323.0
8/13/21,12939.0
8/14/21,13929.0
8/15/21,14385.0
8/16/21,14230.0
8/17/21,9829.0
8/18/21,10820.0
8/19/21,14508.0
8/20/21,16797.0
8/21/21,16251.0
8/22/21,15584.0
8/23/21,18011.0
8/24/21,12045.0
8/25/21,13397.0
8/26/21,16112.0
8/27/21,17261.0
8/28/21,19239.0
8/29/21,18323.0
8/30/21,22179.0
8/31/21,13655.0
9/1/21,14098.0
9/2/21,16529.0
9/3/21,20084.0
9/4/21,20516.0
9/5/21,19900.0
9/6/21,22347.0
9/7/21,17977.0
9/8/21,12697.0
9/9/21,27887.0
9/10/21,17878.0
9/11/21,26251.0
9/12/21,21346.0
9/13/21,20704.0
9/14/21,17995.0
9/15/21,16945.0
9/16/21,21181.0
9/17/21,20283.0
9/18/21,23075.0
9/19/21,19199.0
9/20/21,18867.0
9/21/21,16300.0
9/22/21,15503.0
9/23/21,17334.0
9/24/21,18575.0
9/25/21,16847.0
9/26/21,20683.0
9/27/21,18319.0
9/28/21,13788.0
9/29/21,12767.0
9/30/21,14234.0
10/1/21,15521.0
10/2/21,14686.0
10/3/21,13226.0
10/4/21,10641.0
10/5/21,9030.0
10/6/21,9847.0
10/7/21,9964.0
10/8/21,10613.0
10/9/21,10956.0
10/10/21,12112.0
10/11/21,8252.0
10/12/21,8558.0
10/13/21,7083.0
10/14/21,7777.0
10/15/21,7560.0
10/16/21,7717.0
10/17/21,6859.0
10/18/21,6918.0
10/19/21,4449.0
10/20/21,3634.0
10/21/21,4742.0
10/22/21,5778.0
10/23/21,5778.0
10/24/21,5256.0
10/25/21,4384.0
10/26/21,4365.0
10/27/21,3177.0
10/28/21,3642.0
10/29/21,7452.0
10/30/21,3953.0
10/31/21,3380.0
11/1/21,3099.0
11/2/21,2281.0
11/3/21,1242.0
11/4/21,1744.0
11/5/21,2344.0
11/6/21,2635.0
11/7/21,2592.0
11/8/21,2081.0
11/9/21,1400.0
11/10/21,2617.0
11/11/21,1937.0
11/12/21,1867.0
11/13/21,1965.0
11/14/21,1900.0
11/15/21,1531.0
11/16/21,830.0
11/17/21,1153.0
11/18/21,1259.0
11/19/21,1457.0
11/20/21,1289.0
11/21/21,1911.0
11/22/21,443.0
11/23/21,967.0
11/24/21,840.0
