,Namibia
7/4/21,1656.0
7/5/21,1384.0
7/6/21,1435.0
7/7/21,1286.0
7/8/21,1193.0
7/9/21,1372.0
7/10/21,1726.0
7/11/21,1496.0
7/12/21,1284.0
7/13/21,1176.0
7/14/21,730.0
7/15/21,571.0
7/16/21,1009.0
7/17/21,1052.0
7/18/21,743.0
7/19/21,664.0
7/20/21,614.0
7/21/21,467.0
7/22/21,495.0
7/23/21,609.0
7/24/21,784.0
7/25/21,810.0
7/26/21,361.0
7/27/21,329.0
7/28/21,277.0
7/29/21,326.0
7/30/21,533.0
7/31/21,493.0
8/1/21,363.0
8/2/21,157.0
8/3/21,355.0
8/4/21,187.0
8/5/21,237.0
8/6/21,274.0
8/7/21,319.0
8/8/21,229.0
8/9/21,160.0
8/10/21,304.0
8/11/21,96.0
8/12/21,214.0
8/13/21,280.0
8/14/21,130.0
8/15/21,242.0
8/16/21,76.0
8/17/21,154.0
8/18/21,186.0
8/19/21,197.0
8/20/21,160.0
8/21/21,241.0
8/22/21,98.0
8/23/21,280.0
8/24/21,171.0
8/25/21,51.0
8/26/21,192.0
8/27/21,128.0
8/28/21,215.0
8/29/21,98.0
8/30/21,184.0
8/31/21,146.0
9/1/21,90.0
9/2/21,70.0
9/3/21,107.0
9/4/21,181.0
9/5/21,116.0
9/6/21,49.0
9/7/21,113.0
9/8/21,125.0
9/9/21,69.0
9/10/21,59.0
9/11/21,178.0
9/12/21,87.0
9/13/21,51.0
9/14/21,89.0
9/15/21,0.0
9/16/21,107.0
9/17/21,91.0
9/18/21,80.0
9/19/21,103.0
9/20/21,89.0
9/21/21,100.0
9/22/21,35.0
9/23/21,36.0
9/24/21,0.0
9/25/21,156.0
9/26/21,34.0
9/27/21,112.0
9/28/21,120.0
9/29/21,0.0
9/30/21,96.0
10/1/21,91.0
10/2/21,76.0
10/3/21,48.0
10/4/21,58.0
10/5/21,61.0
10/6/21,33.0
10/7/21,33.0
10/8/21,58.0
10/9/21,23.0
10/10/21,36.0
10/11/21,23.0
10/12/21,38.0
10/13/21,20.0
10/14/21,0.0
10/15/21,52.0
10/16/21,0.0
10/17/21,89.0
10/18/21,25.0
10/19/21,24.0
10/20/21,18.0
10/21/21,19.0
10/22/21,30.0
10/23/21,357.0
10/24/21,23.0
10/25/21,25.0
10/26/21,10.0
10/27/21,9.0
10/28/21,12.0
10/29/21,6.0
10/30/21,20.0
10/31/21,21.0
11/1/21,11.0
11/2/21,18.0
11/3/21,7.0
11/4/21,4.0
11/5/21,18.0
11/6/21,14.0
11/7/21,10.0
11/8/21,5.0
11/9/21,9.0
11/10/21,4.0
11/11/21,0.0
11/12/21,11.0
11/13/21,3.0
11/14/21,0.0
11/15/21,19.0
11/16/21,7.0
11/17/21,2.0
11/18/21,5.0
11/19/21,2.0
11/20/21,0.0
11/21/21,15.0
11/22/21,14.0
11/23/21,0.0
11/24/21,21.0
11/25/21,7.0
11/26/21,18.0
11/27/21,9.0
11/28/21,20.0
11/29/21,0.0
11/30/21,7.0
12/1/21,56.0
12/2/21,0.0
12/3/21,265.0
12/4/21,130.0
12/5/21,158.0
12/6/21,0.0
12/7/21,255.0
12/8/21,0.0
12/9/21,179.0
12/10/21,1000.0
12/11/21,1041.0
12/12/21,578.0
12/13/21,241.0
12/14/21,0.0
12/15/21,354.0
12/16/21,710.0
12/17/21,540.0
12/18/21,2227.0
12/19/21,1263.0
12/20/21,1334.0
12/21/21,0.0
12/22/21,1527.0
12/23/21,0.0
12/24/21,2531.0
12/25/21,1053.0
12/26/21,1008.0
12/27/21,460.0
12/28/21,362.0
12/29/21,261.0
12/30/21,0.0
12/31/21,1254.0
1/1/22,865.0
1/2/22,639.0
1/3/22,263.0
1/4/22,404.0
1/5/22,395.0
1/6/22,460.0
1/7/22,517.0
1/8/22,440.0
1/9/22,433.0
1/10/22,436.0
1/11/22,156.0
1/12/22,308.0
1/13/22,321.0
1/14/22,358.0
1/15/22,292.0
1/16/22,117.0
1/17/22,158.0
1/18/22,128.0
1/19/22,92.0
1/20/22,141.0
1/21/22,130.0
1/22/22,171.0
1/23/22,57.0
1/24/22,0.0
1/25/22,169.0
1/26/22,78.0
1/27/22,121.0
1/28/22,99.0
1/29/22,61.0
1/30/22,57.0
1/31/22,59.0
2/1/22,43.0
2/2/22,102.0
2/3/22,58.0
2/4/22,85.0
2/5/22,114.0
2/6/22,70.0
2/7/22,73.0
2/8/22,38.0
2/9/22,37.0
2/10/22,44.0
2/11/22,41.0
2/12/22,161.0
2/13/22,0.0
2/14/22,45.0
2/15/22,33.0
2/16/22,29.0
2/17/22,41.0
2/18/22,23.0
2/19/22,46.0
2/20/22,28.0
2/21/22,24.0
2/22/22,0.0
2/23/22,26.0
2/24/22,46.0
2/25/22,27.0
2/26/22,60.0
2/27/22,17.0
2/28/22,15.0
