,Switzerland
4/8/21,2449.0
4/9/21,2519.0
4/10/21,0.0
4/11/21,0.0
4/12/21,5583.0
4/13/21,2241.0
4/14/21,2601.0
4/15/21,2226.0
4/16/21,2205.0
4/17/21,0.0
4/18/21,0.0
4/19/21,4905.0
4/20/21,2141.0
4/21/21,2686.0
4/22/21,2265.0
4/23/21,2113.0
4/24/21,0.0
4/25/21,0.0
4/26/21,5313.0
4/27/21,2135.0
4/28/21,2120.0
4/29/21,2066.0
4/30/21,1831.0
5/1/21,0.0
5/2/21,0.0
5/3/21,3978.0
5/4/21,1633.0
5/5/21,1795.0
5/6/21,1687.0
5/7/21,1546.0
5/8/21,0.0
5/9/21,0.0
5/10/21,3683.0
5/11/21,1375.0
5/12/21,1539.0
5/13/21,0.0
5/14/21,2300.0
5/15/21,0.0
5/16/21,0.0
5/17/21,2650.0
5/18/21,1240.0
5/19/21,1554.0
5/20/21,1198.0
5/21/21,0.0
5/22/21,1201.0
5/23/21,0.0
5/24/21,0.0
5/25/21,2770.0
5/26/21,996.0
5/27/21,992.0
5/28/21,912.0
5/29/21,0.0
5/30/21,0.0
5/31/21,1717.0
6/1/21,756.0
6/2/21,717.0
6/3/21,588.0
6/4/21,491.0
6/5/21,0.0
6/6/21,0.0
6/7/21,1077.0
6/8/21,429.0
6/9/21,0.0
6/10/21,899.0
6/11/21,354.0
6/12/21,0.0
6/13/21,0.0
6/14/21,684.0
6/15/21,243.0
6/16/21,282.0
6/17/21,194.0
6/18/21,173.0
6/19/21,0.0
6/20/21,0.0
6/21/21,367.0
6/22/21,130.0
6/23/21,154.0
6/24/21,120.0
6/25/21,109.0
6/26/21,0.0
6/27/21,0.0
6/28/21,239.0
6/29/21,129.0
6/30/21,129.0
7/1/21,172.0
7/2/21,158.0
7/3/21,0.0
7/4/21,0.0
7/5/21,449.0
7/6/21,274.0
7/7/21,295.0
7/8/21,268.0
7/9/21,323.0
7/10/21,0.0
7/11/21,0.0
7/12/21,822.0
7/13/21,483.0
7/14/21,527.0
7/15/21,582.0
7/16/21,0.0
7/17/21,619.0
7/18/21,0.0
7/19/21,1560.0
7/20/21,707.0
7/21/21,773.0
7/22/21,861.0
7/23/21,791.0
7/24/21,0.0
7/25/21,0.0
7/26/21,1746.0
7/27/21,853.0
7/28/21,771.0
7/29/21,827.0
7/30/21,800.0
7/31/21,0.0
8/1/21,0.0
8/2/21,2019.0
8/3/21,1059.0
8/4/21,1033.0
8/5/21,1025.0
8/6/21,1167.0
8/7/21,0.0
8/8/21,0.0
8/9/21,3145.0
8/10/21,1911.0
8/11/21,2124.0
8/12/21,2127.0
8/13/21,2100.0
8/14/21,0.0
8/15/21,0.0
8/16/21,5579.0
8/17/21,3152.0
8/18/21,3290.0
8/19/21,2790.0
8/20/21,2575.0
8/21/21,0.0
8/22/21,0.0
8/23/21,6223.0
8/24/21,2994.0
8/25/21,3212.0
8/26/21,2811.0
8/27/21,2764.0
8/28/21,0.0
8/29/21,0.0
8/30/21,6197.0
8/31/21,2704.0
9/1/21,3203.0
9/2/21,2827.0
9/3/21,0.0
9/4/21,0.0
9/5/21,0.0
9/6/21,0.0
9/7/21,12801.0
9/8/21,3551.0
9/9/21,3116.0
9/10/21,2894.0
9/11/21,0.0
9/12/21,0.0
9/13/21,6060.0
9/14/21,1992.0
9/15/21,2605.0
9/16/21,2267.0
9/17/21,2096.0
9/18/21,0.0
9/19/21,0.0
9/20/21,4033.0
9/21/21,1236.0
9/22/21,1904.0
9/23/21,1630.0
9/24/21,1504.0
9/25/21,0.0
9/26/21,0.0
9/27/21,3098.0
9/28/21,1286.0
9/29/21,1450.0
9/30/21,1144.0
10/1/21,1210.0
10/2/21,0.0
10/3/21,0.0
10/4/21,2636.0
10/5/21,1025.0
10/6/21,1093.0
10/7/21,1125.0
10/8/21,966.0
10/9/21,0.0
10/10/21,0.0
10/11/21,2266.0
10/12/21,926.0
10/13/21,1048.0
10/14/21,979.0
10/15/21,954.0
10/16/21,0.0
10/17/21,0.0
10/18/21,2366.0
10/19/21,1241.0
10/20/21,1448.0
10/21/21,1477.0
10/22/21,1288.0
10/23/21,0.0
10/24/21,0.0
10/25/21,3297.0
10/26/21,0.0
10/27/21,3336.0
10/28/21,1793.0
10/29/21,1721.0
10/30/21,0.0
10/31/21,0.0
11/1/21,4540.0
11/2/21,1953.0
11/3/21,2609.0
11/4/21,2937.0
11/5/21,2849.0
11/6/21,0.0
11/7/21,0.0
11/8/21,6647.0
11/9/21,2985.0
11/10/21,4150.0
11/11/21,3884.0
11/12/21,3926.0
11/13/21,0.0
11/14/21,0.0
11/15/21,9712.0
11/16/21,4297.0
11/17/21,5984.0
11/18/21,6016.0
11/19/21,6171.0
11/20/21,0.0
11/21/21,0.0
11/22/21,14592.0
11/23/21,6355.0
11/24/21,8588.0
11/25/21,8048.0
11/26/21,8033.0
11/27/21,0.0
11/28/21,0.0
11/29/21,19405.0
11/30/21,8423.0
12/1/21,10467.0
12/2/21,9546.0
12/3/21,9958.0
12/4/21,0.0
12/5/21,0.0
12/6/21,23895.0
12/7/21,9975.0
12/8/21,12425.0
12/9/21,10861.0
12/10/21,10134.0
12/11/21,0.0
12/12/21,0.0
12/13/21,23440.0
12/14/21,8171.0
12/15/21,11167.0
12/16/21,11077.0
12/17/21,9943.0
12/18/21,0.0
12/19/21,0.0
12/20/21,20487.0
12/21/21,8171.0
12/22/21,11565.0
12/23/21,11451.0
12/24/21,0.0
12/25/21,0.0
12/26/21,0.0
12/27/21,36193.0
12/28/21,13368.0
12/29/21,17636.0
12/30/21,19036.0
12/31/21,18987.0
1/1/22,0.0
1/2/22,0.0
1/3/22,38447.0
1/4/22,20752.0
1/5/22,31118.0
1/6/22,32242.0
1/7/22,28038.0
1/8/22,0.0
1/9/22,0.0
1/10/22,63665.0
1/11/22,24604.0
1/12/22,32890.0
1/13/22,29887.0
1/14/22,32183.0
1/15/22,0.0
1/16/22,0.0
1/17/22,67905.0
1/18/22,29151.0
1/19/22,38025.0
1/20/22,39795.0
1/21/22,38002.0
1/22/22,0.0
1/23/22,0.0
1/24/22,87281.0
1/25/22,36662.0
1/26/22,43203.0
1/27/22,44841.0
1/28/22,39771.0
1/29/22,0.0
1/30/22,0.0
1/31/22,89462.0
2/1/22,32749.0
2/2/22,41183.0
2/3/22,36742.0
2/4/22,33400.0
2/5/22,0.0
2/6/22,0.0
2/7/22,68652.0
2/8/22,26771.0
2/9/22,29136.0
2/10/22,26334.0
2/11/22,22228.0
2/12/22,0.0
2/13/22,0.0
2/14/22,48990.0
2/15/22,20328.0
2/16/22,21041.0
2/17/22,0.0
2/18/22,36101.0
2/19/22,0.0
2/20/22,0.0
2/21/22,32297.0
2/22/22,15127.0
2/23/22,18419.0
2/24/22,17526.0
2/25/22,17655.0
2/26/22,0.0
2/27/22,0.0
2/28/22,36733.0
