,Uganda
7/4/21,784.0
7/5/21,480.0
7/6/21,438.0
7/7/21,425.0
7/8/21,602.0
7/9/21,559.0
7/10/21,615.0
7/11/21,522.0
7/12/21,479.0
7/13/21,438.0
7/14/21,480.0
7/15/21,406.0
7/16/21,434.0
7/17/21,460.0
7/18/21,417.0
7/19/21,265.0
7/20/21,254.0
7/21/21,252.0
7/22/21,193.0
7/23/21,355.0
7/24/21,405.0
7/25/21,375.0
7/26/21,234.0
7/27/21,71.0
7/28/21,327.0
7/29/21,160.0
7/30/21,393.0
7/31/21,252.0
8/1/21,268.0
8/2/21,230.0
8/3/21,112.0
8/4/21,202.0
8/5/21,165.0
8/6/21,322.0
8/7/21,248.0
8/8/21,249.0
8/9/21,152.0
8/10/21,80.0
8/11/21,112.0
8/12/21,157.0
8/13/21,273.0
8/14/21,181.0
8/15/21,309.0
8/16/21,137.0
8/17/21,62.0
8/18/21,108.0
8/19/21,159.0
8/20/21,0.0
8/21/21,0.0
8/22/21,0.0
8/23/21,21324.0
8/24/21,123.0
8/25/21,137.0
8/26/21,104.0
8/27/21,186.0
8/28/21,217.0
8/29/21,188.0
8/30/21,93.0
8/31/21,90.0
9/1/21,160.0
9/2/21,133.0
9/3/21,169.0
9/4/21,89.0
9/5/21,115.0
9/6/21,81.0
9/7/21,52.0
9/8/21,133.0
9/9/21,143.0
9/10/21,176.0
9/11/21,130.0
9/12/21,214.0
9/13/21,77.0
9/14/21,30.0
9/15/21,70.0
9/16/21,97.0
9/17/21,200.0
9/18/21,99.0
9/19/21,129.0
9/20/21,65.0
9/21/21,128.0
9/22/21,97.0
9/23/21,89.0
9/24/21,312.0
9/25/21,163.0
9/26/21,115.0
9/27/21,64.0
9/28/21,95.0
9/29/21,105.0
9/30/21,127.0
10/1/21,170.0
10/2/21,115.0
10/3/21,119.0
10/4/21,63.0
10/5/21,59.0
10/6/21,92.0
10/7/21,64.0
10/8/21,183.0
10/9/21,107.0
10/10/21,102.0
10/11/21,90.0
10/12/21,72.0
10/13/21,56.0
10/14/21,60.0
10/15/21,125.0
10/16/21,45.0
10/17/21,92.0
10/18/21,75.0
10/19/21,22.0
10/20/21,81.0
10/21/21,62.0
10/22/21,111.0
10/23/21,108.0
10/24/21,65.0
10/25/21,48.0
10/26/21,30.0
10/27/21,73.0
10/28/21,59.0
10/29/21,80.0
10/30/21,75.0
10/31/21,96.0
11/1/21,65.0
11/2/21,36.0
11/3/21,49.0
11/4/21,27.0
11/5/21,59.0
11/6/21,85.0
11/7/21,78.0
11/8/21,55.0
11/9/21,19.0
11/10/21,70.0
11/11/21,49.0
11/12/21,70.0
11/13/21,56.0
11/14/21,34.0
11/15/21,42.0
11/16/21,37.0
11/17/21,44.0
11/18/21,27.0
11/19/21,55.0
11/20/21,0.0
11/21/21,49.0
11/22/21,60.0
11/23/21,31.0
11/24/21,37.0
11/25/21,32.0
11/26/21,76.0
11/27/21,10.0
11/28/21,28.0
11/29/21,72.0
11/30/21,27.0
12/1/21,39.0
12/2/21,29.0
12/3/21,33.0
12/4/21,0.0
12/5/21,4.0
12/6/21,101.0
12/7/21,19.0
12/8/21,47.0
12/9/21,41.0
12/10/21,81.0
12/11/21,0.0
12/12/21,29.0
12/13/21,127.0
12/14/21,87.0
12/15/21,92.0
12/16/21,90.0
12/17/21,209.0
12/18/21,186.0
12/19/21,297.0
12/20/21,258.0
12/21/21,357.0
12/22/21,502.0
12/23/21,710.0
12/24/21,1093.0
12/25/21,1251.0
12/26/21,1116.0
12/27/21,743.0
12/28/21,974.0
12/29/21,1272.0
12/30/21,1742.0
12/31/21,1658.0
1/1/22,1867.0
1/2/22,1936.0
1/3/22,1423.0
1/4/22,880.0
1/5/22,1766.0
1/6/22,1759.0
1/7/22,0.0
1/8/22,2410.0
1/9/22,984.0
1/10/22,816.0
1/11/22,865.0
1/12/22,670.0
1/13/22,591.0
1/14/22,523.0
1/15/22,527.0
1/16/22,484.0
1/17/22,505.0
1/18/22,190.0
1/19/22,337.0
1/20/22,251.0
1/21/22,286.0
1/22/22,339.0
1/23/22,206.0
1/24/22,220.0
1/25/22,206.0
1/26/22,196.0
1/27/22,285.0
1/28/22,162.0
1/29/22,82.0
1/30/22,190.0
1/31/22,146.0
2/1/22,90.0
2/2/22,78.0
2/3/22,42.0
2/4/22,87.0
2/5/22,67.0
2/6/22,70.0
2/7/22,102.0
2/8/22,67.0
2/9/22,68.0
2/10/22,49.0
2/11/22,80.0
2/12/22,0.0
2/13/22,57.0
2/14/22,126.0
2/15/22,47.0
2/16/22,63.0
2/17/22,0.0
2/18/22,41.0
2/19/22,31.0
2/20/22,28.0
2/21/22,84.0
2/22/22,22.0
2/23/22,14.0
2/24/22,27.0
2/25/22,52.0
2/26/22,0.0
2/27/22,19.0
2/28/22,57.0
