,Ukraine
3/19/21,15937.0
3/20/21,15376.0
3/21/21,11229.0
3/22/21,7982.0
3/23/21,11564.0
3/24/21,14266.0
3/25/21,16762.0
3/26/21,18226.0
3/27/21,17526.0
3/28/21,12041.0
3/29/21,8468.0
3/30/21,10648.0
3/31/21,11345.0
4/1/21,17681.0
4/2/21,20003.0
4/3/21,20456.0
4/4/21,13858.0
4/5/21,10300.0
4/6/21,13398.0
4/7/21,15535.0
4/8/21,19546.0
4/9/21,19799.0
4/10/21,17587.0
4/11/21,12238.0
4/12/21,7985.0
4/13/21,11809.0
4/14/21,14677.0
4/15/21,16553.0
4/16/21,17602.0
4/17/21,15104.0
4/18/21,10407.0
4/19/21,6630.0
4/20/21,9060.0
4/21/21,12287.0
4/22/21,16357.0
4/23/21,14400.0
4/24/21,12841.0
4/25/21,8058.0
4/26/21,5184.0
4/27/21,8037.0
4/28/21,9709.0
4/29/21,11750.0
4/30/21,10190.0
5/1/21,8672.0
5/2/21,5217.0
5/3/21,2879.0
5/4/21,2589.0
5/5/21,2694.0
5/6/21,6159.0
5/7/21,8529.0
5/8/21,8841.0
5/9/21,5501.0
5/10/21,2944.0
5/11/21,2334.0
5/12/21,4659.0
5/13/21,6934.0
5/14/21,7686.0
5/15/21,6919.0
5/16/21,3748.0
5/17/21,2260.0
5/18/21,4221.0
5/19/21,5259.0
5/20/21,5285.0
5/21/21,5110.0
5/22/21,4730.0
5/23/21,2657.0
5/24/21,1457.0
5/25/21,2730.0
5/26/21,3521.0
5/27/21,3637.0
5/28/21,3432.0
5/29/21,3230.0
5/30/21,1839.0
5/31/21,1156.0
6/1/21,2268.0
6/2/21,2335.0
6/3/21,2707.0
6/4/21,2393.0
6/5/21,2031.0
6/6/21,1075.0
6/7/21,667.0
6/8/21,1736.0
6/9/21,1521.0
6/10/21,1924.0
6/11/21,1747.0
6/12/21,1424.0
6/13/21,1019.0
6/14/21,591.0
6/15/21,1197.0
6/16/21,1233.0
6/17/21,1388.0
6/18/21,1178.0
6/19/21,1079.0
6/20/21,723.0
6/21/21,587.0
6/22/21,573.0
6/23/21,1126.0
6/24/21,1248.0
6/25/21,1204.0
6/26/21,1109.0
6/27/21,819.0
6/28/21,677.0
6/29/21,581.0
6/30/21,1042.0
7/1/21,1120.0
7/2/21,1123.0
7/3/21,1141.0
7/4/21,826.0
7/5/21,702.0
7/6/21,993.0
7/7/21,1062.0
7/8/21,1074.0
7/9/21,1122.0
7/10/21,982.0
7/11/21,779.0
7/12/21,665.0
7/13/21,972.0
7/14/21,1043.0
7/15/21,1123.0
7/16/21,1253.0
7/17/21,1117.0
7/18/21,837.0
7/19/21,717.0
7/20/21,1134.0
7/21/21,1195.0
7/22/21,1259.0
7/23/21,1298.0
7/24/21,1297.0
7/25/21,841.0
7/26/21,774.0
7/27/21,1227.0
7/28/21,1267.0
7/29/21,1396.0
7/30/21,1510.0
7/31/21,1459.0
8/1/21,1024.0
8/2/21,804.0
8/3/21,1366.0
8/4/21,1520.0
8/5/21,1608.0
8/6/21,1668.0
8/7/21,1647.0
8/8/21,1214.0
8/9/21,906.0
8/10/21,1394.0
8/11/21,1735.0
8/12/21,1868.0
8/13/21,1879.0
8/14/21,1966.0
8/15/21,1309.0
8/16/21,1028.0
8/17/21,1499.0
8/18/21,2049.0
8/19/21,2159.0
8/20/21,2190.0
8/21/21,2318.0
8/22/21,1590.0
8/23/21,1189.0
8/24/21,1265.0
8/25/21,1291.0
8/26/21,2117.0
8/27/21,2559.0
8/28/21,2588.0
8/29/21,2394.0
8/30/21,1216.0
8/31/21,1795.0
9/1/21,2488.0
9/2/21,2871.0
9/3/21,3079.0
9/4/21,2614.0
9/5/21,2142.0
9/6/21,1142.0
9/7/21,2562.0
9/8/21,3123.0
9/9/21,4010.0
9/10/21,3948.0
9/11/21,4196.0
9/12/21,2515.0
9/13/21,1522.0
9/14/21,3640.0
9/15/21,4938.0
9/16/21,6050.0
9/17/21,6940.0
9/18/21,6564.0
9/19/21,4332.0
9/20/21,2633.0
9/21/21,5542.0
9/22/21,7152.0
9/23/21,8281.0
9/24/21,9495.0
9/25/21,8725.0
9/26/21,5130.0
9/27/21,3512.0
9/28/21,7071.0
9/29/21,10205.0
9/30/21,12315.0
10/1/21,12603.0
10/2/21,12396.0
10/3/21,8575.0
10/4/21,5452.0
10/5/21,10491.0
10/6/21,13316.0
10/7/21,15794.0
10/8/21,17047.0
10/9/21,16622.0
10/10/21,12102.0
10/11/21,9605.0
10/12/21,12772.0
10/13/21,17100.0
10/14/21,19691.0
10/15/21,14458.0
10/16/21,13840.0
10/17/21,12163.0
