,Zambia
7/1/21,2884.0
7/2/21,2781.0
7/3/21,1874.0
7/4/21,1795.0
7/5/21,1231.0
7/6/21,1619.0
7/7/21,1871.0
7/8/21,1453.0
7/9/21,1949.0
7/10/21,2384.0
7/11/21,940.0
7/12/21,1013.0
7/13/21,2006.0
7/14/21,1801.0
7/15/21,1580.0
7/16/21,1215.0
7/17/21,1328.0
7/18/21,977.0
7/19/21,630.0
7/20/21,1323.0
7/21/21,971.0
7/22/21,1158.0
7/23/21,884.0
7/24/21,912.0
7/25/21,544.0
7/26/21,245.0
7/27/21,640.0
7/28/21,476.0
7/29/21,708.0
7/30/21,956.0
7/31/21,720.0
8/1/21,477.0
8/2/21,197.0
8/3/21,633.0
8/4/21,668.0
8/5/21,664.0
8/6/21,680.0
8/7/21,527.0
8/8/21,387.0
8/9/21,152.0
8/10/21,629.0
8/11/21,512.0
8/12/21,428.0
8/13/21,97.0
8/14/21,211.0
8/15/21,183.0
8/16/21,168.0
8/17/21,358.0
8/18/21,382.0
8/19/21,384.0
8/20/21,425.0
8/21/21,359.0
8/22/21,212.0
8/23/21,102.0
8/24/21,326.0
8/25/21,130.0
8/26/21,208.0
8/27/21,389.0
8/28/21,189.0
8/29/21,158.0
8/30/21,94.0
8/31/21,182.0
9/1/21,195.0
9/2/21,183.0
9/3/21,179.0
9/4/21,144.0
9/5/21,86.0
9/6/21,53.0
9/7/21,127.0
9/8/21,148.0
9/9/21,118.0
9/10/21,136.0
9/11/21,140.0
9/12/21,102.0
9/13/21,22.0
9/14/21,89.0
9/15/21,112.0
9/16/21,106.0
9/17/21,86.0
9/18/21,69.0
9/19/21,47.0
9/20/21,33.0
9/21/21,97.0
9/22/21,77.0
9/23/21,39.0
9/24/21,63.0
9/25/21,51.0
9/26/21,28.0
9/27/21,10.0
9/28/21,45.0
9/29/21,90.0
9/30/21,44.0
10/1/21,68.0
10/2/21,28.0
10/3/21,21.0
10/4/21,9.0
10/5/21,27.0
10/6/21,49.0
10/7/21,35.0
10/8/21,32.0
10/9/21,21.0
10/10/21,11.0
10/11/21,6.0
10/12/21,43.0
10/13/21,15.0
10/14/21,20.0
10/15/21,46.0
10/16/21,28.0
10/17/21,16.0
10/18/21,15.0
10/19/21,13.0
10/20/21,22.0
10/21/21,18.0
10/22/21,21.0
10/23/21,19.0
10/24/21,5.0
10/25/21,5.0
10/26/21,9.0
10/27/21,9.0
10/28/21,15.0
10/29/21,30.0
10/30/21,20.0
10/31/21,12.0
11/1/21,5.0
11/2/21,21.0
11/3/21,21.0
11/4/21,34.0
11/5/21,37.0
11/6/21,17.0
11/7/21,33.0
11/8/21,6.0
11/9/21,10.0
11/10/21,21.0
11/11/21,14.0
11/12/21,10.0
11/13/21,8.0
11/14/21,12.0
11/15/21,13.0
11/16/21,12.0
11/17/21,12.0
11/18/21,16.0
11/19/21,7.0
11/20/21,14.0
11/21/21,13.0
11/22/21,3.0
11/23/21,17.0
11/24/21,9.0
11/25/21,13.0
11/26/21,6.0
11/27/21,20.0
11/28/21,5.0
11/29/21,7.0
11/30/21,19.0
12/1/21,26.0
12/2/21,25.0
12/3/21,42.0
12/4/21,32.0
12/5/21,18.0
12/6/21,15.0
12/7/21,47.0
12/8/21,62.0
12/9/21,126.0
12/10/21,162.0
12/11/21,235.0
12/12/21,118.0
12/13/21,157.0
12/14/21,471.0
12/15/21,573.0
12/16/21,861.0
12/17/21,1294.0
12/18/21,1039.0
12/19/21,1036.0
12/20/21,609.0
12/21/21,1906.0
12/22/21,2857.0
12/23/21,3380.0
12/24/21,3672.0
12/25/21,2649.0
12/26/21,1539.0
12/27/21,1356.0
12/28/21,3907.0
12/29/21,5255.0
12/30/21,5555.0
12/31/21,5081.0
1/1/22,3674.0
1/2/22,1729.0
1/3/22,1544.0
1/4/22,4258.0
1/5/22,4512.0
1/6/22,4096.0
1/7/22,4189.0
1/8/22,3300.0
1/9/22,1328.0
1/10/22,1485.0
1/11/22,2721.0
1/12/22,2305.0
1/13/22,2167.0
1/14/22,2113.0
1/15/22,1333.0
1/16/22,1104.0
1/17/22,685.0
1/18/22,1215.0
1/19/22,1140.0
1/20/22,799.0
1/21/22,616.0
1/22/22,616.0
1/23/22,427.0
1/24/22,294.0
1/25/22,645.0
1/26/22,697.0
1/27/22,736.0
1/28/22,351.0
1/29/22,303.0
1/30/22,266.0
1/31/22,125.0
2/1/22,510.0
2/2/22,402.0
2/3/22,388.0
2/4/22,430.0
2/5/22,0.0
2/6/22,429.0
2/7/22,111.0
2/8/22,319.0
2/9/22,414.0
2/10/22,506.0
2/11/22,457.0
2/12/22,280.0
2/13/22,209.0
2/14/22,77.0
2/15/22,291.0
2/16/22,285.0
2/17/22,319.0
2/18/22,290.0
2/19/22,252.0
2/20/22,178.0
2/21/22,70.0
2/22/22,328.0
2/23/22,296.0
2/24/22,230.0
2/25/22,256.0
2/26/22,237.0
2/27/22,96.0
2/28/22,43.0
