,Bosnia and Herzegovina
4/3/21,0.0
4/4/21,0.0
4/5/21,2935.0
4/6/21,1093.0
4/7/21,1742.0
4/8/21,1583.0
4/9/21,1096.0
4/10/21,0.0
4/11/21,0.0
4/12/21,2771.0
4/13/21,0.0
4/14/21,1674.0
4/15/21,1343.0
4/16/21,1279.0
4/17/21,0.0
4/18/21,0.0
4/19/21,2160.0
4/20/21,722.0
4/21/21,1239.0
4/22/21,1256.0
4/23/21,362.0
4/24/21,0.0
4/25/21,0.0
4/26/21,1238.0
4/27/21,761.0
4/28/21,646.0
4/29/21,488.0
4/30/21,595.0
5/1/21,0.0
5/2/21,0.0
5/3/21,0.0
5/4/21,1002.0
5/5/21,419.0
5/6/21,471.0
5/7/21,340.0
5/8/21,0.0
5/9/21,0.0
5/10/21,524.0
5/11/21,295.0
5/12/21,284.0
5/13/21,207.0
5/14/21,140.0
5/15/21,0.0
5/16/21,0.0
5/17/21,347.0
5/18/21,185.0
5/19/21,172.0
5/20/21,171.0
5/21/21,132.0
5/22/21,0.0
5/23/21,0.0
5/24/21,241.0
5/25/21,122.0
5/26/21,145.0
5/27/21,104.0
5/28/21,77.0
5/29/21,0.0
5/30/21,0.0
5/31/21,173.0
6/1/21,81.0
6/2/21,79.0
6/3/21,80.0
6/4/21,52.0
6/5/21,0.0
6/6/21,0.0
6/7/21,106.0
6/8/21,45.0
6/9/21,57.0
6/10/21,55.0
6/11/21,30.0
6/12/21,0.0
6/13/21,0.0
6/14/21,71.0
6/15/21,29.0
6/16/21,33.0
6/17/21,61.0
6/18/21,23.0
6/19/21,0.0
6/20/21,0.0
6/21/21,46.0
6/22/21,26.0
6/23/21,24.0
6/24/21,26.0
6/25/21,9.0
6/26/21,0.0
6/27/21,0.0
6/28/21,46.0
6/29/21,13.0
6/30/21,18.0
7/1/21,10.0
7/2/21,15.0
7/3/21,0.0
7/4/21,0.0
7/5/21,0.0
7/6/21,0.0
7/7/21,0.0
7/8/21,0.0
7/9/21,0.0
7/10/21,98.0
7/11/21,0.0
7/12/21,36.0
7/13/21,33.0
7/14/21,24.0
7/15/21,29.0
7/16/21,18.0
7/17/21,0.0
7/18/21,0.0
7/19/21,28.0
7/20/21,27.0
7/21/21,5.0
7/22/21,39.0
7/23/21,36.0
7/24/21,0.0
7/25/21,0.0
7/26/21,75.0
7/27/21,28.0
7/28/21,43.0
7/29/21,44.0
7/30/21,45.0
7/31/21,0.0
8/1/21,0.0
8/2/21,130.0
8/3/21,40.0
8/4/21,124.0
8/5/21,82.0
8/6/21,75.0
8/7/21,0.0
8/8/21,0.0
8/9/21,211.0
8/10/21,159.0
8/11/21,179.0
8/12/21,180.0
8/13/21,241.0
8/14/21,0.0
8/15/21,0.0
8/16/21,495.0
8/17/21,276.0
8/18/21,420.0
8/19/21,377.0
8/20/21,429.0
8/21/21,0.0
8/22/21,0.0
8/23/21,836.0
8/24/21,533.0
8/25/21,617.0
8/26/21,630.0
8/27/21,617.0
8/28/21,0.0
8/29/21,0.0
8/30/21,1073.0
8/31/21,474.0
9/1/21,906.0
9/2/21,554.0
9/3/21,811.0
9/4/21,0.0
9/5/21,0.0
9/6/21,1238.0
9/7/21,718.0
9/8/21,930.0
9/9/21,794.0
9/10/21,832.0
9/11/21,0.0
9/12/21,0.0
9/13/21,1525.0
9/14/21,766.0
9/15/21,1030.0
9/16/21,905.0
9/17/21,995.0
9/18/21,0.0
9/19/21,0.0
9/20/21,1722.0
9/21/21,526.0
9/22/21,1255.0
9/23/21,852.0
9/24/21,589.0
9/25/21,0.0
9/26/21,0.0
9/27/21,1436.0
9/28/21,884.0
9/29/21,654.0
9/30/21,1000.0
10/1/21,761.0
10/2/21,0.0
10/3/21,0.0
10/4/21,1481.0
10/5/21,733.0
10/6/21,708.0
10/7/21,942.0
10/8/21,694.0
10/9/21,0.0
10/10/21,0.0
10/11/21,1133.0
10/12/21,719.0
10/13/21,523.0
10/14/21,751.0
10/15/21,694.0
10/16/21,0.0
10/17/21,0.0
10/18/21,1168.0
10/19/21,709.0
10/20/21,764.0
10/21/21,627.0
10/22/21,776.0
10/23/21,0.0
10/24/21,0.0
10/25/21,1391.0
10/26/21,816.0
10/27/21,1099.0
10/28/21,819.0
10/29/21,675.0
10/30/21,0.0
10/31/21,0.0
11/1/21,1590.0
11/2/21,706.0
11/3/21,1253.0
11/4/21,1094.0
11/5/21,0.0
11/6/21,0.0
11/7/21,0.0
11/8/21,2512.0
11/9/21,924.0
11/10/21,962.0
11/11/21,1107.0
11/12/21,681.0
11/13/21,0.0
11/14/21,0.0
11/15/21,1562.0
11/16/21,793.0
11/17/21,1052.0
11/18/21,857.0
11/19/21,721.0
11/20/21,0.0
11/21/21,0.0
11/22/21,1332.0
11/23/21,594.0
11/24/21,825.0
11/25/21,740.0
11/26/21,735.0
11/27/21,0.0
11/28/21,0.0
11/29/21,1421.0
11/30/21,846.0
12/1/21,900.0
12/2/21,583.0
12/3/21,680.0
12/4/21,0.0
12/5/21,0.0
12/6/21,1283.0
12/7/21,668.0
12/8/21,641.0
12/9/21,649.0
12/10/21,511.0
12/11/21,0.0
12/12/21,0.0
12/13/21,923.0
12/14/21,684.0
12/15/21,522.0
12/16/21,675.0
12/17/21,488.0
12/18/21,0.0
12/19/21,0.0
12/20/21,861.0
12/21/21,591.0
12/22/21,552.0
12/23/21,516.0
12/24/21,484.0
12/25/21,0.0
12/26/21,0.0
12/27/21,852.0
12/28/21,748.0
12/29/21,800.0
12/30/21,795.0
12/31/21,842.0
1/1/22,0.0
1/2/22,0.0
1/3/22,0.0
1/4/22,2371.0
1/5/22,1556.0
1/6/22,2093.0
1/7/22,0.0
