,Burma
6/29/21,1312.0
6/30/21,1580.0
7/1/21,2070.0
7/2/21,1863.0
7/3/21,1877.0
7/4/21,2318.0
7/5/21,2969.0
7/6/21,3602.0
7/7/21,3947.0
7/8/21,4132.0
7/9/21,4320.0
7/10/21,4377.0
7/11/21,3461.0
7/12/21,5014.0
7/13/21,4047.0
7/14/21,7083.0
7/15/21,4188.0
7/16/21,6194.0
7/17/21,5497.0
7/18/21,5285.0
7/19/21,5189.0
7/20/21,5860.0
7/21/21,6093.0
7/22/21,6701.0
7/23/21,5506.0
7/24/21,5657.0
7/25/21,4998.0
7/26/21,4630.0
7/27/21,4964.0
7/28/21,4980.0
7/29/21,5234.0
7/30/21,5127.0
7/31/21,4725.0
8/1/21,3480.0
8/2/21,3689.0
8/3/21,4713.0
8/4/21,4051.0
8/5/21,4132.0
8/6/21,3588.0
8/7/21,3651.0
8/8/21,3027.0
8/9/21,3611.0
8/10/21,4434.0
8/11/21,3739.0
8/12/21,3430.0
8/13/21,3456.0
8/14/21,3419.0
8/15/21,2674.0
8/16/21,2706.0
8/17/21,3306.0
8/18/21,2878.0
8/19/21,2590.0
8/20/21,3009.0
8/21/21,2744.0
8/22/21,2173.0
8/23/21,2186.0
8/24/21,2506.0
8/25/21,2502.0
8/26/21,2635.0
8/27/21,2688.0
8/28/21,2932.0
8/29/21,3166.0
8/30/21,3583.0
8/31/21,3399.0
9/1/21,3358.0
9/2/21,3459.0
9/3/21,3410.0
9/4/21,3078.0
9/5/21,2829.0
9/6/21,2555.0
9/7/21,2431.0
9/8/21,2702.0
9/9/21,2310.0
9/10/21,2102.0
9/11/21,2364.0
9/12/21,1953.0
9/13/21,2273.0
9/14/21,2421.0
9/15/21,2424.0
9/16/21,1790.0
9/17/21,2187.0
9/18/21,1943.0
9/19/21,1702.0
9/20/21,1585.0
9/21/21,1687.0
9/22/21,1818.0
9/23/21,1744.0
9/24/21,1667.0
9/25/21,1546.0
9/26/21,1534.0
9/27/21,1282.0
9/28/21,1630.0
9/29/21,1542.0
9/30/21,1468.0
10/1/21,1846.0
10/2/21,1347.0
10/3/21,1194.0
10/4/21,1319.0
10/5/21,1526.0
10/6/21,1717.0
10/7/21,1394.0
10/8/21,1466.0
10/9/21,1448.0
10/10/21,1318.0
10/11/21,1197.0
10/12/21,1382.0
10/13/21,1573.0
10/14/21,1514.0
10/15/21,1329.0
10/16/21,1205.0
10/17/21,1002.0
10/18/21,1022.0
10/19/21,1133.0
10/20/21,893.0
10/21/21,683.0
10/22/21,925.0
10/23/21,1067.0
10/24/21,687.0
10/25/21,711.0
10/26/21,924.0
10/27/21,1003.0
10/28/21,799.0
10/29/21,905.0
10/30/21,716.0
10/31/21,752.0
11/1/21,877.0
11/2/21,1074.0
11/3/21,955.0
11/4/21,1002.0
11/5/21,1057.0
11/6/21,960.0
11/7/21,818.0
11/8/21,999.0
11/9/21,776.0
11/10/21,1180.0
11/11/21,954.0
11/12/21,992.0
11/13/21,831.0
11/14/21,714.0
11/15/21,700.0
11/16/21,754.0
11/17/21,843.0
11/18/21,587.0
11/19/21,624.0
11/20/21,625.0
11/21/21,527.0
11/22/21,549.0
11/23/21,631.0
11/24/21,629.0
11/25/21,482.0
11/26/21,493.0
11/27/21,505.0
11/28/21,350.0
11/29/21,370.0
11/30/21,471.0
12/1/21,423.0
12/2/21,521.0
12/3/21,402.0
12/4/21,374.0
12/5/21,285.0
12/6/21,231.0
12/7/21,367.0
12/8/21,398.0
12/9/21,0.0
12/10/21,621.0
12/11/21,357.0
12/12/21,280.0
12/13/21,250.0
12/14/21,363.0
12/15/21,229.0
12/16/21,211.0
12/17/21,217.0
12/18/21,170.0
12/19/21,152.0
12/20/21,127.0
12/21/21,259.0
12/22/21,199.0
12/23/21,276.0
12/24/21,213.0
12/25/21,176.0
12/26/21,110.0
12/27/21,200.0
12/28/21,187.0
12/29/21,276.0
12/30/21,369.0
12/31/21,189.0
1/1/22,112.0
1/2/22,79.0
1/3/22,130.0
1/4/22,144.0
1/5/22,133.0
1/6/22,192.0
1/7/22,177.0
1/8/22,124.0
1/9/22,137.0
1/10/22,105.0
1/11/22,235.0
1/12/22,151.0
1/13/22,172.0
1/14/22,126.0
1/15/22,170.0
1/16/22,123.0
1/17/22,101.0
1/18/22,163.0
1/19/22,196.0
1/20/22,128.0
1/21/22,83.0
1/22/22,144.0
1/23/22,112.0
1/24/22,92.0
1/25/22,220.0
1/26/22,120.0
1/27/22,168.0
1/28/22,237.0
1/29/22,172.0
1/30/22,174.0
1/31/22,278.0
2/1/22,861.0
2/2/22,143.0
2/3/22,368.0
2/4/22,319.0
2/5/22,346.0
2/6/22,332.0
2/7/22,508.0
2/8/22,1145.0
2/9/22,1043.0
2/10/22,1307.0
2/11/22,1607.0
2/12/22,1787.0
2/13/22,1473.0
2/14/22,1586.0
2/15/22,2467.0
2/16/22,2740.0
2/17/22,2692.0
2/18/22,3058.0
2/19/22,3050.0
2/20/22,3303.0
2/21/22,2897.0
2/22/22,3563.0
2/23/22,3381.0
2/24/22,2938.0
2/25/22,3391.0
2/26/22,2402.0
2/27/22,1959.0
2/28/22,1693.0
