,Cabo Verde
7/6/21,43.0
7/7/21,39.0
7/8/21,56.0
7/9/21,45.0
7/10/21,41.0
7/11/21,37.0
7/12/21,20.0
7/13/21,27.0
7/14/21,74.0
7/15/21,53.0
7/16/21,54.0
7/17/21,36.0
7/18/21,32.0
7/19/21,15.0
7/20/21,39.0
7/21/21,39.0
7/22/21,57.0
7/23/21,0.0
7/24/21,89.0
7/25/21,36.0
7/26/21,15.0
7/27/21,34.0
7/28/21,56.0
7/29/21,39.0
7/30/21,42.0
7/31/21,28.0
8/1/21,31.0
8/2/21,8.0
8/3/21,28.0
8/4/21,48.0
8/5/21,35.0
8/6/21,35.0
8/7/21,34.0
8/8/21,42.0
8/9/21,26.0
8/10/21,34.0
8/11/21,59.0
8/12/21,64.0
8/13/21,51.0
8/14/21,58.0
8/15/21,53.0
8/16/21,10.0
8/17/21,38.0
8/18/21,84.0
8/19/21,69.0
8/20/21,47.0
8/21/21,41.0
8/22/21,52.0
8/23/21,35.0
8/24/21,52.0
8/25/21,94.0
8/26/21,73.0
8/27/21,87.0
8/28/21,68.0
8/29/21,80.0
8/30/21,56.0
8/31/21,71.0
9/1/21,152.0
9/2/21,118.0
9/3/21,115.0
9/4/21,0.0
9/5/21,189.0
9/6/21,84.0
9/7/21,74.0
9/8/21,116.0
9/9/21,125.0
9/10/21,100.0
9/11/21,92.0
9/12/21,69.0
9/13/21,52.0
9/14/21,54.0
9/15/21,122.0
9/16/21,75.0
9/17/21,79.0
9/18/21,0.0
9/19/21,138.0
9/20/21,49.0
9/21/21,22.0
9/22/21,61.0
9/23/21,50.0
9/24/21,65.0
9/25/21,45.0
9/26/21,48.0
9/27/21,24.0
9/28/21,29.0
9/29/21,34.0
9/30/21,41.0
10/1/21,28.0
10/2/21,31.0
10/3/21,23.0
10/4/21,0.0
10/5/21,60.0
10/6/21,52.0
10/7/21,38.0
10/8/21,37.0
10/9/21,25.0
10/10/21,18.0
10/11/21,14.0
10/12/21,18.0
10/13/21,31.0
10/14/21,25.0
10/15/21,30.0
10/16/21,29.0
10/17/21,5.0
10/18/21,9.0
10/19/21,3.0
10/20/21,30.0
10/21/21,16.0
10/22/21,0.0
10/23/21,32.0
10/24/21,10.0
10/25/21,8.0
10/26/21,3.0
10/27/21,18.0
10/28/21,12.0
10/29/21,16.0
10/30/21,10.0
10/31/21,8.0
11/1/21,3.0
11/2/21,1.0
11/3/21,9.0
11/4/21,5.0
11/5/21,9.0
11/6/21,11.0
11/7/21,3.0
11/8/21,7.0
11/9/21,1.0
11/10/21,14.0
11/11/21,9.0
11/12/21,6.0
11/13/21,0.0
11/14/21,3.0
11/15/21,3.0
11/16/21,3.0
11/17/21,7.0
11/18/21,4.0
11/19/21,8.0
11/20/21,3.0
11/21/21,3.0
11/22/21,4.0
11/23/21,5.0
11/24/21,9.0
11/25/21,2.0
11/26/21,6.0
11/27/21,5.0
11/28/21,4.0
11/29/21,5.0
11/30/21,3.0
12/1/21,23.0
12/2/21,12.0
12/3/21,21.0
12/4/21,13.0
12/5/21,11.0
12/6/21,3.0
12/7/21,7.0
12/8/21,10.0
12/9/21,12.0
12/10/21,7.0
12/11/21,7.0
12/12/21,7.0
12/13/21,0.0
12/14/21,6.0
12/15/21,18.0
12/16/21,14.0
12/17/21,16.0
12/18/21,16.0
12/19/21,16.0
12/20/21,7.0
12/21/21,23.0
12/22/21,36.0
12/23/21,96.0
12/24/21,114.0
12/25/21,148.0
12/26/21,59.0
12/27/21,101.0
12/28/21,172.0
12/29/21,602.0
12/30/21,791.0
12/31/21,994.0
1/1/22,731.0
1/2/22,348.0
1/3/22,756.0
1/4/22,1025.0
1/5/22,1397.0
1/6/22,1387.0
1/7/22,1469.0
1/8/22,1005.0
1/9/22,400.0
1/10/22,709.0
1/11/22,1048.0
1/12/22,722.0
1/13/22,0.0
1/14/22,1055.0
1/15/22,203.0
1/16/22,0.0
1/17/22,380.0
1/18/22,270.0
1/19/22,254.0
1/20/22,0.0
1/21/22,287.0
1/22/22,78.0
1/23/22,50.0
1/24/22,95.0
1/25/22,70.0
1/26/22,72.0
1/27/22,52.0
1/28/22,40.0
1/29/22,23.0
1/30/22,19.0
1/31/22,18.0
2/1/22,26.0
2/2/22,18.0
2/3/22,15.0
2/4/22,15.0
2/5/22,3.0
2/6/22,13.0
2/7/22,17.0
2/8/22,9.0
2/9/22,9.0
2/10/22,7.0
2/11/22,6.0
2/12/22,7.0
2/13/22,2.0
2/14/22,2.0
2/15/22,2.0
2/16/22,10.0
2/17/22,0.0
2/18/22,2.0
2/19/22,2.0
2/20/22,0.0
2/21/22,3.0
2/22/22,1.0
2/23/22,6.0
2/24/22,6.0
2/25/22,4.0
2/26/22,1.0
2/27/22,1.0
2/28/22,4.0
