,Germany
10/19/21,22340.0
10/20/21,18802.0
10/21/21,17508.0
10/22/21,15093.0
10/23/21,3849.0
10/24/21,9905.0
10/25/21,9359.0
10/26/21,31402.0
10/27/21,28826.0
10/28/21,8079.0
10/29/21,37520.0
10/30/21,17248.0
10/31/21,-554.0
11/1/21,11315.0
11/2/21,30691.0
11/3/21,34498.0
11/4/21,37640.0
11/5/21,33785.0
11/6/21,23788.0
11/7/21,12788.0
11/8/21,23714.0
11/9/21,41286.0
11/10/21,51077.0
11/11/21,48834.0
11/12/21,45356.0
11/13/21,34309.0
11/14/21,19203.0
11/15/21,34958.0
11/16/21,53627.0
11/17/21,68366.0
11/18/21,58768.0
11/19/21,57302.0
11/20/21,45183.0
11/21/21,26241.0
11/22/21,47887.0
11/23/21,68049.0
11/24/21,79051.0
11/25/21,74579.0
11/26/21,65584.0
11/27/21,44977.0
11/28/21,23325.0
11/29/21,50745.0
11/30/21,68680.0
12/1/21,75456.0
12/2/21,73279.0
12/3/21,62193.0
12/4/21,43500.0
12/5/21,22945.0
12/6/21,18322.0
12/7/21,93087.0
12/8/21,27482.0
12/9/21,103018.0
12/10/21,53296.0
12/11/21,32752.0
12/12/21,17116.0
12/13/21,35423.0
12/14/21,52233.0
12/15/21,56902.0
12/16/21,51400.0
12/17/21,15716.0
12/18/21,55603.0
12/19/21,-541.0
12/20/21,21742.0
12/21/21,64949.0
12/22/21,44313.0
12/23/21,34420.0
12/24/21,4068.0
12/25/21,17238.0
12/26/21,10172.0
12/27/21,18750.0
12/28/21,30998.0
12/29/21,69956.0
12/30/21,42070.0
12/31/21,21764.0
1/1/22,2968.0
1/2/22,12636.0
1/3/22,50013.0
1/4/22,61905.0
1/5/22,67337.0
1/6/22,59110.0
1/7/22,52621.0
1/8/22,32128.0
1/9/22,21839.0
1/10/22,16618.0
1/11/22,120271.0
1/12/22,86232.0
1/13/22,89920.0
1/14/22,77175.0
1/15/22,44251.0
1/16/22,33129.0
1/17/22,82818.0
1/18/22,118105.0
1/19/22,139000.0
1/20/22,140870.0
1/21/22,133329.0
1/22/22,81343.0
1/23/22,56226.0
1/24/22,136473.0
1/25/22,179169.0
1/26/22,228608.0
1/27/22,160323.0
1/28/22,184054.0
1/29/22,113190.0
1/30/22,71185.0
1/31/22,179431.0
2/1/22,211277.0
2/2/22,238252.0
