,Saudi Arabia
4/24/21,1072.0
4/25/21,953.0
4/26/21,958.0
4/27/21,1045.0
4/28/21,1062.0
4/29/21,1026.0
4/30/21,1056.0
5/1/21,1048.0
5/2/21,937.0
5/3/21,953.0
5/4/21,999.0
5/5/21,1016.0
5/6/21,1090.0
5/7/21,1039.0
5/8/21,997.0
5/9/21,942.0
5/10/21,986.0
5/11/21,999.0
5/12/21,1020.0
5/13/21,1116.0
5/14/21,927.0
5/15/21,837.0
5/16/21,825.0
5/17/21,886.0
5/18/21,1047.0
5/19/21,1212.0
5/20/21,1330.0
5/21/21,1136.0
5/22/21,1142.0
5/23/21,1067.0
5/24/21,1157.0
5/25/21,1389.0
5/26/21,1320.0
5/27/21,1183.0
5/28/21,1215.0
5/29/21,1106.0
5/30/21,907.0
5/31/21,1245.0
6/1/21,1251.0
6/2/21,1269.0
6/3/21,1261.0
6/4/21,1201.0
6/5/21,1144.0
6/6/21,984.0
6/7/21,1161.0
6/8/21,1261.0
6/9/21,1274.0
6/10/21,0.0
6/11/21,2461.0
6/12/21,1077.0
6/13/21,1017.0
6/14/21,1109.0
6/15/21,1269.0
6/16/21,1239.0
6/17/21,1309.0
6/18/21,1236.0
6/19/21,1153.0
6/20/21,1079.0
6/21/21,1212.0
6/22/21,1479.0
6/23/21,1253.0
6/24/21,1255.0
6/25/21,1312.0
6/26/21,1301.0
6/27/21,1218.0
6/28/21,1318.0
6/29/21,1567.0
6/30/21,1486.0
7/1/21,1534.0
7/2/21,1338.0
7/3/21,1148.0
7/4/21,1173.0
7/5/21,1247.0
7/6/21,1277.0
7/7/21,1207.0
7/8/21,1257.0
7/9/21,1133.0
7/10/21,1177.0
7/11/21,1112.0
7/12/21,1244.0
7/13/21,1295.0
7/14/21,1226.0
7/15/21,1165.0
7/16/21,1298.0
7/17/21,1098.0
7/18/21,1055.0
7/19/21,1293.0
7/20/21,1273.0
7/21/21,1142.0
7/22/21,1162.0
7/23/21,1247.0
7/24/21,1256.0
7/25/21,1194.0
7/26/21,1252.0
7/27/21,1379.0
7/28/21,1334.0
7/29/21,0.0
7/30/21,0.0
7/31/21,3622.0
8/1/21,1084.0
8/2/21,0.0
8/3/21,0.0
8/4/21,0.0
8/5/21,0.0
8/6/21,5121.0
8/7/21,0.0
8/8/21,0.0
8/9/21,0.0
8/10/21,0.0
8/11/21,0.0
8/12/21,0.0
8/13/21,5439.0
8/14/21,0.0
8/15/21,0.0
8/16/21,1755.0
8/17/21,0.0
8/18/21,0.0
8/19/21,1115.0
8/20/21,0.0
8/21/21,957.0
8/22/21,0.0
8/23/21,793.0
8/24/21,0.0
8/25/21,0.0
8/26/21,0.0
8/27/21,1324.0
8/28/21,0.0
8/29/21,0.0
8/30/21,0.0
8/31/21,0.0
9/1/21,0.0
9/2/21,0.0
9/3/21,0.0
9/4/21,0.0
9/5/21,1925.0
9/6/21,0.0
9/7/21,262.0
9/8/21,0.0
9/9/21,222.0
9/10/21,102.0
9/11/21,0.0
9/12/21,0.0
9/13/21,0.0
9/14/21,0.0
9/15/21,0.0
9/16/21,507.0
9/17/21,75.0
9/18/21,0.0
9/19/21,0.0
9/20/21,201.0
9/21/21,69.0
9/22/21,54.0
9/23/21,0.0
9/24/21,0.0
9/25/21,147.0
9/26/21,44.0
9/27/21,59.0
9/28/21,50.0
9/29/21,0.0
9/30/21,99.0
10/1/21,0.0
10/2/21,0.0
10/3/21,0.0
10/4/21,0.0
10/5/21,223.0
10/6/21,45.0
10/7/21,47.0
10/8/21,48.0
10/9/21,35.0
10/10/21,59.0
10/11/21,58.0
10/12/21,55.0
10/13/21,57.0
10/14/21,36.0
10/15/21,48.0
10/16/21,45.0
10/17/21,41.0
10/18/21,38.0
10/19/21,49.0
10/20/21,47.0
10/21/21,46.0
10/22/21,51.0
10/23/21,43.0
10/24/21,47.0
10/25/21,51.0
10/26/21,65.0
10/27/21,55.0
10/28/21,51.0
10/29/21,56.0
10/30/21,41.0
10/31/21,46.0
11/1/21,49.0
11/2/21,45.0
11/3/21,49.0
11/4/21,45.0
11/5/21,43.0
11/6/21,42.0
11/7/21,40.0
11/8/21,43.0
11/9/21,49.0
11/10/21,38.0
11/11/21,43.0
11/12/21,45.0
11/13/21,44.0
11/14/21,30.0
11/15/21,38.0
11/16/21,37.0
11/17/21,42.0
11/18/21,38.0
11/19/21,35.0
11/20/21,31.0
11/21/21,36.0
11/22/21,39.0
11/23/21,38.0
11/24/21,34.0
11/25/21,28.0
11/26/21,24.0
11/27/21,29.0
11/28/21,24.0
11/29/21,25.0
11/30/21,32.0
12/1/21,34.0
12/2/21,24.0
12/3/21,38.0
12/4/21,29.0
12/5/21,35.0
12/6/21,43.0
12/7/21,42.0
12/8/21,46.0
12/9/21,45.0
12/10/21,48.0
12/11/21,53.0
12/12/21,51.0
12/13/21,64.0
12/14/21,65.0
12/15/21,88.0
12/16/21,85.0
12/17/21,80.0
12/18/21,116.0
12/19/21,104.0
12/20/21,146.0
12/21/21,222.0
12/22/21,252.0
12/23/21,287.0
12/24/21,332.0
12/25/21,325.0
12/26/21,389.0
12/27/21,524.0
12/28/21,602.0
12/29/21,744.0
12/30/21,752.0
12/31/21,819.0
1/1/22,846.0
1/2/22,1024.0
1/3/22,1746.0
1/4/22,2585.0
1/5/22,3045.0
1/6/22,3168.0
1/7/22,3575.0
1/8/22,3068.0
1/9/22,3460.0
1/10/22,4778.0
1/11/22,4652.0
1/12/22,5362.0
1/13/22,5499.0
1/14/22,5628.0
1/15/22,5281.0
1/16/22,5477.0
1/17/22,5505.0
1/18/22,5873.0
1/19/22,5928.0
1/20/22,5591.0
1/21/22,4884.0
1/22/22,4608.0
1/23/22,4535.0
1/24/22,4838.0
1/25/22,4541.0
1/26/22,4526.0
1/27/22,4738.0
1/28/22,4474.0
1/29/22,3913.0
1/30/22,3669.0
1/31/22,4211.0
