,Indonesia
9/15/21,3948.0
9/16/21,3145.0
9/17/21,3835.0
9/18/21,3385.0
9/19/21,2234.0
9/20/21,1932.0
9/21/21,3263.0
9/22/21,2720.0
9/23/21,2881.0
9/24/21,2557.0
9/25/21,2137.0
9/26/21,1760.0
9/27/21,1390.0
9/28/21,2057.0
9/29/21,1954.0
9/30/21,1690.0
10/1/21,1624.0
10/2/21,1414.0
10/3/21,1142.0
10/4/21,922.0
10/5/21,1404.0
10/6/21,1484.0
10/7/21,1393.0
10/8/21,1384.0
10/9/21,1167.0
10/10/21,894.0
10/11/21,620.0
10/12/21,1261.0
10/13/21,1233.0
10/14/21,1053.0
10/15/21,915.0
10/16/21,997.0
10/17/21,747.0
10/18/21,626.0
10/19/21,903.0
10/20/21,914.0
10/21/21,633.0
10/22/21,760.0
10/23/21,802.0
10/24/21,623.0
10/25/21,460.0
10/26/21,611.0
10/27/21,719.0
10/28/21,723.0
10/29/21,683.0
10/30/21,620.0
10/31/21,523.0
11/1/21,403.0
11/2/21,612.0
11/3/21,801.0
11/4/21,628.0
11/5/21,518.0
11/6/21,401.0
11/7/21,444.0
11/8/21,244.0
11/9/21,434.0
11/10/21,480.0
11/11/21,435.0
11/12/21,399.0
11/13/21,359.0
11/14/21,339.0
11/15/21,221.0
11/16/21,347.0
11/17/21,522.0
11/18/21,400.0
11/19/21,360.0
11/20/21,393.0
11/21/21,314.0
11/22/21,186.0
11/23/21,394.0
11/24/21,451.0
11/25/21,372.0
11/26/21,453.0
11/27/21,404.0
11/28/21,264.0
11/29/21,176.0
11/30/21,297.0
12/1/21,278.0
12/2/21,311.0
12/3/21,245.0
12/4/21,246.0
12/5/21,196.0
12/6/21,130.0
12/7/21,261.0
12/8/21,264.0
12/9/21,220.0
12/10/21,192.0
12/11/21,228.0
12/12/21,163.0
12/13/21,106.0
12/14/21,190.0
12/15/21,205.0
12/16/21,213.0
12/17/21,291.0
12/18/21,232.0
12/19/21,164.0
12/20/21,133.0
12/21/21,216.0
12/22/21,179.0
12/23/21,136.0
12/24/21,204.0
12/25/21,255.0
12/26/21,0.0
12/27/21,212.0
12/28/21,278.0
12/29/21,194.0
12/30/21,189.0
12/31/21,180.0
1/1/22,274.0
1/2/22,174.0
1/3/22,265.0
1/4/22,299.0
1/5/22,404.0
1/6/22,533.0
1/7/22,518.0
1/8/22,479.0
1/9/22,529.0
1/10/22,454.0
1/11/22,802.0
1/12/22,646.0
1/13/22,793.0
1/14/22,850.0
1/15/22,1054.0
1/16/22,855.0
1/17/22,772.0
1/18/22,1362.0
1/19/22,1745.0
1/20/22,2116.0
1/21/22,2604.0
1/22/22,3205.0
1/23/22,2925.0
1/24/22,2927.0
1/25/22,4878.0
1/26/22,7010.0
1/27/22,8077.0
1/28/22,9905.0
1/29/22,11588.0
1/30/22,12422.0
1/31/22,10185.0
2/1/22,16021.0
2/2/22,17895.0
2/3/22,27197.0
2/4/22,32211.0
2/5/22,33729.0
2/6/22,36057.0
2/7/22,26121.0
2/8/22,37492.0
2/9/22,46843.0
2/10/22,40618.0
2/11/22,40489.0
2/12/22,55209.0
2/13/22,44526.0
2/14/22,36501.0
2/15/22,57049.0
2/16/22,64718.0
2/17/22,63956.0
2/18/22,59635.0
2/19/22,59384.0
2/20/22,48484.0
2/21/22,34418.0
2/22/22,57491.0
2/23/22,61488.0
2/24/22,57426.0
2/25/22,49447.0
2/26/22,46643.0
2/27/22,34976.0
2/28/22,25054.0
