,Vietnam
1/17/22,0.0
1/18/22,38582.0
1/19/22,15959.0
1/20/22,16715.0
1/21/22,15935.0
1/22/22,15707.0
1/23/22,14978.0
1/24/22,14362.0
1/25/22,15743.0
1/26/22,15954.0
1/27/22,15727.0
1/28/22,14929.0
1/29/22,15150.0
1/30/22,29766.0
1/31/22,12674.0
2/1/22,11023.0
2/2/22,8744.0
2/3/22,8601.0
2/4/22,11594.0
2/5/22,12170.0
2/6/22,14112.0
2/7/22,16815.0
2/8/22,21909.0
2/9/22,23956.0
2/10/22,26032.0
2/11/22,26487.0
2/12/22,27311.0
2/13/22,26379.0
2/14/22,29413.0
2/15/22,31814.0
2/16/22,34737.0
2/17/22,36200.0
2/18/22,42439.0
2/19/22,54830.0
2/20/22,47200.0
2/21/22,46880.0
2/22/22,56149.0
2/23/22,81856.0
2/24/22,69128.0
2/25/22,78795.0
2/26/22,98876.0
2/27/22,101828.0
2/28/22,122480.0
