,Honduras
6/23/21,546.0
6/24/21,1155.0
6/25/21,1531.0
6/26/21,1279.0
6/27/21,0.0
6/28/21,703.0
6/29/21,1738.0
6/30/21,691.0
7/1/21,616.0
7/2/21,1798.0
7/3/21,1744.0
7/4/21,940.0
7/5/21,1142.0
7/6/21,1020.0
7/7/21,669.0
7/8/21,930.0
7/9/21,1111.0
7/10/21,972.0
7/11/21,776.0
7/12/21,499.0
7/13/21,698.0
7/14/21,1314.0
7/15/21,985.0
7/16/21,1283.0
7/17/21,0.0
7/18/21,0.0
7/19/21,2347.0
7/20/21,1082.0
7/21/21,1501.0
7/22/21,1188.0
7/23/21,1260.0
7/24/21,0.0
7/25/21,0.0
7/26/21,3812.0
7/27/21,1240.0
7/28/21,1282.0
7/29/21,1592.0
7/30/21,2550.0
7/31/21,0.0
8/1/21,0.0
8/2/21,3461.0
8/3/21,0.0
8/4/21,2815.0
8/5/21,794.0
8/6/21,1755.0
8/7/21,0.0
8/8/21,0.0
8/9/21,0.0
8/10/21,3093.0
8/11/21,3163.0
8/12/21,0.0
8/13/21,4043.0
8/14/21,0.0
8/15/21,0.0
8/16/21,3596.0
8/17/21,1844.0
8/18/21,1950.0
8/19/21,0.0
8/20/21,3205.0
8/21/21,0.0
8/22/21,0.0
8/23/21,2861.0
8/24/21,1681.0
8/25/21,0.0
8/26/21,2518.0
8/27/21,0.0
8/28/21,1508.0
8/29/21,0.0
8/30/21,3359.0
8/31/21,0.0
9/1/21,1802.0
9/2/21,1949.0
9/3/21,0.0
9/4/21,1299.0
9/5/21,0.0
9/6/21,2327.0
9/7/21,1377.0
9/8/21,1383.0
9/9/21,0.0
9/10/21,1985.0
9/11/21,0.0
9/12/21,0.0
9/13/21,2762.0
9/14/21,0.0
9/15/21,1329.0
9/16/21,0.0
9/17/21,1737.0
9/18/21,947.0
9/19/21,0.0
9/20/21,2114.0
9/21/21,830.0
9/22/21,929.0
9/23/21,0.0
9/24/21,1490.0
9/25/21,0.0
9/26/21,0.0
9/27/21,89.0
9/28/21,2153.0
9/29/21,735.0
9/30/21,0.0
10/1/21,1281.0
10/2/21,0.0
10/3/21,0.0
10/4/21,1049.0
10/5/21,330.0
10/6/21,376.0
10/7/21,0.0
10/8/21,0.0
10/9/21,0.0
10/10/21,0.0
10/11/21,1232.0
10/12/21,706.0
10/13/21,463.0
10/14/21,430.0
10/15/21,0.0
10/16/21,318.0
10/17/21,0.0
10/18/21,0.0
10/19/21,1027.0
10/20/21,0.0
10/21/21,383.0
10/22/21,249.0
10/23/21,310.0
10/24/21,0.0
10/25/21,0.0
10/26/21,635.0
10/27/21,0.0
10/28/21,430.0
10/29/21,0.0
10/30/21,168.0
10/31/21,0.0
11/1/21,0.0
11/2/21,496.0
11/3/21,106.0
11/4/21,0.0
11/5/21,298.0
11/6/21,0.0
11/7/21,0.0
11/8/21,314.0
11/9/21,81.0
11/10/21,0.0
11/11/21,165.0
11/12/21,0.0
11/13/21,32.0
11/14/21,94.0
11/15/21,135.0
11/16/21,0.0
11/17/21,191.0
11/18/21,0.0
11/19/21,127.0
11/20/21,0.0
11/21/21,0.0
11/22/21,107.0
11/23/21,0.0
11/24/21,185.0
11/25/21,0.0
11/26/21,147.0
11/27/21,0.0
11/28/21,0.0
11/29/21,0.0
11/30/21,0.0
12/1/21,0.0
12/2/21,0.0
12/3/21,392.0
12/4/21,0.0
12/5/21,0.0
12/6/21,0.0
12/7/21,0.0
12/8/21,0.0
12/9/21,172.0
12/10/21,0.0
12/11/21,0.0
12/12/21,0.0
12/13/21,192.0
12/14/21,0.0
12/15/21,70.0
12/16/21,0.0
12/17/21,0.0
12/18/21,0.0
12/19/21,0.0
12/20/21,0.0
12/21/21,0.0
12/22/21,0.0
12/23/21,0.0
12/24/21,0.0
12/25/21,388.0
12/26/21,0.0
12/27/21,203.0
12/28/21,126.0
12/29/21,0.0
12/30/21,0.0
12/31/21,0.0
1/1/22,0.0
1/2/22,0.0
1/3/22,0.0
1/4/22,0.0
1/5/22,0.0
1/6/22,0.0
1/7/22,0.0
1/8/22,1852.0
1/9/22,0.0
1/10/22,0.0
1/11/22,1186.0
1/12/22,0.0
1/13/22,0.0
1/14/22,0.0
1/15/22,0.0
1/16/22,0.0
1/17/22,2922.0
1/18/22,602.0
1/19/22,0.0
1/20/22,1551.0
1/21/22,0.0
1/22/22,0.0
1/23/22,0.0
1/24/22,0.0
1/25/22,3630.0
1/26/22,0.0
1/27/22,729.0
1/28/22,0.0
1/29/22,0.0
1/30/22,0.0
1/31/22,0.0
2/1/22,0.0
2/2/22,0.0
2/3/22,0.0
2/4/22,0.0
2/5/22,0.0
2/6/22,0.0
2/7/22,0.0
2/8/22,0.0
2/9/22,0.0
2/10/22,0.0
2/11/22,0.0
2/12/22,0.0
2/13/22,0.0
2/14/22,0.0
2/15/22,0.0
2/16/22,12890.0
2/17/22,0.0
2/18/22,0.0
2/19/22,0.0
2/20/22,0.0
2/21/22,3692.0
2/22/22,0.0
2/23/22,1252.0
2/24/22,1504.0
2/25/22,0.0
2/26/22,0.0
2/27/22,0.0
2/28/22,0.0
