,Romania
4/24/21,2201.0
4/25/21,1542.0
4/26/21,1256.0
4/27/21,2019.0
4/28/21,2240.0
4/29/21,1850.0
4/30/21,1636.0
5/1/21,1307.0
5/2/21,1083.0
5/3/21,682.0
5/4/21,994.0
5/5/21,1564.0
5/6/21,1632.0
5/7/21,1422.0
5/8/21,1305.0
5/9/21,857.0
5/10/21,620.0
5/11/21,1156.0
5/12/21,930.0
5/13/21,953.0
5/14/21,835.0
5/15/21,729.0
5/16/21,565.0
5/17/21,392.0
5/18/21,681.0
5/19/21,707.0
5/20/21,618.0
5/21/21,484.0
5/22/21,455.0
5/23/21,307.0
5/24/21,230.0
5/25/21,381.0
5/26/21,379.0
5/27/21,307.0
5/28/21,321.0
5/29/21,265.0
5/30/21,158.0
5/31/21,153.0
6/1/21,241.0
6/2/21,164.0
6/3/21,196.0
6/4/21,225.0
6/5/21,179.0
6/6/21,121.0
6/7/21,89.0
6/8/21,202.0
6/9/21,140.0
6/10/21,133.0
6/11/21,103.0
6/12/21,127.0
6/13/21,69.0
6/14/21,50.0
6/15/21,103.0
6/16/21,104.0
6/17/21,87.0
6/18/21,70.0
6/19/21,63.0
6/20/21,53.0
6/21/21,26.0
6/22/21,41.0
6/23/21,66.0
6/24/21,68.0
6/25/21,65.0
6/26/21,62.0
6/27/21,46.0
6/28/21,37.0
6/29/21,73.0
6/30/21,52.0
7/1/21,31.0
7/2/21,37.0
7/3/21,58.0
7/4/21,33.0
7/5/21,28.0
7/6/21,51.0
7/7/21,60.0
7/8/21,30.0
7/9/21,54.0
7/10/21,36.0
7/11/21,26.0
7/12/21,39.0
7/13/21,51.0
7/14/21,79.0
7/15/21,62.0
7/16/21,72.0
7/17/21,49.0
7/18/21,44.0
7/19/21,46.0
7/20/21,95.0
7/21/21,102.0
7/22/21,78.0
7/23/21,104.0
7/24/21,126.0
7/25/21,109.0
7/26/21,84.0
7/27/21,175.0
7/28/21,159.0
7/29/21,170.0
7/30/21,153.0
7/31/21,156.0
8/1/21,152.0
8/2/21,137.0
8/3/21,233.0
8/4/21,271.0
8/5/21,244.0
