,Mauritania
7/6/21,102.0
7/7/21,67.0
7/8/21,0.0
7/9/21,196.0
7/10/21,91.0
7/11/21,82.0
7/12/21,93.0
7/13/21,137.0
7/14/21,147.0
7/15/21,138.0
7/16/21,111.0
7/17/21,210.0
7/18/21,129.0
7/19/21,116.0
7/20/21,176.0
7/21/21,164.0
7/22/21,130.0
7/23/21,155.0
7/24/21,177.0
7/25/21,200.0
7/26/21,253.0
7/27/21,341.0
7/28/21,313.0
7/29/21,401.0
7/30/21,360.0
7/31/21,268.0
8/1/21,282.0
8/2/21,229.0
8/3/21,353.0
8/4/21,347.0
8/5/21,329.0
8/6/21,365.0
8/7/21,361.0
8/8/21,240.0
8/9/21,241.0
8/10/21,286.0
8/11/21,280.0
8/12/21,303.0
8/13/21,296.0
8/14/21,281.0
8/15/21,237.0
8/16/21,233.0
8/17/21,281.0
8/18/21,262.0
8/19/21,277.0
8/20/21,216.0
8/21/21,252.0
8/22/21,180.0
8/23/21,204.0
8/24/21,194.0
8/25/21,266.0
8/26/21,235.0
8/27/21,246.0
8/28/21,191.0
8/29/21,151.0
8/30/21,123.0
8/31/21,148.0
9/1/21,145.0
9/2/21,144.0
9/3/21,120.0
9/4/21,122.0
9/5/21,93.0
9/6/21,93.0
9/7/21,111.0
9/8/21,96.0
9/9/21,90.0
9/10/21,98.0
9/11/21,79.0
9/12/21,107.0
9/13/21,72.0
9/14/21,92.0
9/15/21,100.0
9/16/21,70.0
9/17/21,116.0
9/18/21,52.0
9/19/21,82.0
9/20/21,53.0
9/21/21,79.0
9/22/21,67.0
9/23/21,56.0
9/24/21,60.0
9/25/21,42.0
9/26/21,40.0
9/27/21,30.0
9/28/21,53.0
9/29/21,47.0
9/30/21,41.0
10/1/21,49.0
10/2/21,35.0
10/3/21,49.0
10/4/21,0.0
10/5/21,66.0
10/6/21,42.0
10/7/21,41.0
10/8/21,36.0
10/9/21,39.0
10/10/21,27.0
10/11/21,18.0
10/12/21,33.0
10/13/21,44.0
10/14/21,41.0
10/15/21,41.0
10/16/21,54.0
10/17/21,32.0
10/18/21,45.0
10/19/21,37.0
10/20/21,24.0
10/21/21,37.0
10/22/21,46.0
10/23/21,44.0
10/24/21,45.0
10/25/21,34.0
10/26/21,43.0
10/27/21,62.0
10/28/21,61.0
10/29/21,67.0
10/30/21,53.0
10/31/21,45.0
11/1/21,48.0
11/2/21,67.0
11/3/21,54.0
11/4/21,46.0
11/5/21,73.0
11/6/21,51.0
11/7/21,44.0
11/8/21,52.0
11/9/21,0.0
11/10/21,129.0
11/11/21,57.0
11/12/21,60.0
11/13/21,68.0
11/14/21,64.0
11/15/21,55.0
11/16/21,90.0
11/17/21,80.0
11/18/21,82.0
11/19/21,75.0
11/20/21,68.0
11/21/21,64.0
11/22/21,52.0
11/23/21,97.0
11/24/21,85.0
11/25/21,69.0
11/26/21,85.0
11/27/21,80.0
11/28/21,63.0
11/29/21,35.0
11/30/21,53.0
12/1/21,73.0
12/2/21,69.0
12/3/21,60.0
12/4/21,42.0
12/5/21,48.0
12/6/21,26.0
12/7/21,37.0
12/8/21,48.0
12/9/21,35.0
12/10/21,38.0
12/11/21,36.0
12/12/21,28.0
12/13/21,28.0
12/14/21,44.0
12/15/21,46.0
12/16/21,40.0
12/17/21,26.0
12/18/21,37.0
12/19/21,56.0
12/20/21,43.0
12/21/21,56.0
12/22/21,57.0
12/23/21,69.0
12/24/21,81.0
12/25/21,64.0
12/26/21,51.0
12/27/21,110.0
12/28/21,123.0
12/29/21,169.0
12/30/21,248.0
12/31/21,319.0
1/1/22,394.0
1/2/22,315.0
1/3/22,490.0
1/4/22,825.0
1/5/22,1149.0
1/6/22,1179.0
1/7/22,1211.0
1/8/22,1069.0
1/9/22,901.0
1/10/22,667.0
1/11/22,1029.0
1/12/22,1093.0
1/13/22,977.0
1/14/22,871.0
1/15/22,750.0
1/16/22,598.0
1/17/22,404.0
1/18/22,463.0
1/19/22,438.0
1/20/22,370.0
1/21/22,280.0
1/22/22,226.0
1/23/22,212.0
1/24/22,96.0
1/25/22,168.0
1/26/22,146.0
1/27/22,125.0
1/28/22,122.0
1/29/22,88.0
1/30/22,69.0
1/31/22,45.0
2/1/22,55.0
2/2/22,37.0
2/3/22,46.0
2/4/22,26.0
2/5/22,36.0
2/6/22,15.0
2/7/22,32.0
2/8/22,18.0
2/9/22,19.0
2/10/22,15.0
2/11/22,15.0
2/12/22,6.0
2/13/22,6.0
2/14/22,6.0
2/15/22,2.0
2/16/22,7.0
2/17/22,9.0
2/18/22,2.0
2/19/22,9.0
2/20/22,7.0
2/21/22,5.0
2/22/22,2.0
2/23/22,3.0
2/24/22,0.0
2/25/22,5.0
2/26/22,3.0
2/27/22,3.0
2/28/22,1.0
