,Bahrain
6/21/21,403.0
6/22/21,394.0
6/23/21,418.0
6/24/21,298.0
6/25/21,288.0
6/26/21,302.0
6/27/21,252.0
6/28/21,230.0
6/29/21,166.0
6/30/21,184.0
7/1/21,148.0
7/2/21,165.0
7/3/21,146.0
7/4/21,140.0
7/5/21,131.0
7/6/21,128.0
7/7/21,112.0
7/8/21,122.0
7/9/21,119.0
7/10/21,74.0
7/11/21,100.0
7/12/21,112.0
7/13/21,76.0
7/14/21,105.0
7/15/21,114.0
7/16/21,108.0
7/17/21,69.0
7/18/21,86.0
7/19/21,67.0
7/20/21,78.0
7/21/21,65.0
7/22/21,133.0
7/23/21,113.0
7/24/21,75.0
7/25/21,128.0
7/26/21,85.0
7/27/21,105.0
7/28/21,115.0
7/29/21,128.0
7/30/21,106.0
7/31/21,106.0
8/1/21,117.0
8/2/21,98.0
8/3/21,94.0
8/4/21,122.0
8/5/21,120.0
8/6/21,111.0
8/7/21,101.0
8/8/21,111.0
8/9/21,101.0
8/10/21,129.0
8/11/21,161.0
8/12/21,139.0
8/13/21,102.0
8/14/21,124.0
8/15/21,103.0
8/16/21,106.0
8/17/21,105.0
8/18/21,127.0
8/19/21,96.0
8/20/21,79.0
8/21/21,102.0
8/22/21,97.0
8/23/21,84.0
8/24/21,88.0
8/25/21,130.0
8/26/21,109.0
8/27/21,106.0
8/28/21,98.0
8/29/21,95.0
8/30/21,112.0
8/31/21,87.0
9/1/21,95.0
9/2/21,74.0
9/3/21,98.0
9/4/21,109.0
9/5/21,92.0
9/6/21,105.0
9/7/21,139.0
9/8/21,114.0
9/9/21,88.0
9/10/21,88.0
9/11/21,80.0
9/12/21,121.0
9/13/21,92.0
9/14/21,81.0
9/15/21,61.0
9/16/21,64.0
9/17/21,66.0
9/18/21,72.0
9/19/21,85.0
9/20/21,119.0
9/21/21,69.0
9/22/21,72.0
9/23/21,90.0
9/24/21,62.0
9/25/21,69.0
9/26/21,69.0
9/27/21,63.0
9/28/21,48.0
9/29/21,56.0
9/30/21,76.0
10/1/21,73.0
10/2/21,45.0
10/3/21,62.0
10/4/21,42.0
10/5/21,70.0
10/6/21,45.0
10/7/21,64.0
10/8/21,80.0
10/9/21,59.0
10/10/21,57.0
10/11/21,80.0
10/12/21,69.0
10/13/21,59.0
10/14/21,50.0
10/15/21,63.0
10/16/21,55.0
10/17/21,88.0
10/18/21,70.0
10/19/21,74.0
10/20/21,74.0
10/21/21,59.0
10/22/21,66.0
10/23/21,65.0
10/24/21,45.0
10/25/21,37.0
10/26/21,27.0
10/27/21,50.0
10/28/21,33.0
10/29/21,31.0
10/30/21,45.0
10/31/21,35.0
11/1/21,45.0
11/2/21,43.0
11/3/21,39.0
11/4/21,27.0
11/5/21,28.0
11/6/21,30.0
11/7/21,40.0
11/8/21,17.0
11/9/21,15.0
11/10/21,25.0
11/11/21,27.0
11/12/21,19.0
11/13/21,17.0
11/14/21,22.0
11/15/21,23.0
11/16/21,16.0
11/17/21,20.0
11/18/21,22.0
11/19/21,18.0
11/20/21,26.0
11/21/21,41.0
11/22/21,32.0
11/23/21,23.0
11/24/21,37.0
11/25/21,29.0
11/26/21,26.0
11/27/21,16.0
11/28/21,33.0
11/29/21,43.0
11/30/21,62.0
12/1/21,31.0
12/2/21,31.0
12/3/21,20.0
12/4/21,31.0
12/5/21,28.0
12/6/21,25.0
12/7/21,38.0
12/8/21,41.0
12/9/21,29.0
12/10/21,33.0
12/11/21,40.0
12/12/21,28.0
12/13/21,0.0
12/14/21,84.0
12/15/21,53.0
12/16/21,55.0
12/17/21,52.0
12/18/21,101.0
12/19/21,89.0
12/20/21,101.0
12/21/21,114.0
12/22/21,161.0
12/23/21,181.0
12/24/21,221.0
12/25/21,241.0
12/26/21,287.0
12/27/21,304.0
12/28/21,373.0
12/29/21,394.0
12/30/21,530.0
12/31/21,656.0
1/1/22,615.0
1/2/22,667.0
1/3/22,880.0
1/4/22,1224.0
1/5/22,1081.0
1/6/22,1410.0
1/7/22,1515.0
1/8/22,1424.0
1/9/22,1694.0
1/10/22,1894.0
1/11/22,1787.0
1/12/22,2289.0
1/13/22,2089.0
1/14/22,2241.0
1/15/22,2542.0
1/16/22,2594.0
1/17/22,2898.0
1/18/22,3019.0
1/19/22,3455.0
1/20/22,3308.0
1/21/22,3616.0
1/22/22,3162.0
1/23/22,3155.0
1/24/22,3543.0
1/25/22,4360.0
1/26/22,4876.0
1/27/22,5255.0
1/28/22,6659.0
1/29/22,6708.0
1/30/22,6745.0
1/31/22,5808.0
2/1/22,8173.0
2/2/22,7854.0
2/3/22,8063.0
2/4/22,7273.0
2/5/22,7434.0
2/6/22,7709.0
2/7/22,7042.0
2/8/22,7121.0
2/9/22,6818.0
2/10/22,6104.0
2/11/22,5750.0
2/12/22,4623.0
2/13/22,5266.0
2/14/22,4818.0
2/15/22,4839.0
2/16/22,4288.0
2/17/22,3762.0
2/18/22,3651.0
2/19/22,3260.0
2/20/22,3904.0
2/21/22,2885.0
2/22/22,3425.0
2/23/22,3006.0
2/24/22,2732.0
2/25/22,2599.0
2/26/22,2416.0
2/27/22,2916.0
2/28/22,2577.0
