,Libya
7/2/21,418.0
7/3/21,0.0
7/4/21,719.0
7/5/21,782.0
7/6/21,1070.0
7/7/21,1248.0
7/8/21,1384.0
7/9/21,1710.0
7/10/21,0.0
7/11/21,2854.0
7/12/21,2679.0
7/13/21,2640.0
7/14/21,2604.0
7/15/21,2555.0
7/16/21,2866.0
7/17/21,0.0
7/18/21,4061.0
7/19/21,3425.0
7/20/21,1781.0
7/21/21,0.0
7/22/21,732.0
7/23/21,2171.0
7/24/21,0.0
7/25/21,3845.0
7/26/21,3512.0
7/27/21,3348.0
7/28/21,3161.0
7/29/21,2730.0
7/30/21,2914.0
7/31/21,0.0
8/1/21,4322.0
8/2/21,2892.0
8/3/21,2139.0
8/4/21,2484.0
8/5/21,1997.0
8/6/21,1879.0
8/7/21,0.0
8/8/21,3019.0
8/9/21,2001.0
8/10/21,2134.0
8/11/21,2472.0
8/12/21,2286.0
8/13/21,2360.0
8/14/21,0.0
8/15/21,2831.0
8/16/21,2688.0
8/17/21,2276.0
8/18/21,2325.0
8/19/21,1949.0
8/20/21,2364.0
8/21/21,0.0
8/22/21,1722.0
8/23/21,1625.0
8/24/21,1894.0
8/25/21,1682.0
8/26/21,1722.0
8/27/21,1613.0
8/28/21,0.0
8/29/21,2003.0
8/30/21,1678.0
8/31/21,1501.0
9/1/21,1665.0
9/2/21,1479.0
9/3/21,1388.0
9/4/21,0.0
9/5/21,1914.0
9/6/21,1379.0
9/7/21,1272.0
9/8/21,1499.0
9/9/21,1802.0
9/10/21,1117.0
9/11/21,0.0
9/12/21,1443.0
9/13/21,1291.0
9/14/21,1149.0
9/15/21,1433.0
9/16/21,1053.0
9/17/21,968.0
9/18/21,0.0
9/19/21,1121.0
9/20/21,1081.0
9/21/21,1038.0
9/22/21,985.0
9/23/21,1006.0
9/24/21,936.0
9/25/21,0.0
9/26/21,989.0
9/27/21,910.0
9/28/21,686.0
9/29/21,693.0
9/30/21,815.0
10/1/21,1007.0
10/2/21,0.0
10/3/21,748.0
10/4/21,719.0
10/5/21,682.0
10/6/21,692.0
10/7/21,915.0
10/8/21,604.0
10/9/21,0.0
10/10/21,725.0
10/11/21,637.0
10/12/21,551.0
10/13/21,724.0
10/14/21,559.0
10/15/21,563.0
10/16/21,0.0
10/17/21,780.0
10/18/21,638.0
10/19/21,596.0
10/20/21,532.0
10/21/21,436.0
10/22/21,689.0
10/23/21,0.0
10/24/21,745.0
10/25/21,589.0
10/26/21,651.0
10/27/21,624.0
10/28/21,596.0
10/29/21,569.0
10/30/21,0.0
10/31/21,683.0
11/1/21,626.0
11/2/21,499.0
11/3/21,556.0
11/4/21,648.0
11/5/21,599.0
11/6/21,0.0
11/7/21,648.0
11/8/21,795.0
11/9/21,609.0
11/10/21,597.0
11/11/21,568.0
11/12/21,593.0
11/13/21,0.0
11/14/21,599.0
11/15/21,562.0
11/16/21,593.0
11/17/21,408.0
11/18/21,551.0
11/19/21,429.0
11/20/21,0.0
11/21/21,593.0
11/22/21,581.0
11/23/21,595.0
11/24/21,468.0
11/25/21,732.0
11/26/21,600.0
11/27/21,0.0
11/28/21,784.0
11/29/21,638.0
11/30/21,427.0
12/1/21,574.0
12/2/21,529.0
12/3/21,541.0
12/4/21,0.0
12/5/21,709.0
12/6/21,479.0
12/7/21,401.0
12/8/21,509.0
12/9/21,495.0
12/10/21,577.0
12/11/21,0.0
12/12/21,655.0
12/13/21,711.0
12/14/21,512.0
12/15/21,488.0
12/16/21,648.0
12/17/21,559.0
12/18/21,0.0
12/19/21,726.0
12/20/21,592.0
12/21/21,543.0
12/22/21,561.0
12/23/21,560.0
12/24/21,658.0
12/25/21,0.0
12/26/21,735.0
12/27/21,881.0
12/28/21,599.0
12/29/21,665.0
12/30/21,640.0
12/31/21,551.0
1/1/22,0.0
1/2/22,916.0
1/3/22,634.0
1/4/22,651.0
1/5/22,698.0
1/6/22,643.0
1/7/22,592.0
1/8/22,0.0
1/9/22,579.0
1/10/22,536.0
1/11/22,487.0
1/12/22,599.0
1/13/22,618.0
1/14/22,765.0
1/15/22,0.0
1/16/22,867.0
1/17/22,736.0
1/18/22,885.0
1/19/22,1173.0
1/20/22,1331.0
1/21/22,1700.0
1/22/22,0.0
1/23/22,2281.0
1/24/22,2333.0
1/25/22,3063.0
1/26/22,2245.0
1/27/22,3157.0
1/28/22,3320.0
1/29/22,0.0
1/30/22,5694.0
1/31/22,4429.0
2/1/22,4266.0
2/2/22,4371.0
2/3/22,3656.0
2/4/22,3917.0
2/5/22,0.0
2/6/22,4242.0
2/7/22,2832.0
2/8/22,3326.0
2/9/22,3272.0
2/10/22,3773.0
2/11/22,3345.0
2/12/22,0.0
2/13/22,3648.0
2/14/22,2800.0
2/15/22,2490.0
2/16/22,2884.0
2/17/22,2457.0
2/18/22,1208.0
2/19/22,0.0
2/20/22,2292.0
2/21/22,2307.0
2/22/22,1815.0
2/23/22,1373.0
2/24/22,1276.0
2/25/22,938.0
2/26/22,0.0
2/27/22,1394.0
2/28/22,898.0
