,Croatia
6/20/21,58.0
6/21/21,11.0
6/22/21,75.0
6/23/21,43.0
6/24/21,101.0
6/25/21,118.0
6/26/21,86.0
6/27/21,45.0
6/28/21,14.0
6/29/21,70.0
6/30/21,136.0
7/1/21,103.0
7/2/21,92.0
7/3/21,114.0
7/4/21,56.0
7/5/21,9.0
7/6/21,96.0
7/7/21,141.0
7/8/21,110.0
7/9/21,87.0
7/10/21,88.0
7/11/21,58.0
7/12/21,15.0
7/13/21,83.0
7/14/21,155.0
7/15/21,139.0
7/16/21,131.0
7/17/21,139.0
7/18/21,107.0
7/19/21,18.0
7/20/21,146.0
7/21/21,191.0
7/22/21,179.0
7/23/21,176.0
7/24/21,191.0
7/25/21,125.0
7/26/21,27.0
7/27/21,193.0
7/28/21,198.0
7/29/21,188.0
7/30/21,170.0
7/31/21,218.0
8/1/21,143.0
8/2/21,29.0
8/3/21,186.0
8/4/21,271.0
8/5/21,247.0
8/6/21,108.0
8/7/21,233.0
8/8/21,213.0
8/9/21,44.0
8/10/21,246.0
8/11/21,381.0
8/12/21,333.0
8/13/21,308.0
8/14/21,367.0
8/15/21,298.0
8/16/21,46.0
8/17/21,341.0
8/18/21,524.0
8/19/21,486.0
8/20/21,468.0
8/21/21,505.0
8/22/21,373.0
8/23/21,73.0
8/24/21,470.0
8/25/21,677.0
8/26/21,638.0
8/27/21,596.0
8/28/21,595.0
8/29/21,377.0
8/30/21,139.0
8/31/21,668.0
9/1/21,805.0
9/2/21,798.0
9/3/21,816.0
9/4/21,882.0
9/5/21,539.0
9/6/21,184.0
9/7/21,704.0
9/8/21,1237.0
9/9/21,941.0
9/10/21,1042.0
9/11/21,1162.0
9/12/21,807.0
9/13/21,167.0
9/14/21,974.0
9/15/21,1835.0
9/16/21,1369.0
9/17/21,1394.0
9/18/21,1455.0
9/19/21,875.0
9/20/21,264.0
9/21/21,1037.0
9/22/21,1812.0
9/23/21,1373.0
9/24/21,1291.0
9/25/21,1293.0
9/26/21,837.0
9/27/21,217.0
9/28/21,1061.0
9/29/21,1911.0
9/30/21,1710.0
10/1/21,1517.0
10/2/21,1448.0
10/3/21,944.0
10/4/21,219.0
10/5/21,1074.0
10/6/21,1925.0
10/7/21,1748.0
10/8/21,1691.0
10/9/21,1594.0
10/10/21,908.0
10/11/21,170.0
10/12/21,1007.0
10/13/21,2022.0
10/14/21,1851.0
10/15/21,1758.0
10/16/21,1947.0
10/17/21,1301.0
10/18/21,319.0
10/19/21,1741.0
10/20/21,3162.0
10/21/21,3053.0
10/22/21,3258.0
10/23/21,3585.0
10/24/21,2293.0
10/25/21,680.0
10/26/21,3360.0
10/27/21,4571.0
10/28/21,4154.0
10/29/21,4392.0
10/30/21,4547.0
10/31/21,3319.0
11/1/21,1126.0
11/2/21,785.0
11/3/21,4573.0
11/4/21,6310.0
11/5/21,6932.0
11/6/21,7094.0
11/7/21,4159.0
11/8/21,1242.0
11/9/21,4966.0
11/10/21,7315.0
11/11/21,6987.0
11/12/21,6449.0
11/13/21,6315.0
11/14/21,4151.0
11/15/21,1135.0
11/16/21,4443.0
11/17/21,6670.0
11/18/21,7270.0
11/19/21,2234.0
11/20/21,5614.0
11/21/21,4262.0
11/22/21,1327.0
11/23/21,4926.0
11/24/21,6136.0
11/25/21,6246.0
11/26/21,5460.0
11/27/21,5502.0
11/28/21,3339.0
11/29/21,1031.0
11/30/21,3858.0
12/1/21,5709.0
12/2/21,5341.0
12/3/21,4521.0
12/4/21,4465.0
12/5/21,2796.0
12/6/21,728.0
12/7/21,3262.0
12/8/21,4751.0
12/9/21,4428.0
12/10/21,3797.0
12/11/21,3860.0
12/12/21,2339.0
12/13/21,453.0
12/14/21,3071.0
12/15/21,4671.0
12/16/21,3765.0
12/17/21,3778.0
12/18/21,3487.0
12/19/21,1936.0
12/20/21,367.0
12/21/21,2803.0
12/22/21,4226.0
12/23/21,3831.0
12/24/21,3241.0
12/25/21,3271.0
12/26/21,151.0
12/27/21,560.0
12/28/21,4139.0
12/29/21,5768.0
12/30/21,5958.0
12/31/21,5567.0
1/1/22,5293.0
1/2/22,413.0
1/3/22,1103.0
1/4/22,5845.0
1/5/22,8587.0
1/6/22,9058.0
1/7/22,3911.0
1/8/22,8817.0
1/9/22,7333.0
1/10/22,1578.0
1/11/22,7956.0
1/12/22,9894.0
1/13/22,9157.0
1/14/22,8555.0
1/15/22,8958.0
1/16/22,5732.0
