,Panama
3/15/21,236.0
3/16/21,425.0
3/17/21,440.0
3/18/21,485.0
3/19/21,715.0
3/20/21,445.0
3/21/21,326.0
3/22/21,222.0
3/23/21,454.0
3/24/21,415.0
3/25/21,497.0
3/26/21,438.0
3/27/21,480.0
3/28/21,342.0
3/29/21,246.0
3/30/21,519.0
3/31/21,447.0
4/1/21,448.0
4/2/21,351.0
4/3/21,223.0
4/4/21,304.0
4/5/21,179.0
4/6/21,357.0
4/7/21,364.0
4/8/21,427.0
4/9/21,394.0
4/10/21,279.0
4/11/21,234.0
4/12/21,181.0
4/13/21,329.0
4/14/21,395.0
4/15/21,314.0
4/16/21,419.0
4/17/21,348.0
4/18/21,244.0
4/19/21,203.0
4/20/21,275.0
4/21/21,359.0
4/22/21,314.0
4/23/21,366.0
4/24/21,338.0
4/25/21,271.0
4/26/21,198.0
4/27/21,368.0
4/28/21,362.0
4/29/21,323.0
4/30/21,358.0
5/1/21,268.0
5/2/21,260.0
5/3/21,195.0
5/4/21,320.0
5/5/21,356.0
5/6/21,389.0
5/7/21,398.0
5/8/21,508.0
5/9/21,386.0
5/10/21,252.0
5/11/21,460.0
5/12/21,562.0
5/13/21,525.0
5/14/21,588.0
5/15/21,490.0
5/16/21,344.0
5/17/21,268.0
5/18/21,539.0
5/19/21,537.0
5/20/21,579.0
5/21/21,508.0
5/22/21,466.0
5/23/21,347.0
5/24/21,235.0
5/25/21,581.0
5/26/21,663.0
5/27/21,637.0
5/28/21,617.0
5/29/21,574.0
5/30/21,348.0
5/31/21,321.0
6/1/21,731.0
6/2/21,678.0
6/3/21,701.0
6/4/21,915.0
6/5/21,827.0
6/6/21,526.0
6/7/21,376.0
6/8/21,882.0
6/9/21,779.0
6/10/21,841.0
6/11/21,916.0
6/12/21,858.0
6/13/21,715.0
6/14/21,483.0
6/15/21,848.0
6/16/21,1048.0
6/17/21,969.0
6/18/21,976.0
6/19/21,978.0
6/20/21,583.0
6/21/21,514.0
6/22/21,1208.0
6/23/21,1077.0
6/24/21,1201.0
6/25/21,1093.0
6/26/21,1057.0
6/27/21,789.0
6/28/21,666.0
6/29/21,1249.0
6/30/21,1197.0
7/1/21,1205.0
7/2/21,1030.0
7/3/21,1317.0
7/4/21,793.0
7/5/21,605.0
7/6/21,1276.0
7/7/21,1222.0
7/8/21,1240.0
7/9/21,1160.0
7/10/21,1021.0
7/11/21,833.0
7/12/21,752.0
7/13/21,855.0
7/14/21,1517.0
7/15/21,1225.0
7/16/21,1087.0
7/17/21,1041.0
7/18/21,721.0
7/19/21,688.0
7/20/21,1089.0
7/21/21,1144.0
7/22/21,1250.0
7/23/21,1138.0
7/24/21,1096.0
7/25/21,866.0
7/26/21,495.0
7/27/21,1110.0
7/28/21,969.0
7/29/21,1022.0
7/30/21,915.0
7/31/21,1195.0
8/1/21,820.0
8/2/21,337.0
8/3/21,932.0
8/4/21,1037.0
8/5/21,818.0
8/6/21,0.0
8/7/21,1717.0
8/8/21,979.0
8/9/21,523.0
8/10/21,900.0
8/11/21,977.0
8/12/21,956.0
8/13/21,758.0
8/14/21,852.0
8/15/21,563.0
8/16/21,444.0
8/17/21,656.0
8/18/21,838.0
8/19/21,862.0
8/20/21,669.0
8/21/21,691.0
8/22/21,614.0
8/23/21,388.0
8/24/21,480.0
8/25/21,864.0
8/26/21,548.0
8/27/21,649.0
8/28/21,676.0
8/29/21,463.0
8/30/21,371.0
8/31/21,450.0
9/1/21,670.0
9/2/21,481.0
9/3/21,439.0
9/4/21,442.0
9/5/21,325.0
9/6/21,0.0
9/7/21,655.0
9/8/21,330.0
9/9/21,401.0
9/10/21,360.0
9/11/21,420.0
9/12/21,0.0
9/13/21,214.0
9/14/21,223.0
9/15/21,639.0
9/16/21,373.0
9/17/21,324.0
9/18/21,255.0
9/19/21,250.0
9/20/21,152.0
9/21/21,341.0
9/22/21,366.0
9/23/21,324.0
9/24/21,265.0
9/25/21,257.0
9/26/21,185.0
9/27/21,179.0
9/28/21,232.0
9/29/21,262.0
9/30/21,262.0
10/1/21,225.0
10/2/21,227.0
10/3/21,175.0
10/4/21,121.0
10/5/21,253.0
10/6/21,211.0
10/7/21,220.0
10/8/21,195.0
10/9/21,223.0
10/10/21,119.0
10/11/21,108.0
10/12/21,250.0
10/13/21,129.0
10/14/21,0.0
10/15/21,429.0
10/16/21,0.0
10/17/21,266.0
10/18/21,131.0
10/19/21,0.0
10/20/21,460.0
10/21/21,205.0
10/22/21,193.0
10/23/21,150.0
10/24/21,0.0
10/25/21,266.0
10/26/21,215.0
10/27/21,173.0
10/28/21,140.0
10/29/21,201.0
10/30/21,136.0
10/31/21,130.0
11/1/21,0.0
11/2/21,213.0
11/3/21,128.0
11/4/21,84.0
11/5/21,94.0
