,Tunisia
6/17/21,2379.0
6/18/21,2291.0
6/19/21,2193.0
6/20/21,1775.0
6/21/21,2478.0
6/22/21,2345.0
6/23/21,3638.0
6/24/21,3951.0
6/25/21,3467.0
6/26/21,4664.0
6/27/21,3524.0
6/28/21,1914.0
6/29/21,5251.0
6/30/21,5921.0
7/1/21,6776.0
7/2/21,5882.0
7/3/21,6184.0
7/4/21,4686.0
7/5/21,3530.0
7/6/21,7930.0
7/7/21,9823.0
7/8/21,8315.0
7/9/21,8506.0
7/10/21,9286.0
7/11/21,6592.0
7/12/21,4310.0
7/13/21,8473.0
7/14/21,8213.0
7/15/21,7878.0
7/16/21,6787.0
7/17/21,7524.0
7/18/21,5435.0
7/19/21,2520.0
7/20/21,6158.0
7/21/21,1086.0
7/22/21,2309.0
7/23/21,0.0
7/24/21,5624.0
7/25/21,5359.0
7/26/21,4105.0
7/27/21,1608.0
7/28/21,3960.0
7/29/21,3676.0
7/30/21,3508.0
7/31/21,3419.0
8/1/21,5967.0
8/2/21,1243.0
8/3/21,0.0
8/4/21,5982.0
8/5/21,0.0
8/6/21,2448.0
8/7/21,2909.0
8/8/21,2546.0
8/9/21,2968.0
8/10/21,0.0
8/11/21,3136.0
8/12/21,1360.0
8/13/21,2088.0
8/14/21,2050.0
8/15/21,1678.0
8/16/21,1748.0
8/17/21,1062.0
8/18/21,5578.0
8/19/21,0.0
8/20/21,3127.0
8/21/21,2617.0
8/22/21,2825.0
8/23/21,1891.0
8/24/21,1284.0
8/25/21,3411.0
8/26/21,3552.0
8/27/21,3763.0
8/28/21,3524.0
8/29/21,2265.0
8/30/21,2165.0
8/31/21,1282.0
9/1/21,2134.0
9/2/21,1883.0
9/3/21,1976.0
9/4/21,2209.0
9/5/21,1811.0
9/6/21,1144.0
9/7/21,580.0
9/8/21,2592.0
9/9/21,1711.0
9/10/21,1590.0
9/11/21,2036.0
9/12/21,1319.0
9/13/21,780.0
9/14/21,9607.0
9/15/21,873.0
9/16/21,1142.0
9/17/21,1006.0
9/18/21,797.0
9/19/21,704.0
9/20/21,472.0
9/21/21,407.0
9/22/21,1696.0
9/23/21,556.0
9/24/21,0.0
9/25/21,1855.0
9/26/21,0.0
9/27/21,560.0
9/28/21,0.0
9/29/21,840.0
9/30/21,876.0
10/1/21,358.0
10/2/21,435.0
10/3/21,0.0
10/4/21,220.0
10/5/21,585.0
10/6/21,213.0
10/7/21,221.0
10/8/21,234.0
10/9/21,0.0
10/10/21,378.0
10/11/21,32.0
10/12/21,230.0
10/13/21,226.0
10/14/21,0.0
10/15/21,351.0
10/16/21,100.0
10/17/21,133.0
10/18/21,47.0
10/19/21,54.0
10/20/21,157.0
10/21/21,233.0
10/22/21,0.0
10/23/21,124.0
10/24/21,172.0
10/25/21,128.0
10/26/21,192.0
10/27/21,126.0
10/28/21,91.0
10/29/21,88.0
10/30/21,0.0
10/31/21,429.0
11/1/21,29.0
11/2/21,104.0
11/3/21,102.0
11/4/21,89.0
11/5/21,0.0
11/6/21,183.0
11/7/21,54.0
11/8/21,44.0
11/9/21,0.0
11/10/21,1924.0
11/11/21,213.0
11/12/21,82.0
11/13/21,66.0
11/14/21,50.0
11/15/21,29.0
11/16/21,102.0
11/17/21,93.0
11/18/21,77.0
11/19/21,86.0
11/20/21,109.0
11/21/21,79.0
11/22/21,36.0
11/23/21,311.0
11/24/21,93.0
11/25/21,159.0
11/26/21,127.0
11/27/21,175.0
11/28/21,95.0
11/29/21,51.0
11/30/21,263.0
12/1/21,138.0
12/2/21,198.0
12/3/21,151.0
12/4/21,219.0
12/5/21,165.0
12/6/21,0.0
12/7/21,253.0
12/8/21,170.0
12/9/21,140.0
12/10/21,241.0
12/11/21,187.0
12/12/21,152.0
12/13/21,0.0
12/14/21,317.0
12/15/21,240.0
12/16/21,375.0
12/17/21,0.0
12/18/21,335.0
12/19/21,178.0
12/20/21,72.0
12/21/21,347.0
12/22/21,347.0
12/23/21,326.0
12/24/21,320.0
12/25/21,352.0
12/26/21,0.0
12/27/21,627.0
12/28/21,670.0
12/29/21,0.0
12/30/21,588.0
12/31/21,2026.0
1/1/22,1137.0
1/2/22,417.0
1/3/22,542.0
1/4/22,2275.0
1/5/22,2302.0
1/6/22,2594.0
1/7/22,2469.0
1/8/22,2817.0
1/9/22,2579.0
1/10/22,1129.0
1/11/22,4865.0
1/12/22,6323.0
1/13/22,6562.0
1/14/22,8460.0
1/15/22,9569.0
1/16/22,0.0
1/17/22,7266.0
1/18/22,3905.0
1/19/22,12436.0
1/20/22,12698.0
1/21/22,9787.0
1/22/22,19923.0
1/23/22,0.0
1/24/22,7144.0
1/25/22,2834.0
1/26/22,9706.0
1/27/22,9800.0
1/28/22,8343.0
1/29/22,16519.0
1/30/22,0.0
1/31/22,8706.0
2/1/22,8001.0
2/2/22,0.0
2/3/22,12276.0
2/4/22,4622.0
2/5/22,5511.0
2/6/22,3952.0
2/7/22,1278.0
2/8/22,5122.0
2/9/22,4151.0
2/10/22,3823.0
2/11/22,3328.0
2/12/22,3080.0
2/13/22,2095.0
2/14/22,0.0
2/15/22,1341.0
2/16/22,3067.0
2/17/22,2754.0
2/18/22,5398.0
2/19/22,0.0
2/20/22,6724.0
2/21/22,920.0
2/22/22,1073.0
2/23/22,2154.0
2/24/22,2091.0
2/25/22,1969.0
2/26/22,1170.0
2/27/22,2041.0
2/28/22,476.0
