,Chile
3/16/21,4551.0
3/17/21,3430.0
3/18/21,7257.0
3/19/21,6584.0
3/20/21,7036.0
3/21/21,6850.0
3/22/21,6155.0
3/23/21,4864.0
3/24/21,4825.0
3/25/21,7060.0
3/26/21,7478.0
3/27/21,7592.0
3/28/21,7330.0
3/29/21,7241.0
3/30/21,5008.0
3/31/21,6046.0
4/1/21,7868.0
4/2/21,8079.0
4/3/21,7993.0
4/4/21,7307.0
4/5/21,5827.0
4/6/21,5168.0
4/7/21,5242.0
4/8/21,8248.0
4/9/21,9151.0
4/10/21,8101.0
4/11/21,7977.0
4/12/21,6421.0
4/13/21,5790.0
4/14/21,5557.0
4/15/21,7431.0
4/16/21,7613.0
4/17/21,8037.0
4/18/21,7370.0
4/19/21,6622.0
4/20/21,4849.0
4/21/21,5214.0
4/22/21,6917.0
4/23/21,7582.0
4/24/21,6909.0
4/25/21,6725.0
4/26/21,6078.0
4/27/21,4158.0
4/28/21,4499.0
4/29/21,6720.0
4/30/21,7254.0
5/1/21,5510.0
5/2/21,7165.0
5/3/21,4895.0
5/4/21,3249.0
5/5/21,3885.0
5/6/21,6299.0
5/7/21,6530.0
5/8/21,6198.0
5/9/21,5493.0
5/10/21,5339.0
5/11/21,3738.0
5/12/21,3902.0
5/13/21,6153.0
5/14/21,6915.0
5/15/21,6736.0
5/16/21,6296.0
5/17/21,5548.0
5/18/21,3766.0
5/19/21,4767.0
5/20/21,7682.0
5/21/21,7602.0
5/22/21,7500.0
5/23/21,6505.0
5/24/21,5343.0
5/25/21,4160.0
5/26/21,5197.0
5/27/21,8105.0
5/28/21,8658.0
5/29/21,8216.0
5/30/21,7910.0
5/31/21,6839.0
6/1/21,5011.0
6/2/21,5616.0
6/3/21,8128.0
6/4/21,8245.0
6/5/21,8920.0
6/6/21,7690.0
6/7/21,6928.0
6/8/21,5533.0
6/9/21,5351.0
6/10/21,7709.0
6/11/21,7942.0
6/12/21,7573.0
6/13/21,7481.0
6/14/21,6190.0
6/15/21,4576.0
6/16/21,4322.0
6/17/21,6670.0
6/18/21,6770.0
6/19/21,6274.0
6/20/21,5743.0
6/21/21,5205.0
6/22/21,3710.0
6/23/21,2476.0
6/24/21,3463.0
6/25/21,5599.0
6/26/21,5171.0
6/27/21,4461.0
6/28/21,4034.0
6/29/21,2637.0
6/30/21,2128.0
7/1/21,2655.0
7/2/21,4056.0
7/3/21,3848.0
7/4/21,3323.0
7/5/21,2824.0
7/6/21,1857.0
7/7/21,1871.0
7/8/21,3255.0
7/9/21,2800.0
7/10/21,2769.0
7/11/21,2318.0
7/12/21,2145.0
7/13/21,1264.0
7/14/21,1243.0
7/15/21,2366.0
7/16/21,2053.0
7/17/21,1932.0
7/18/21,1398.0
7/19/21,1004.0
7/20/21,975.0
7/21/21,996.0
7/22/21,1859.0
7/23/21,1645.0
7/24/21,1391.0
7/25/21,1428.0
7/26/21,1168.0
7/27/21,745.0
7/28/21,827.0
7/29/21,1371.0
7/30/21,1341.0
7/31/21,1142.0
8/1/21,1171.0
8/2/21,910.0
8/3/21,605.0
8/4/21,726.0
8/5/21,1206.0
8/6/21,1182.0
8/7/21,938.0
8/8/21,854.0
8/9/21,953.0
8/10/21,507.0
8/11/21,644.0
8/12/21,1128.0
8/13/21,833.0
8/14/21,865.0
8/15/21,899.0
8/16/21,740.0
8/17/21,398.0
8/18/21,501.0
8/19/21,858.0
8/20/21,752.0
8/21/21,712.0
8/22/21,663.0
8/23/21,578.0
8/24/21,380.0
8/25/21,399.0
8/26/21,785.0
8/27/21,669.0
8/28/21,607.0
8/29/21,595.0
8/30/21,501.0
8/31/21,345.0
9/1/21,448.0
9/2/21,575.0
9/3/21,494.0
9/4/21,474.0
9/5/21,425.0
9/6/21,435.0
9/7/21,265.0
9/8/21,355.0
9/9/21,500.0
9/10/21,510.0
9/11/21,474.0
9/12/21,441.0
9/13/21,469.0
9/14/21,292.0
9/15/21,401.0
9/16/21,587.0
9/17/21,583.0
9/18/21,591.0
9/19/21,475.0
9/20/21,277.0
9/21/21,280.0
9/22/21,524.0
9/23/21,859.0
9/24/21,829.0
9/25/21,747.0
9/26/21,765.0
9/27/21,614.0
9/28/21,431.0
9/29/21,611.0
9/30/21,858.0
10/1/21,807.0
10/2/21,813.0
10/3/21,718.0
10/4/21,654.0
10/5/21,493.0
10/6/21,695.0
10/7/21,942.0
10/8/21,986.0
10/9/21,998.0
10/10/21,1063.0
10/11/21,950.0
10/12/21,609.0
10/13/21,733.0
10/14/21,1191.0
10/15/21,1631.0
10/16/21,1689.0
10/17/21,1514.0
10/18/21,1315.0
10/19/21,933.0
10/20/21,1228.0
10/21/21,1793.0
10/22/21,2004.0
10/23/21,1994.0
10/24/21,1811.0
10/25/21,1623.0
10/26/21,1157.0
10/27/21,1710.0
10/28/21,2136.0
10/29/21,2281.0
10/30/21,2142.0
10/31/21,2171.0
11/1/21,1738.0
11/2/21,1341.0
11/3/21,1300.0
11/4/21,1889.0
11/5/21,2510.0
11/6/21,2796.0
11/7/21,2567.0
11/8/21,2253.0
11/9/21,1746.0
11/10/21,2164.0
11/11/21,2733.0
11/12/21,2940.0
11/13/21,2703.0
11/14/21,2744.0
11/15/21,2295.0
11/16/21,1689.0
11/17/21,2120.0
11/18/21,2611.0
11/19/21,2698.0
11/20/21,2611.0
11/21/21,2641.0
11/22/21,2168.0
11/23/21,1760.0
11/24/21,2034.0
11/25/21,2670.0
11/26/21,2674.0
11/27/21,2634.0
11/28/21,2328.0
11/29/21,1960.0
11/30/21,1386.0
12/1/21,1523.0
12/2/21,2219.0
12/3/21,2091.0
12/4/21,2036.0
12/5/21,1927.0
12/6/21,1501.0
12/7/21,1164.0
12/8/21,1387.0
12/9/21,1771.0
12/10/21,0.0
12/11/21,2857.0
12/12/21,1577.0
12/13/21,1361.0
12/14/21,959.0
12/15/21,1060.0
12/16/21,1492.0
12/17/21,1433.0
12/18/21,1415.0
12/19/21,1252.0
12/20/21,1126.0
12/21/21,884.0
12/22/21,964.0
12/23/21,1482.0
12/24/21,1399.0
12/25/21,1494.0
12/26/21,1155.0
12/27/21,753.0
12/28/21,762.0
12/29/21,1096.0
12/30/21,1791.0
12/31/21,1812.0
1/1/22,1904.0
1/2/22,1904.0
1/3/22,995.0
1/4/22,1051.0
1/5/22,1840.0
1/6/22,3112.0
1/7/22,3771.0
1/8/22,4346.0
1/9/22,4020.0
1/10/22,4041.0
1/11/22,3912.0
1/12/22,4828.0
1/13/22,7247.0
1/14/22,8299.0
1/15/22,9337.0
1/16/22,9509.0
1/17/22,8930.0
1/18/22,7575.0
1/19/22,9542.0
1/20/22,13865.0
1/21/22,17682.0
1/22/22,15471.0
1/23/22,15718.0
1/24/22,18797.0
1/25/22,17156.0
1/26/22,18736.0
1/27/22,25792.0
1/28/22,29829.0
1/29/22,31909.0
1/30/22,30131.0
1/31/22,28241.0
2/1/22,24577.0
2/2/22,30715.0
2/3/22,36729.0
2/4/22,38707.0
2/5/22,38322.0
2/6/22,36799.0
2/7/22,33839.0
2/8/22,26173.0
2/9/22,34253.0
2/10/22,38070.0
2/11/22,41651.0
2/12/22,37115.0
2/13/22,38493.0
2/14/22,31286.0
2/15/22,24979.0
2/16/22,32162.0
2/17/22,37698.0
2/18/22,35906.0
2/19/22,35788.0
2/20/22,32136.0
2/21/22,25073.0
2/22/22,19476.0
2/23/22,25200.0
2/24/22,32764.0
2/25/22,31978.0
2/26/22,29757.0
2/27/22,25770.0
2/28/22,19619.0
