,Nepal
5/10/21,9127.0
5/11/21,9317.0
5/12/21,9238.0
5/13/21,8842.0
5/14/21,8467.0
5/15/21,8046.0
5/16/21,7316.0
5/17/21,9198.0
5/18/21,8136.0
5/19/21,8064.0
5/20/21,8227.0
5/21/21,8407.0
5/22/21,8591.0
5/23/21,7598.0
5/24/21,7220.0
5/25/21,8387.0
5/26/21,6677.0
5/27/21,6731.0
5/28/21,6855.0
5/29/21,4311.0
5/30/21,3702.0
5/31/21,4178.0
6/1/21,5285.0
6/2/21,4524.0
6/3/21,5825.0
6/4/21,4624.0
6/5/21,3540.0
6/6/21,3024.0
6/7/21,3370.0
6/8/21,3870.0
6/9/21,3449.0
6/10/21,2874.0
6/11/21,2709.0
6/12/21,2382.0
6/13/21,1694.0
6/14/21,2049.0
6/15/21,1681.0
6/16/21,2014.0
6/17/21,1768.0
6/18/21,1963.0
6/19/21,1688.0
6/20/21,1421.0
6/21/21,1584.0
6/22/21,3703.0
6/23/21,1511.0
6/24/21,1577.0
6/25/21,1721.0
6/26/21,1174.0
6/27/21,1353.0
6/28/21,1509.0
6/29/21,1728.0
6/30/21,1889.0
7/1/21,1857.0
7/2/21,1391.0
7/3/21,1527.0
7/4/21,1042.0
7/5/21,1745.0
7/6/21,1718.0
7/7/21,2077.0
7/8/21,1218.0
7/9/21,1479.0
7/10/21,1353.0
7/11/21,1237.0
7/12/21,1690.0
7/13/21,1639.0
7/14/21,2010.0
7/15/21,1782.0
7/16/21,2006.0
7/17/21,1310.0
7/18/21,1223.0
7/19/21,1642.0
7/20/21,2202.0
7/21/21,1918.0
7/22/21,1855.0
7/23/21,1982.0
7/24/21,2309.0
7/25/21,1539.0
7/26/21,2391.0
7/27/21,2726.0
7/28/21,2634.0
7/29/21,2335.0
7/30/21,2467.0
7/31/21,2280.0
8/1/21,1981.0
8/2/21,2279.0
8/3/21,2448.0
8/4/21,2975.0
8/5/21,3007.0
8/6/21,2430.0
8/7/21,2231.0
8/8/21,2137.0
8/9/21,2609.0
8/10/21,3194.0
8/11/21,2616.0
8/12/21,2473.0
8/13/21,2763.0
8/14/21,1947.0
8/15/21,1793.0
8/16/21,2566.0
