,Rwanda
7/6/21,883.0
7/7/21,760.0
7/8/21,911.0
7/9/21,887.0
7/10/21,830.0
7/11/21,577.0
7/12/21,772.0
7/13/21,792.0
7/14/21,934.0
7/15/21,883.0
7/16/21,927.0
7/17/21,1997.0
7/18/21,2773.0
7/19/21,913.0
7/20/21,906.0
7/21/21,925.0
7/22/21,1309.0
7/23/21,953.0
7/24/21,0.0
7/25/21,618.0
7/26/21,3072.0
7/27/21,969.0
7/28/21,915.0
7/29/21,965.0
7/30/21,971.0
7/31/21,860.0
8/1/21,648.0
8/2/21,720.0
8/3/21,775.0
8/4/21,769.0
8/5/21,754.0
8/6/21,629.0
8/7/21,650.0
8/8/21,448.0
8/9/21,544.0
8/10/21,600.0
8/11/21,619.0
8/12/21,449.0
8/13/21,515.0
8/14/21,466.0
8/15/21,418.0
8/16/21,435.0
8/17/21,557.0
8/18/21,645.0
8/19/21,496.0
8/20/21,380.0
8/21/21,415.0
8/22/21,393.0
8/23/21,496.0
8/24/21,608.0
8/25/21,504.0
8/26/21,570.0
8/27/21,522.0
8/28/21,519.0
8/29/21,371.0
8/30/21,518.0
8/31/21,496.0
9/1/21,570.0
9/2/21,485.0
9/3/21,490.0
9/4/21,352.0
9/5/21,244.0
9/6/21,377.0
9/7/21,453.0
9/8/21,483.0
9/9/21,474.0
9/10/21,470.0
9/11/21,0.0
9/12/21,595.0
9/13/21,459.0
9/14/21,488.0
9/15/21,488.0
9/16/21,423.0
9/17/21,415.0
9/18/21,224.0
9/19/21,140.0
9/20/21,246.0
9/21/21,264.0
9/22/21,256.0
9/23/21,314.0
9/24/21,233.0
9/25/21,157.0
9/26/21,112.0
9/27/21,143.0
9/28/21,208.0
9/29/21,168.0
9/30/21,159.0
10/1/21,178.0
10/2/21,86.0
10/3/21,89.0
10/4/21,81.0
10/5/21,126.0
10/6/21,132.0
10/7/21,136.0
10/8/21,140.0
10/9/21,114.0
10/10/21,98.0
10/11/21,48.0
10/12/21,95.0
10/13/21,86.0
10/14/21,61.0
10/15/21,80.0
10/16/21,61.0
10/17/21,17.0
10/18/21,36.0
10/19/21,32.0
10/20/21,39.0
10/21/21,36.0
10/22/21,37.0
10/23/21,29.0
10/24/21,20.0
10/25/21,57.0
10/26/21,43.0
10/27/21,40.0
10/28/21,51.0
10/29/21,63.0
10/30/21,53.0
10/31/21,17.0
11/1/21,29.0
11/2/21,38.0
11/3/21,55.0
11/4/21,34.0
11/5/21,44.0
11/6/21,33.0
11/7/21,16.0
11/8/21,31.0
11/9/21,22.0
11/10/21,19.0
11/11/21,28.0
11/12/21,35.0
11/13/21,43.0
11/14/21,11.0
11/15/21,12.0
11/16/21,16.0
11/17/21,19.0
11/18/21,7.0
11/19/21,6.0
11/20/21,11.0
11/21/21,10.0
11/22/21,15.0
11/23/21,23.0
11/24/21,22.0
11/25/21,26.0
11/26/21,8.0
11/27/21,14.0
11/28/21,5.0
11/29/21,14.0
11/30/21,5.0
12/1/21,13.0
12/2/21,19.0
12/3/21,10.0
12/4/21,13.0
12/5/21,10.0
12/6/21,15.0
12/7/21,20.0
12/8/21,15.0
12/9/21,53.0
12/10/21,39.0
12/11/21,28.0
12/12/21,50.0
12/13/21,0.0
12/14/21,129.0
12/15/21,125.0
12/16/21,142.0
12/17/21,153.0
12/18/21,230.0
12/19/21,169.0
12/20/21,307.0
12/21/21,343.0
12/22/21,465.0
12/23/21,473.0
12/24/21,629.0
12/25/21,713.0
12/26/21,515.0
12/27/21,962.0
12/28/21,998.0
12/29/21,2083.0
12/30/21,1488.0
12/31/21,1228.0
1/1/22,868.0
1/2/22,928.0
1/3/22,998.0
1/4/22,1477.0
1/5/22,1066.0
1/6/22,1219.0
1/7/22,1079.0
1/8/22,953.0
1/9/22,610.0
1/10/22,758.0
1/11/22,661.0
1/12/22,763.0
1/13/22,720.0
1/14/22,533.0
1/15/22,383.0
1/16/22,364.0
1/17/22,402.0
1/18/22,565.0
1/19/22,552.0
1/20/22,542.0
1/21/22,428.0
1/22/22,247.0
1/23/22,107.0
1/24/22,196.0
1/25/22,173.0
1/26/22,131.0
1/27/22,120.0
1/28/22,79.0
1/29/22,94.0
1/30/22,39.0
1/31/22,50.0
2/1/22,42.0
2/2/22,38.0
2/3/22,68.0
2/4/22,45.0
2/5/22,41.0
2/6/22,16.0
2/7/22,16.0
2/8/22,20.0
2/9/22,33.0
2/10/22,24.0
2/11/22,44.0
2/12/22,17.0
2/13/22,3.0
2/14/22,13.0
2/15/22,15.0
2/16/22,11.0
2/17/22,8.0
2/18/22,14.0
2/19/22,10.0
2/20/22,3.0
2/21/22,6.0
2/22/22,41.0
2/23/22,17.0
2/24/22,32.0
2/25/22,15.0
2/26/22,2.0
2/27/22,4.0
2/28/22,13.0
