,Ecuador
7/18/21,850.0
7/19/21,247.0
7/20/21,1634.0
7/21/21,669.0
7/22/21,1169.0
7/23/21,936.0
7/24/21,0.0
7/25/21,0.0
7/26/21,2227.0
7/27/21,0.0
7/28/21,1761.0
7/29/21,965.0
7/30/21,871.0
7/31/21,828.0
8/1/21,226.0
8/2/21,104.0
8/3/21,1387.0
8/4/21,408.0
8/5/21,859.0
8/6/21,829.0
8/7/21,646.0
8/8/21,353.0
8/9/21,81.0
8/10/21,98.0
8/11/21,785.0
8/12/21,619.0
8/13/21,581.0
8/14/21,471.0
8/15/21,196.0
8/16/21,100.0
8/17/21,630.0
8/18/21,897.0
8/19/21,438.0
8/20/21,815.0
8/21/21,719.0
8/22/21,64.0
8/23/21,50.0
8/24/21,468.0
8/25/21,435.0
8/26/21,453.0
8/27/21,360.0
8/28/21,605.0
8/29/21,91.0
8/30/21,61.0
8/31/21,542.0
9/1/21,403.0
9/2/21,955.0
9/3/21,413.0
9/4/21,253.0
9/5/21,65.0
9/6/21,51.0
9/7/21,374.0
9/8/21,524.0
9/9/21,146.0
9/10/21,148.0
9/11/21,187.0
9/12/21,16.0
9/13/21,17.0
9/14/21,333.0
9/15/21,232.0
9/16/21,225.0
9/17/21,454.0
9/18/21,435.0
9/19/21,29.0
9/20/21,17.0
9/21/21,411.0
9/22/21,157.0
9/23/21,270.0
9/24/21,214.0
9/25/21,431.0
9/26/21,152.0
9/27/21,70.0
9/28/21,513.0
9/29/21,375.0
9/30/21,564.0
10/1/21,442.0
10/2/21,306.0
10/3/21,29.0
10/4/21,113.0
10/5/21,250.0
10/6/21,229.0
10/7/21,153.0
10/8/21,0.0
10/9/21,199.0
10/10/21,71.0
10/11/21,75.0
10/12/21,27.0
10/13/21,955.0
10/14/21,0.0
10/15/21,0.0
10/16/21,531.0
10/17/21,0.0
10/18/21,119.0
10/19/21,411.0
10/20/21,0.0
10/21/21,569.0
10/22/21,386.0
10/23/21,269.0
10/24/21,295.0
10/25/21,53.0
10/26/21,0.0
10/27/21,508.0
10/28/21,263.0
10/29/21,501.0
10/30/21,271.0
10/31/21,60.0
11/1/21,913.0
11/2/21,48.0
11/3/21,51.0
11/4/21,315.0
11/5/21,386.0
11/6/21,411.0
11/7/21,0.0
11/8/21,96.0
11/9/21,78.0
11/10/21,407.0
11/11/21,-407.0
11/12/21,1719.0
11/13/21,419.0
11/14/21,94.0
11/15/21,53.0
11/16/21,547.0
11/17/21,391.0
11/18/21,572.0
11/19/21,492.0
11/20/21,364.0
11/21/21,142.0
11/22/21,79.0
11/23/21,453.0
11/24/21,513.0
11/25/21,432.0
11/26/21,307.0
11/27/21,478.0
11/28/21,185.0
11/29/21,70.0
11/30/21,463.0
12/1/21,355.0
12/2/21,413.0
12/3/21,489.0
12/4/21,584.0
12/5/21,175.0
12/6/21,107.0
12/7/21,670.0
12/8/21,739.0
12/9/21,942.0
12/10/21,623.0
12/11/21,760.0
12/12/21,267.0
12/13/21,131.0
12/14/21,588.0
12/15/21,581.0
12/16/21,657.0
12/17/21,715.0
12/18/21,647.0
12/19/21,256.0
12/20/21,188.0
12/21/21,998.0
12/22/21,819.0
12/23/21,1085.0
12/24/21,1246.0
12/25/21,714.0
12/26/21,259.0
12/27/21,619.0
12/28/21,1143.0
12/29/21,1697.0
12/30/21,1386.0
12/31/21,2232.0
1/1/22,2202.0
1/2/22,704.0
1/3/22,877.0
1/4/22,1235.0
1/5/22,2837.0
1/6/22,2677.0
1/7/22,1335.0
1/8/22,2953.0
1/9/22,3094.0
1/10/22,1852.0
1/11/22,9341.0
1/12/22,10346.0
1/13/22,4793.0
1/14/22,9278.0
1/15/22,11090.0
1/16/22,11027.0
1/17/22,4448.0
1/18/22,9628.0
1/19/22,10422.0
1/20/22,8488.0
1/21/22,6619.0
1/22/22,10299.0
1/23/22,6419.0
1/24/22,2686.0
1/25/22,7830.0
1/26/22,5711.0
1/27/22,9615.0
1/28/22,9861.0
1/29/22,8851.0
1/30/22,3824.0
1/31/22,2278.0
2/1/22,7259.0
2/2/22,6522.0
2/3/22,6816.0
2/4/22,8686.0
2/5/22,5077.0
2/6/22,2751.0
2/7/22,0.0
2/8/22,0.0
2/9/22,0.0
2/10/22,12321.0
2/11/22,0.0
2/12/22,0.0
2/13/22,0.0
2/14/22,17670.0
2/15/22,1180.0
2/16/22,0.0
2/17/22,8605.0
2/18/22,0.0
2/19/22,0.0
2/20/22,0.0
2/21/22,10961.0
2/22/22,655.0
2/23/22,0.0
2/24/22,7219.0
2/25/22,0.0
2/26/22,0.0
2/27/22,0.0
2/28/22,0.0
