,Kuwait
1/12/22,4548.0
1/13/22,4883.0
1/14/22,4881.0
1/15/22,4517.0
1/16/22,4503.0
1/17/22,5147.0
1/18/22,4825.0
1/19/22,4337.0
1/20/22,4510.0
1/21/22,4809.0
1/22/22,4148.0
1/23/22,4347.0
1/24/22,5176.0
1/25/22,5742.0
1/26/22,6454.0
1/27/22,6515.0
1/28/22,6913.0
1/29/22,5808.0
1/30/22,5592.0
1/31/22,6063.0
2/1/22,6436.0
2/2/22,6592.0
2/3/22,5990.0
2/4/22,5407.0
2/5/22,4445.0
2/6/22,4232.0
2/7/22,4294.0
2/8/22,3989.0
2/9/22,3463.0
2/10/22,3324.0
2/11/22,2896.0
2/12/22,2254.0
2/13/22,2268.0
2/14/22,2562.0
2/15/22,2166.0
2/16/22,1917.0
2/17/22,1501.0
2/18/22,1348.0
2/19/22,1019.0
2/20/22,1195.0
2/21/22,1329.0
2/22/22,1053.0
2/23/22,1012.0
2/24/22,866.0
2/25/22,846.0
2/26/22,582.0
2/27/22,607.0
2/28/22,584.0
