,Cuba
6/27/21,2698.0
6/28/21,2589.0
6/29/21,3080.0
6/30/21,2970.0
7/1/21,2952.0
7/2/21,3308.0
7/3/21,3475.0
7/4/21,3519.0
7/5/21,3075.0
7/6/21,3591.0
7/7/21,3664.0
7/8/21,3819.0
7/9/21,6422.0
7/10/21,6750.0
7/11/21,6923.0
7/12/21,6423.0
7/13/21,5613.0
7/14/21,6080.0
7/15/21,6479.0
7/16/21,6460.0
7/17/21,6062.0
7/18/21,6279.0
7/19/21,6505.0
7/20/21,6057.0
7/21/21,6405.0
7/22/21,7745.0
7/23/21,7784.0
7/24/21,7732.0
7/25/21,8853.0
7/26/21,8184.0
7/27/21,7903.0
7/28/21,9323.0
7/29/21,8607.0
7/30/21,8736.0
7/31/21,8875.0
8/1/21,9747.0
8/2/21,9279.0
8/3/21,9629.0
8/4/21,9363.0
8/5/21,8399.0
8/6/21,8886.0
8/7/21,8893.0
8/8/21,9427.0
8/9/21,7950.0
8/10/21,8936.0
8/11/21,8605.0
8/12/21,8194.0
8/13/21,8312.0
8/14/21,8816.0
8/15/21,8636.0
8/16/21,9169.0
8/17/21,9772.0
8/18/21,8666.0
8/19/21,8972.0
8/20/21,9764.0
8/21/21,9740.0
8/22/21,9548.0
8/23/21,9320.0
8/24/21,9907.0
8/25/21,8637.0
8/26/21,8509.0
8/27/21,7639.0
8/28/21,6850.0
8/29/21,6277.0
8/30/21,6075.0
8/31/21,6342.0
9/1/21,6609.0
9/2/21,6208.0
9/3/21,6927.0
9/4/21,7854.0
9/5/21,9221.0
9/6/21,7230.0
9/7/21,7771.0
9/8/21,8317.0
9/9/21,7747.0
9/10/21,8394.0
9/11/21,8035.0
9/12/21,8034.0
9/13/21,8342.0
9/14/21,7516.0
9/15/21,7437.0
9/16/21,7628.0
9/17/21,8291.0
9/18/21,8517.0
9/19/21,8434.0
9/20/21,8544.0
9/21/21,8289.0
9/22/21,7151.0
9/23/21,6935.0
9/24/21,7695.0
9/25/21,7513.0
9/26/21,6673.0
9/27/21,6632.0
9/28/21,6009.0
9/29/21,5617.0
9/30/21,5003.0
10/1/21,5049.0
10/2/21,4873.0
10/3/21,4097.0
10/4/21,4272.0
10/5/21,4793.0
10/6/21,3596.0
10/7/21,3833.0
10/8/21,3396.0
10/9/21,3442.0
10/10/21,3604.0
10/11/21,2945.0
10/12/21,2638.0
10/13/21,2354.0
10/14/21,2364.0
10/15/21,2138.0
10/16/21,1946.0
10/17/21,2197.0
10/18/21,1844.0
10/19/21,1768.0
10/20/21,1550.0
10/21/21,1435.0
10/22/21,1476.0
10/23/21,1393.0
10/24/21,1319.0
10/25/21,1210.0
10/26/21,975.0
10/27/21,912.0
10/28/21,900.0
10/29/21,866.0
10/30/21,712.0
10/31/21,676.0
11/1/21,633.0
11/2/21,549.0
11/3/21,567.0
11/4/21,592.0
11/5/21,606.0
11/6/21,550.0
11/7/21,483.0
11/8/21,471.0
11/9/21,467.0
11/10/21,413.0
11/11/21,403.0
11/12/21,362.0
11/13/21,293.0
11/14/21,348.0
11/15/21,326.0
11/16/21,243.0
11/17/21,246.0
11/18/21,316.0
11/19/21,316.0
11/20/21,287.0
11/21/21,330.0
11/22/21,240.0
11/23/21,234.0
11/24/21,182.0
11/25/21,240.0
11/26/21,186.0
11/27/21,183.0
11/28/21,153.0
11/29/21,130.0
11/30/21,136.0
12/1/21,142.0
12/2/21,150.0
12/3/21,114.0
12/4/21,110.0
12/5/21,88.0
12/6/21,104.0
12/7/21,75.0
12/8/21,78.0
12/9/21,81.0
12/10/21,65.0
12/11/21,73.0
12/12/21,62.0
12/13/21,65.0
12/14/21,58.0
12/15/21,62.0
12/16/21,72.0
12/17/21,73.0
12/18/21,77.0
12/19/21,62.0
12/20/21,79.0
12/21/21,61.0
12/22/21,80.0
12/23/21,89.0
12/24/21,76.0
12/25/21,125.0
12/26/21,122.0
12/27/21,128.0
12/28/21,145.0
12/29/21,241.0
12/30/21,328.0
12/31/21,433.0
1/1/22,469.0
1/2/22,469.0
1/3/22,556.0
1/4/22,673.0
1/5/22,967.0
1/6/22,1429.0
1/7/22,1946.0
1/8/22,2174.0
1/9/22,2723.0
1/10/22,2519.0
1/11/22,2685.0
1/12/22,2788.0
1/13/22,3387.0
1/14/22,3336.0
1/15/22,3506.0
1/16/22,3562.0
1/17/22,3306.0
1/18/22,3150.0
1/19/22,2967.0
1/20/22,3195.0
1/21/22,3392.0
1/22/22,3401.0
1/23/22,3508.0
1/24/22,3307.0
1/25/22,2764.0
1/26/22,2987.0
1/27/22,2814.0
1/28/22,2799.0
1/29/22,3059.0
1/30/22,2829.0
1/31/22,2119.0
2/1/22,1610.0
2/2/22,1460.0
2/3/22,1546.0
2/4/22,1434.0
2/5/22,1380.0
2/6/22,1340.0
2/7/22,1349.0
2/8/22,1018.0
2/9/22,919.0
2/10/22,951.0
2/11/22,1149.0
2/12/22,888.0
2/13/22,898.0
2/14/22,792.0
2/15/22,630.0
2/16/22,594.0
2/17/22,733.0
2/18/22,647.0
2/19/22,629.0
2/20/22,628.0
2/21/22,562.0
2/22/22,467.0
2/23/22,513.0
2/24/22,595.0
2/25/22,626.0
2/26/22,609.0
2/27/22,630.0
2/28/22,475.0
