,Hungary
6/16/21,107.0
6/17/21,113.0
6/18/21,106.0
6/19/21,0.0
6/20/21,0.0
6/21/21,202.0
6/22/21,54.0
6/23/21,91.0
6/24/21,69.0
6/25/21,66.0
6/26/21,0.0
6/27/21,0.0
6/28/21,132.0
6/29/21,34.0
6/30/21,52.0
7/1/21,32.0
7/2/21,37.0
7/3/21,0.0
7/4/21,0.0
7/5/21,65.0
7/6/21,32.0
7/7/21,44.0
7/8/21,55.0
7/9/21,44.0
7/10/21,0.0
7/11/21,0.0
7/12/21,102.0
7/13/21,17.0
7/14/21,56.0
7/15/21,49.0
7/16/21,64.0
7/17/21,0.0
7/18/21,0.0
7/19/21,139.0
7/20/21,25.0
7/21/21,56.0
7/22/21,71.0
7/23/21,85.0
7/24/21,0.0
7/25/21,0.0
7/26/21,161.0
7/27/21,26.0
7/28/21,74.0
7/29/21,65.0
7/30/21,64.0
7/31/21,0.0
8/1/21,0.0
8/2/21,155.0
8/3/21,26.0
8/4/21,59.0
8/5/21,72.0
8/6/21,52.0
8/7/21,0.0
8/8/21,0.0
8/9/21,156.0
8/10/21,35.0
8/11/21,80.0
8/12/21,86.0
8/13/21,104.0
8/14/21,0.0
8/15/21,0.0
8/16/21,188.0
8/17/21,45.0
8/18/21,109.0
8/19/21,123.0
8/20/21,0.0
8/21/21,0.0
8/22/21,0.0
8/23/21,340.0
8/24/21,82.0
8/25/21,134.0
8/26/21,180.0
8/27/21,189.0
8/28/21,0.0
8/29/21,0.0
8/30/21,521.0
8/31/21,110.0
9/1/21,194.0
9/2/21,262.0
9/3/21,247.0
9/4/21,0.0
9/5/21,0.0
9/6/21,648.0
9/7/21,130.0
9/8/21,246.0
9/9/21,345.0
9/10/21,323.0
9/11/21,0.0
9/12/21,0.0
9/13/21,873.0
9/14/21,246.0
9/15/21,371.0
9/16/21,458.0
9/17/21,479.0
9/18/21,0.0
9/19/21,0.0
9/20/21,1072.0
9/21/21,289.0
9/22/21,501.0
9/23/21,526.0
9/24/21,531.0
9/25/21,0.0
9/26/21,0.0
9/27/21,1183.0
9/28/21,265.0
9/29/21,546.0
9/30/21,633.0
10/1/21,679.0
10/2/21,0.0
10/3/21,0.0
10/4/21,1492.0
10/5/21,294.0
10/6/21,629.0
10/7/21,837.0
10/8/21,774.0
10/9/21,0.0
10/10/21,0.0
10/11/21,2046.0
10/12/21,455.0
10/13/21,814.0
10/14/21,1141.0
10/15/21,1249.0
10/16/21,0.0
10/17/21,0.0
10/18/21,3274.0
10/19/21,859.0
10/20/21,1668.0
10/21/21,2361.0
10/22/21,2548.0
10/23/21,0.0
10/24/21,0.0
10/25/21,6688.0
10/26/21,1701.0
10/27/21,3125.0
10/28/21,4039.0
10/29/21,4041.0
10/30/21,0.0
10/31/21,0.0
11/1/21,11211.0
11/2/21,1867.0
11/3/21,2595.0
11/4/21,6268.0
11/5/21,6804.0
11/6/21,0.0
11/7/21,0.0
11/8/21,17834.0
11/9/21,4588.0
11/10/21,8434.0
11/11/21,8394.0
11/12/21,8370.0
11/13/21,0.0
11/14/21,0.0
11/15/21,21060.0
11/16/21,5323.0
11/17/21,10265.0
11/18/21,10767.0
11/19/21,11289.0
11/20/21,0.0
11/21/21,0.0
11/22/21,27209.0
11/23/21,6518.0
11/24/21,12637.0
11/25/21,12165.0
11/26/21,11871.0
11/27/21,0.0
11/28/21,0.0
11/29/21,27830.0
11/30/21,6390.0
12/1/21,11152.0
12/2/21,10466.0
12/3/21,10143.0
12/4/21,0.0
12/5/21,0.0
12/6/21,22699.0
12/7/21,4311.0
12/8/21,6849.0
12/9/21,7310.0
12/10/21,6884.0
12/11/21,0.0
12/12/21,0.0
12/13/21,16017.0
12/14/21,3575.0
12/15/21,5506.0
12/16/21,5298.0
12/17/21,4977.0
12/18/21,0.0
12/19/21,0.0
12/20/21,10105.0
12/21/21,1985.0
12/22/21,3359.0
12/23/21,3586.0
12/24/21,0.0
12/25/21,0.0
12/26/21,0.0
12/27/21,7989.0
12/28/21,1370.0
12/29/21,3005.0
12/30/21,3361.0
12/31/21,3360.0
1/1/22,0.0
1/2/22,0.0
1/3/22,5865.0
1/4/22,2429.0
1/5/22,5270.0
1/6/22,6454.0
1/7/22,6524.0
1/8/22,0.0
1/9/22,0.0
1/10/22,14655.0
1/11/22,3382.0
1/12/22,7883.0
1/13/22,9216.0
1/14/22,8921.0
1/15/22,0.0
1/16/22,0.0
1/17/22,21219.0
1/18/22,6851.0
1/19/22,14890.0
1/20/22,15526.0
1/21/22,15957.0
1/22/22,0.0
1/23/22,0.0
1/24/22,39928.0
1/25/22,9717.0
1/26/22,20174.0
1/27/22,19213.0
1/28/22,17869.0
1/29/22,0.0
1/30/22,0.0
1/31/22,45047.0
2/1/22,9422.0
2/2/22,19690.0
2/3/22,17894.0
2/4/22,16435.0
2/5/22,0.0
2/6/22,0.0
2/7/22,33716.0
2/8/22,7053.0
2/9/22,13932.0
2/10/22,12885.0
2/11/22,11559.0
2/12/22,0.0
2/13/22,0.0
2/14/22,21081.0
2/15/22,4411.0
2/16/22,8883.0
2/17/22,8578.0
2/18/22,7480.0
2/19/22,0.0
2/20/22,0.0
2/21/22,13261.0
2/22/22,3193.0
2/23/22,6286.0
2/24/22,5512.0
2/25/22,4498.0
2/26/22,0.0
2/27/22,0.0
2/28/22,8370.0
