,Norway
7/5/21,187.0
7/6/21,227.0
7/7/21,211.0
7/8/21,99.0
7/9/21,293.0
7/10/21,134.0
7/11/21,97.0
7/12/21,170.0
7/13/21,182.0
7/14/21,171.0
7/15/21,156.0
7/16/21,216.0
7/17/21,138.0
7/18/21,109.0
7/19/21,195.0
7/20/21,246.0
7/21/21,189.0
7/22/21,266.0
7/23/21,228.0
7/24/21,168.0
7/25/21,136.0
7/26/21,330.0
7/27/21,273.0
7/28/21,171.0
7/29/21,586.0
7/30/21,344.0
7/31/21,156.0
8/1/21,226.0
8/2/21,412.0
8/3/21,475.0
8/4/21,478.0
8/5/21,560.0
8/6/21,426.0
8/7/21,262.0
8/8/21,370.0
8/9/21,497.0
8/10/21,666.0
8/11/21,322.0
8/12/21,574.0
8/13/21,872.0
8/14/21,268.0
8/15/21,449.0
8/16/21,530.0
8/17/21,747.0
8/18/21,612.0
8/19/21,685.0
8/20/21,720.0
8/21/21,277.0
8/22/21,553.0
8/23/21,1124.0
8/24/21,1093.0
8/25/21,1294.0
8/26/21,1415.0
8/27/21,1552.0
8/28/21,1047.0
8/29/21,907.0
8/30/21,1349.0
8/31/21,1785.0
9/1/21,1640.0
9/2/21,1550.0
9/3/21,1687.0
9/4/21,1149.0
9/5/21,1065.0
9/6/21,1204.0
9/7/21,1704.0
9/8/21,1546.0
9/9/21,1629.0
9/10/21,1301.0
9/11/21,840.0
9/12/21,653.0
9/13/21,1120.0
9/14/21,1219.0
9/15/21,969.0
9/16/21,982.0
9/17/21,763.0
9/18/21,570.0
9/19/21,474.0
9/20/21,679.0
9/21/21,484.0
9/22/21,1207.0
9/23/21,721.0
9/24/21,705.0
9/25/21,519.0
9/26/21,381.0
9/27/21,658.0
9/28/21,702.0
9/29/21,555.0
9/30/21,581.0
10/1/21,484.0
10/2/21,309.0
10/3/21,309.0
10/4/21,484.0
10/5/21,582.0
10/6/21,480.0
10/7/21,508.0
10/8/21,467.0
10/9/21,221.0
10/10/21,287.0
10/11/21,172.0
10/12/21,896.0
10/13/21,399.0
10/14/21,356.0
10/15/21,423.0
10/16/21,334.0
10/17/21,209.0
10/18/21,545.0
10/19/21,608.0
10/20/21,657.0
10/21/21,748.0
10/22/21,641.0
10/23/21,543.0
10/24/21,424.0
10/25/21,893.0
10/26/21,1144.0
10/27/21,1180.0
10/28/21,996.0
10/29/21,1125.0
10/30/21,798.0
10/31/21,627.0
11/1/21,1335.0
11/2/21,1626.0
11/3/21,1514.0
11/4/21,1534.0
11/5/21,1506.0
11/6/21,1062.0
11/7/21,998.0
11/8/21,1532.0
11/9/21,2126.0
11/10/21,1783.0
11/11/21,2006.0
11/12/21,1762.0
11/13/21,1306.0
11/14/21,1156.0
11/15/21,783.0
11/16/21,3530.0
11/17/21,2475.0
11/18/21,2425.0
11/19/21,2364.0
11/20/21,1338.0
11/21/21,1470.0
11/22/21,2391.0
11/23/21,1520.0
11/24/21,4575.0
11/25/21,2970.0
11/26/21,2942.0
11/27/21,1891.0
11/28/21,1721.0
11/29/21,2877.0
11/30/21,4045.0
12/1/21,3780.0
12/2/21,4140.0
12/3/21,4191.0
12/4/21,2964.0
12/5/21,1530.0
12/6/21,2675.0
12/7/21,7631.0
12/8/21,5259.0
12/9/21,5355.0
12/10/21,5413.0
12/11/21,3477.0
12/12/21,3622.0
12/13/21,0.0
12/14/21,10867.0
12/15/21,5741.0
12/16/21,4520.0
12/17/21,4689.0
12/18/21,3705.0
12/19/21,3022.0
12/20/21,4041.0
12/21/21,4799.0
12/22/21,4290.0
12/23/21,4312.0
12/24/21,2268.0
12/25/21,1989.0
12/26/21,2214.0
12/27/21,3750.0
12/28/21,4702.0
12/29/21,4407.0
12/30/21,4018.0
12/31/21,3045.0
1/1/22,2156.0
1/2/22,2903.0
1/3/22,5233.0
1/4/22,7921.0
1/5/22,8385.0
1/6/22,7879.0
1/7/22,6160.0
1/8/22,5288.0
1/9/22,4184.0
1/10/22,6540.0
1/11/22,9622.0
1/12/22,11825.0
1/13/22,11597.0
1/14/22,12360.0
1/15/22,8477.0
1/16/22,7604.0
1/17/22,11031.0
1/18/22,15367.0
1/19/22,15987.0
1/20/22,16877.0
1/21/22,24958.0
1/22/22,13337.0
1/23/22,12646.0
1/24/22,18542.0
1/25/22,24429.0
1/26/22,24677.0
1/27/22,24288.0
1/28/22,21519.0
1/29/22,14970.0
1/30/22,14040.0
1/31/22,15988.0
2/1/22,23237.0
2/2/22,23299.0
2/3/22,21804.0
2/4/22,20856.0
2/5/22,13143.0
2/6/22,10172.0
2/7/22,17652.0
2/8/22,26109.0
2/9/22,25086.0
2/10/22,24448.0
2/11/22,23071.0
2/12/22,14453.0
2/13/22,11374.0
2/14/22,14058.0
2/15/22,18875.0
2/16/22,17928.0
2/17/22,17342.0
2/18/22,15248.0
2/19/22,9559.0
2/20/22,7646.0
2/21/22,14879.0
2/22/22,17749.0
2/23/22,17385.0
2/24/22,15595.0
2/25/22,15289.0
2/26/22,8560.0
2/27/22,5900.0
2/28/22,10394.0
